HIS	Best Cluster (kcal/mol)	Run	Largest Cluster (kcal/mol)	Run	Best Cluster Res (kcal/mol)	Run	Largest Cluster Res (kcal/mol)	Run	Largest Cluster Res Best (kcal/mol)	Run	Largest Cluster Res Mean (kcal/mol)	bestbest (kcal/mol)	Run	Largest Cluster	Num in Largest Cluster
Q9JLI6-2_17_283_3a9x.1.A_swissmodel_HIS_PLP_2.dlg	-8.1	65	-6.64	74	-3.63	65	-1.31	74	-2.05	1	-1.29	-4.95	26	18	15
Q9Z1J3_58_459_6nzu.1.A_swissmodel_HIS_PLP_1.dlg	-10.01	91	-9.62	20	-4.51	91	-3.82	20	-4.49	22	-3.53	-6.45	55	3	12
P48318_92_593_2okj.1.A_swissmodel_HIS_PLP_2.dlg	-11.76	55	-11.18	69	-4.38	55	-5.53	69	-5.94	40	-5.66	-6.23	39	3	20
Q80WP8-1_64_549_5hsj.1.A_swissmodel_HIS_PLP_2.dlg	-10.57	100	-9.66	49	-4.61	100	-3.52	49	-3.9	1	-3.12	-5.57	84	7	15
P23738_17_484_4e1o.1.A_swissmodel_HIS_PLP_1.dlg	-13.06	61	-13.06	61	-5.3	61	-5.3	61	-5.67	68	-5.3	-6.56	97	1	62
Q91WT9-2_40_543_4pcu.1.A_swissmodel_HIS_PLP_2.dlg	-8.92	70	-7.71	98	-6.71	70	-3.76	98	-4.28	8	-3.11	-6.95	84	2	18
Q8QZR1_52_442_4ge9.1.A_swissmodel_HIS_PLP_2.dlg	-8.67	99	-8.67	99	-3.87	99	-3.87	99	-4.48	17	-3.96	-4.48	17	1	45
O35484_8_435_3btn_pdb_HIS_PLP_1.dlg	-8.46	82	-7.48	12	-3.61	82	-3.46	12	-3.46	12	-2.33	-4.6	2	5	15
Q80WP8-1_59_550_6enz_pdb_HIS_PLP_2.dlg	-11.64	30	-11.64	30	-4.52	30	-4.52	30	-4.55	56	-4.25	-6.76	9	1	26
Q8VCN5_9_398_5tsu.1.C_swissmodel_HIS_PLP_1.dlg	-10.54	29	-10.54	29	-4.65	29	-4.65	29	-5.3	49	-3.97	-5.79	7	1	38
P29758_38_439_2can.1.A_swissmodel_HIS_PLP_2.dlg	-9.56	71	-9.56	71	-3.83	71	-3.83	71	-4.11	49	-3.6	-5.66	26	1	35
Q8BGT5_49_521_3ihj.1.A_swissmodel_HIS_PLP_1.dlg	-10.82	76	-10.54	59	-6.1	76	-5.88	59	-6.06	22	-4.93	-6.51	11	2	53
Q9ET01_24_839_1xoi.1.A_swissmodel_HIS_PLP_2.dlg	-11.97	89	-11.97	89	-4.79	89	-4.79	89	-4.82	42	-4.24	-6.28	72	1	35
P50431_1_478_1eji_pdb_HIS_PLP_1.dlg	-13.77	83	-13.77	83	-6.17	83	-6.17	83	-6.34	3	-5.98	-6.61	21	1	73
Q99K85_17_370_3e77.1.A_swissmodel_HIS_PLP_2.dlg	-11.45	32	-10.58	95	-5.4	32	-5.71	95	-5.71	95	-5.54	-6.87	93	9	10
O35484_8_435_3btn_pdb_HIS_PLP_2.dlg	-7.03	19	-6.63	41	-4.1	19	-2.64	41	-3.12	48	-2.74	-4.34	70	3	22
Q71RI9-1_42_451_3e2f_pdb_HIS_PLP_1.dlg	-12.39	8	-12.39	8	-5.94	8	-5.94	8	-6.52	51	-5.48	-6.52	51	1	41
P48320_88_584_2okk.1.A_swissmodel_HIS_PLP_2.dlg	-10.74	63	-10.74	63	-3.15	63	-3.15	63	-3.41	62	-2.9	-5.85	41	1	29
Q8R238_12_327_2rkb.1.A_swissmodel_HIS_PLP_2.dlg	-11.37	87	-9.81	37	-5.92	87	-2.55	37	-3.0	89	-2.56	-5.92	87	6	21
Q9WVM8_1_425_4gdy.1.B_swissmodel_HIS_PLP_2.dlg	-13.49	35	-13.49	35	-5.93	35	-5.93	35	-6.01	25	-5.64	-7.52	8	1	34
Q9DBE0_7_493_2jis.1.A_swissmodel_HIS_PLP_2.dlg	-10.49	40	-10.49	40	-5.05	40	-5.05	40	-5.52	89	-4.53	-5.88	46	1	31
Q8VBT2_5_317_2o2j.1.B_swissmodel_HIS_PLP_2.dlg	-10.22	64	-9.08	8	-4.71	64	-3.18	8	-3.58	21	-2.84	-4.87	53	5	24
P50431_9_478_1rvu.1.A_swissmodel_HIS_PLP_3.dlg	-8.92	48	-8.92	48	-5.16	48	-5.16	48	-5.18	92	-4.25	-5.18	92	1	71
Q9WVM8_1_425_4gdy.1.B_swissmodel_HIS_PLP_1.dlg	-13.61	82	-13.61	82	-4.2	82	-4.2	82	-4.87	95	-4.05	-7.54	79	1	31
Q14CH1_48_490_3a9y.1.B_swissmodel_HIS_PLP_1.dlg	-5.51	4	-5.02	13	-1.62	4	-3.77	13	-4.27	87	-3.43	-4.27	87	2	35
A2AIG8-2_42_459_4n0b.2.B_swissmodel_HIS_PLP_2.dlg	-11.84	32	-11.24	54	-6.33	32	-3.95	54	-5.23	33	-4.53	-6.33	32	2	21
O88533_1_467_1js6.1.A_swissmodel_HIS_PLP_1.dlg	-11.0	83	-10.54	11	-5.56	83	-4.87	11	-5.62	90	-4.91	-5.91	24	3	24
P05202_30_430_3hlm_pdb_HIS_PLP_2.dlg	-14.13	49	-13.8	95	-5.98	49	-4.13	95	-4.96	98	-4.32	-8.3	8	3	31
O35855_29_393_1ekp.1.A_swissmodel_HIS_PLP_1.dlg	-12.92	40	-11.75	65	-5.22	40	-5.15	65	-5.16	91	-4.84	-6.84	29	2	31
Q71RI9-1_42_451_5ver_pdb_HIS_PLP_3.dlg	-14.02	65	-14.02	65	-7.04	65	-7.04	65	-7.59	51	-6.96	-7.81	14	1	57
Q9CXF0_6_460_3e9k.1.A_swissmodel_HIS_PLP_2.dlg	-8.73	21	-8.32	70	-2.93	21	-1.66	70	-1.77	16	-1.58	-5.55	49	4	46
Q80WP8-2_68_523_2okj.1.A_swissmodel_HIS_PLP_2.dlg	-13.71	48	-13.71	48	-6.8	48	-6.8	48	-6.89	7	-6.42	-6.97	77	1	29
O88986_28_415_1fc4.1.A_swissmodel_HIS_PLP_2.dlg	-12.01	35	-12.01	35	-5.56	35	-5.56	35	-5.85	83	-5.1	-5.86	78	1	73
P05201_1_413_5tor.1.A_swissmodel_HIS_PLP_1.dlg	-13.32	85	-13.32	85	-4.96	85	-4.96	85	-5.19	44	-4.7	-7.14	26	1	22
Q8BG54_108_530_6hrh.1.B_swissmodel_HIS_PLP_1.dlg	-11.78	47	-11.78	47	-3.5	47	-3.5	47	-5.7	78	-4.02	-5.7	78	1	71
Q9CZN7-2_40_500_5x3v.1.A_swissmodel_HIS_PLP_1.dlg	-7.51	98	-7.41	28	-4.39	98	-4.11	28	-4.49	78	-3.99	-4.49	78	2	28
Q71RI9-1_42_451_5vep_pdb_HIS_PLP_3.dlg	-13.19	19	-11.64	21	-6.47	19	-5.69	21	-6.17	10	-5.36	-7.3	29	2	22
Q8QZR5_20_495_3tcm.1.A_swissmodel_HIS_PLP_2.dlg	-10.58	70	-10.58	70	-6.57	70	-6.57	70	-7.21	12	-6.3	-7.21	12	1	47
Q8VCN5_9_398_5tsu.1.C_swissmodel_HIS_PLP_3.dlg	-9.59	25	-9.44	5	-3.88	25	-6.97	5	-7.38	29	-6.28	-7.38	29	2	24
Q71RI9-1_42_451_2zjg_pdb_HIS_PLP_2.dlg	-12.43	18	-12.43	18	-6.12	18	-6.12	18	-6.43	78	-6.17	-6.74	72	1	49
Q80WP8-2_63_477_5hsj.1.A_swissmodel_HIS_PLP_2.dlg	-9.97	75	-9.6	5	-4.32	75	-3.8	5	-4.11	1	-3.6	-5.34	49	3	29
Q6P6M7_23_467_3bc8_pdb_HIS_PLP_2.dlg	-13.58	46	-13.3	35	-4.54	46	-4.85	35	-5.73	32	-4.92	-8.29	75	3	45
P97363_115_554_5txr.1.A_swissmodel_HIS_PLP_1.dlg	-11.37	6	-11.37	6	-1.7	6	-1.7	6	-2.9	52	-2.06	-2.97	74	1	26
Q9Z2Y8_12_248_1b54.1.A_swissmodel_HIS_PLP_1.dlg	-10.32	23	-9.56	5	-4.18	23	-5.12	5	-5.3	1	-4.66	-5.93	16	4	13
Q6P6M7_23_467_3bcb_pdb_HIS_PLP_1.dlg	-14.38	86	-14.13	50	-6.29	86	-5.64	50	-5.92	54	-5.34	-6.34	73	2	35
P05202_30_430_3pdb_pdb_HIS_PLP_1.dlg	-14.21	24	-11.9	3	-7.94	24	-5.11	3	-5.11	3	-4.25	-7.94	24	8	25
Q8BWU8_9_436_5g4i.1.A_swissmodel_HIS_PLP_2.dlg	-13.42	25	-12.29	84	-6.22	25	-4.68	84	-5.76	94	-4.6	-6.86	40	9	19
Q8R1K4-2_26_438_5g4i.1.A_swissmodel_HIS_PLP_1.dlg	-10.3	85	-9.17	32	-5.07	85	-4.77	32	-4.77	32	-3.74	-5.1	96	12	15
Q6P6M7_23_466_3bca_pdb_HIS_PLP_1.dlg	-13.99	99	-13.99	99	-6.09	99	-6.09	99	-6.87	13	-5.57	-7.27	39	1	67
Q8CI94_11_836_2pyd.1.A_swissmodel_HIS_PLP_2.dlg	-10.66	10	-10.66	10	-4.96	10	-4.96	10	-5.94	53	-4.6	-5.94	53	1	33
Q91W43_57_1010_6i34.1.A_swissmodel_HIS_PLP_2.dlg	-9.25	41	-7.76	79	-4.21	41	-3.12	79	-3.93	53	-3.24	-4.77	47	5	38
Q71RI9-1_42_451_5vep_pdb_HIS_PLP_1.dlg	-11.82	9	-11.77	29	-5.85	9	-6.33	29	-6.51	76	-5.46	-6.78	82	2	21
Q9DBE0_7_493_2jis.1.A_swissmodel_HIS_PLP_1.dlg	-10.52	45	-9.8	98	-4.87	45	-5.18	98	-5.62	39	-4.84	-5.86	53	7	18
Q91WT9-1_40_557_4pcu.1.A_swissmodel_HIS_PLP_1.dlg	-11.15	64	-11.15	64	-3.71	64	-3.71	64	-3.91	44	-3.5	-5.28	24	1	30
Q14CH1_35_495_5j8q.1.A_swissmodel_HIS_PLP_1.dlg	-8.82	69	-8.61	94	-4.74	69	-2.62	94	-3.24	17	-2.49	-5.68	40	3	15
P61922-2_39_444_4y0h.1.A_swissmodel_HIS_PLP_1.dlg	-11.86	36	-11.25	93	-3.83	36	-4.84	93	-5.59	53	-4.07	-6.16	6	2	28
Q3UX83-2_102_522_6d0a.1.A_swissmodel_HIS_PLP_2.dlg	-12.01	53	-10.72	80	-5.38	53	-3.27	80	-4.3	25	-3.74	-6.67	7	2	22
P24288_21_385_2abj.1.A_swissmodel_HIS_PLP_2.dlg	-10.82	89	-10.02	60	-4.39	89	-3.24	60	-3.39	53	-3.26	-6.09	90	5	29
Q80WP8-2_59_493_6enz.1.A_swissmodel_HIS_PLP_1.dlg	-9.65	74	-9.01	71	-4.42	74	-4.26	71	-4.55	10	-4.0	-4.99	60	3	17
Q91WT9-1_40_557_4pcu.1.B_swissmodel_HIS_PLP_2.dlg	-9.33	10	-9.01	9	-3.2	10	-5.07	9	-5.64	50	-4.86	-5.64	50	3	20
Q6XPS7_39_398_1lw4.1.D_swissmodel_HIS_PLP_1.dlg	-8.47	84	-8.35	49	-4.15	84	-4.84	49	-5.21	71	-4.27	-5.56	39	2	33
Q3UX83-2_105_524_1m4n.1.A_swissmodel_HIS_PLP_1.dlg	-11.95	65	-11.95	65	-5.42	65	-5.42	65	-5.96	82	-5.47	-6.15	87	1	25
Q6XPS7_39_398_1lw4.1.D_swissmodel_HIS_PLP_3.dlg	-7.15	5	-6.28	38	-2.26	5	-3.11	38	-3.11	38	-2.53	-4.81	74	3	18
Q71RI9-1_42_451_5ver_pdb_HIS_PLP_4.dlg	-15.97	22	-15.97	22	-6.39	22	-6.39	22	-6.61	31	-5.48	-8.13	56	1	59
Q3UEG6_52_507_4atp.1.A_swissmodel_HIS_PLP_1.dlg	-9.61	58	-9.61	58	-4.39	58	-4.39	58	-5.26	75	-4.35	-5.92	57	1	63
P05202_30_430_3hlm_pdb_HIS_PLP_1.dlg	-13.72	69	-13.6	72	-8.47	69	-5.52	72	-5.52	72	-4.63	-8.57	34	4	17
Q3UEG6_52_507_4atp.1.A_swissmodel_HIS_PLP_4.dlg	-6.73	88	-4.21	3	-2.9	88	-3.39	3	-4.46	50	-3.44	-5.28	78	5	18
O35423-2_1_390_3kgw.1.A_swissmodel_HIS_PLP_1.dlg	-10.49	98	-10.49	98	-3.23	98	-3.23	98	-3.38	69	-3.04	-5.9	42	1	24
Q99K85_17_370_3e77.1.A_swissmodel_HIS_PLP_1.dlg	-12.66	15	-10.8	83	-5.03	15	-5.29	83	-5.95	7	-5.62	-6.0	46	5	19
Q71RI9-1_42_451_5ver_pdb_HIS_PLP_2.dlg	-15.04	46	-15.04	46	-6.35	46	-6.35	46	-6.35	46	-5.22	-7.35	76	1	55
P50431_9_478_1rvu.1.A_swissmodel_HIS_PLP_4.dlg	-10.1	94	-10.1	94	-5.34	94	-5.34	94	-5.79	77	-4.87	-5.79	77	1	57
Q71RI9-1_42_451_5vep_pdb_HIS_PLP_4.dlg	-11.06	89	-11.06	31	-5.23	89	-5.77	31	-6.06	29	-5.56	-6.07	47	2	42
Q71RI9-1_42_451_5veq_pdb_HIS_PLP_3.dlg	-15.95	71	-15.95	71	-6.01	71	-6.01	71	-6.75	15	-5.13	-8.16	77	1	39
Q71RI9-1_42_451_5veq_pdb_HIS_PLP_2.dlg	-15.7	77	-15.7	77	-6.1	77	-6.1	77	-6.62	78	-5.6	-7.19	33	1	78
Q8QZR1_64_442_3pdx.1.A_swissmodel_HIS_PLP_2.dlg	-10.35	7	-10.25	79	-4.31	7	-4.83	79	-4.92	16	-4.3	-5.6	51	3	55
Q8VBT2_5_317_2o2j.1.B_swissmodel_HIS_PLP_1.dlg	-9.05	25	-8.12	26	-4.33	25	-4.4	26	-5.13	21	-4.65	-5.18	36	14	8
Q6P6M7_23_466_3bca_pdb_HIS_PLP_4.dlg	-14.31	96	-13.28	36	-8.82	96	-5.54	36	-6.32	69	-5.17	-8.82	96	2	50
Q6XPS7_39_398_1lw4.1.D_swissmodel_HIS_PLP_4.dlg	-9.42	66	-9.42	66	-4.71	66	-4.71	66	-5.19	55	-4.21	-5.49	53	1	63
Q71RI9-1_42_451_3e2f_pdb_HIS_PLP_2.dlg	-12.69	67	-11.96	5	-5.39	67	-6.07	5	-6.67	10	-6.21	-6.81	87	4	41
Q3UEG6_63_509_6fyq.1.A_swissmodel_HIS_PLP_2.dlg	-10.08	4	-7.37	3	-4.47	4	-4.53	3	-4.84	8	-4.43	-5.25	27	4	10
Q9QZX7-3_3_180_3hmk.1.A_swissmodel_HIS_PLP_2.dlg	-10.1	72	-9.09	79	-3.6	72	-4.03	79	-4.38	32	-3.74	-4.97	69	6	19
Q71RI9-1_42_451_5veq_pdb_HIS_PLP_1.dlg	-16.34	16	-16.34	16	-6.34	16	-6.34	16	-6.63	71	-5.85	-8.08	86	1	55
Q3UX83-2_105_524_1m4n.1.A_swissmodel_HIS_PLP_2.dlg	-11.99	68	-10.62	71	-5.54	68	-4.36	71	-4.97	43	-4.07	-6.24	72	5	29
A2AIG8-2_41_459_1m4n.1.A_swissmodel_HIS_PLP_2.dlg	-10.6	66	-10.22	55	-5.15	66	-4.72	55	-4.83	16	-4.15	-5.55	56	3	41
Q8R238_12_327_2rkb.1.A_swissmodel_HIS_PLP_1.dlg	-11.6	47	-9.26	4	-6.06	47	-3.4	4	-4.07	59	-3.47	-6.13	2	9	17
Q91WT9-1_40_557_4pcu.1.B_swissmodel_HIS_PLP_1.dlg	-11.21	19	-11.21	19	-3.71	19	-3.71	19	-3.89	43	-3.57	-5.16	31	1	46
Q6P6M7_23_467_3bcb.1.A_swissmodel_HIS_PLP_4.dlg	-13.92	43	-13.92	43	-5.67	43	-5.67	43	-6.02	25	-5.38	-6.51	7	1	39
Q9JLI6-1_18_430_3a9y.1.A_swissmodel_HIS_PLP_1.dlg	-10.05	36	-9.28	60	-4.78	36	-3.51	60	-4.71	63	-3.59	-5.81	26	4	17
Q8R1K4-2_26_438_5g4i.1.A_swissmodel_HIS_PLP_2.dlg	-10.41	31	-10.09	41	-4.36	31	-3.51	41	-3.83	7	-3.47	-6.61	32	3	14
O35423-1_27_412_3kgx_pdb_HIS_PLP_2.dlg	-11.96	51	-11.61	58	-6.3	51	-5.04	58	-5.46	82	-5.07	-6.8	92	2	23
Q6P6M7_23_467_3bcb.1.A_swissmodel_HIS_PLP_3.dlg	-13.54	59	-13.54	59	-5.62	59	-5.62	59	-5.78	44	-5.33	-6.5	72	1	29
P61922-2_39_444_4y0h.1.A_swissmodel_HIS_PLP_2.dlg	-11.93	65	-11.87	21	-4.28	65	-5.75	21	-6.26	93	-5.55	-6.43	28	3	34
Q8BH55_226_741_1kl7.1.A_swissmodel_HIS_PLP_1.dlg	-11.05	68	-11.05	68	-3.41	68	-3.41	68	-4.43	72	-3.67	-6.82	93	1	50
Q80WP8-1_59_550_6enz.1.A_swissmodel_HIS_PLP_2.dlg	-11.27	20	-9.77	78	-4.43	20	-5.04	78	-5.17	10	-4.75	-6.55	38	4	21
Q8VC19_199_634_6hrh.1.B_swissmodel_HIS_PLP_1.dlg	-14.08	19	-14.08	19	-4.79	19	-4.79	19	-5.87	9	-4.68	-5.87	9	1	87
Q91WT9-2_40_543_4pcu.1.B_swissmodel_HIS_PLP_1.dlg	-7.87	82	-7.87	82	-3.18	82	-3.18	82	-4.16	76	-2.6	-5.92	46	1	27
Q8VBT2_1_325_1pwh.2.A_swissmodel_HIS_PLP_1.dlg	-12.4	70	-12.4	70	-5.61	70	-5.61	70	-6.49	50	-5.56	-6.49	50	1	31
Q80WP8-2_68_523_2okj.1.A_swissmodel_HIS_PLP_1.dlg	-13.31	55	-11.4	60	-5.47	55	-6.3	60	-6.5	83	-5.7	-6.5	83	2	18
Q80WP8-1_59_550_6enz_pdb_HIS_PLP_1.dlg	-11.02	7	-11.02	7	-4.53	7	-4.53	7	-5.07	49	-4.38	-5.49	21	1	28
Q3UEG6_63_509_6fyq.1.A_swissmodel_HIS_PLP_1.dlg	-9.52	10	-7.84	12	-4.22	10	-4.43	12	-5.12	43	-4.55	-5.26	84	4	30
Q9CZN7-2_40_500_5x3v.1.A_swissmodel_HIS_PLP_2.dlg	-6.49	66	-5.87	75	-2.26	66	-1.93	75	-3.22	88	-2.34	-4.39	53	7	13
Q6P6M7_23_467_3bc8_pdb_HIS_PLP_4.dlg	-12.99	76	-12.31	87	-8.45	76	-5.24	87	-5.65	70	-4.7	-8.63	55	4	33
O35423-2_1_390_3kgw.1.A_swissmodel_HIS_PLP_2.dlg	-12.04	63	-9.91	94	-5.45	63	-6.89	94	-6.95	88	-5.44	-6.95	88	5	38
Q8R0X7_110_553_4q6r.1.A_swissmodel_HIS_PLP_2.dlg	-12.29	80	-12.29	80	-5.45	80	-5.45	80	-5.99	6	-5.41	-5.99	6	1	31
O35855_29_393_1ekp.1.A_swissmodel_HIS_PLP_2.dlg	-12.86	46	-11.11	7	-5.39	46	-4.39	7	-4.88	8	-4.35	-6.75	18	3	31
Q71RI9-1_42_451_5veq.1.A_swissmodel_HIS_PLP_1.dlg	-15.06	91	-15.06	91	-6.26	91	-6.26	91	-6.61	89	-6.11	-6.73	92	1	34
P05202_30_430_3pdb_pdb_HIS_PLP_2.dlg	-13.85	21	-13.85	21	-5.09	21	-5.09	21	-5.1	68	-4.68	-7.49	35	1	36
Q80WP8-1_59_550_6enz.1.A_swissmodel_HIS_PLP_1.dlg	-9.65	42	-9.07	33	-3.15	42	-4.48	33	-4.83	49	-4.46	-5.64	98	6	14
P50431_1_478_1eji_pdb_HIS_PLP_2.dlg	-12.8	26	-12.8	26	-5.32	26	-5.32	26	-5.5	21	-4.76	-5.95	52	1	66
P61922-1_39_499_4zsy.1.A_swissmodel_HIS_PLP_2.dlg	-12.16	9	-12.03	93	-4.35	9	-5.32	93	-5.39	39	-4.51	-5.97	88	2	27
Q8QZR1_64_442_3pdx_pdb_HIS_PLP_2.dlg	-10.7	1	-10.08	69	-5.86	1	-4.39	69	-5.0	89	-4.36	-6.02	90	3	43
Q8QZR1_64_442_3pdx_pdb_HIS_PLP_1.dlg	-11.24	8	-10.17	3	-5.34	8	-5.05	3	-5.05	3	-4.37	-6.01	61	2	44
P50431_1_478_1eji_pdb_HIS_PLP_4.dlg	-10.05	27	-10.05	27	-4.06	27	-4.06	27	-4.61	16	-4.05	-5.68	79	1	12
P97363_115_554_5txr.1.A_swissmodel_HIS_PLP_2.dlg	-9.14	92	-9.07	38	-1.57	92	-2.44	38	-2.89	81	-2.37	-2.89	81	2	27
Q9JLI6-1_18_430_3a9y.1.A_swissmodel_HIS_PLP_2.dlg	-9.63	22	-9.63	22	-3.63	22	-3.63	22	-4.28	7	-2.78	-5.97	86	1	19
Q3UX83-1_157_576_1m4n.1.A_swissmodel_HIS_PLP_1.dlg	-11.87	49	-10.67	33	-5.33	49	-4.36	33	-5.43	61	-4.11	-6.31	80	3	29
Q14CH1_48_490_3a9y.1.B_swissmodel_HIS_PLP_2.dlg	-5.95	74	-3.44	30	-3.7	74	-3.38	30	-3.38	30	-2.2	-4.05	42	4	20
P29758_38_439_2can.1.A_swissmodel_HIS_PLP_1.dlg	-9.55	37	-9.55	37	-3.91	37	-3.91	37	-4.11	62	-3.53	-5.36	6	1	30
Q71RI9-1_42_451_5vep_pdb_HIS_PLP_2.dlg	-11.89	41	-11.73	3	-5.73	41	-5.75	3	-6.2	25	-5.83	-6.2	25	2	42
Q8QZR1_64_442_3pdx.1.A_swissmodel_HIS_PLP_1.dlg	-10.3	39	-10.3	39	-4.83	39	-4.83	39	-4.88	30	-4.3	-5.56	11	1	63
Q71RI9-2_7_416_5veq.1.A_swissmodel_HIS_PLP_2.dlg	-14.63	29	-14.63	29	-6.1	29	-6.1	29	-6.36	25	-5.03	-7.1	95	1	56
P00860_2_418_7odc_pdb_HIS_PLP_1.dlg	-11.69	12	-10.24	27	-5.96	12	-4.81	27	-5.81	43	-4.73	-6.83	97	11	12
Q91WT9-2_40_543_4pcu.1.B_swissmodel_HIS_PLP_2.dlg	-9.19	50	-7.47	60	-6.77	50	-3.06	60	-4.11	38	-2.83	-6.88	63	2	28
