KYN	Best Cluster (kcal/mol)	Run	Largest Cluster (kcal/mol)	Run	Best Cluster Res (kcal/mol)	Run	Largest Cluster Res (kcal/mol)	Run	Largest Cluster Res Best (kcal/mol)	Run	Largest Cluster Res Mean (kcal/mol)	bestbest (kcal/mol)	Run	Largest Cluster	Num in Largest Cluster
Q80WP8-2_63_477_5hsj.1.A_swissmodel_KYNU_PLP_2.dlg	-11.45	15	-11.24	64	-7.06	15	-6.07	64	-7.09	14	-6.25	-7.32	83	2	15
Q6P6M7_23_467_3bcb.1.A_swissmodel_KYNU_PLP_3.dlg	-14.62	79	-14.62	79	-6.54	79	-6.54	79	-7.98	12	-6.3	-8.03	33	1	12
Q6P6M7_23_467_3bcb.1.A_swissmodel_KYNU_PLP_2.dlg	-14.8	77	-11.9	39	-7.03	77	-5.32	39	-7.1	54	-5.35	-7.63	42	16	12
P00860_2_418_7odc_pdb_KYNU_PLP_2.dlg	-13.35	5	-13.35	5	-6.13	5	-6.13	5	-6.13	5	-5.23	-8.29	84	1	9
Q71RI9-1_42_451_2zjg_pdb_KYNU_PLP_2.dlg	-13.01	66	-13.01	66	-6.65	66	-6.65	66	-6.91	68	-6.53	-7.93	44	1	19
Q14CH1_48_490_3a9y.1.B_swissmodel_KYNU_PLP_1.dlg	-5.72	81	-5.72	81	-5.29	81	-5.29	81	-5.44	31	-3.3	-5.49	52	1	49
A2AIG8-2_41_459_1m4n.1.A_swissmodel_KYNU_PLP_1.dlg	-11.55	10	-11.15	54	-6.42	10	-6.71	54	-6.71	54	-5.17	-7.08	98	2	19
P50431_9_478_1rvu.1.A_swissmodel_KYNU_PLP_3.dlg	-9.93	92	-9.93	92	-6.21	92	-6.21	92	-6.46	85	-5.65	-7.15	2	1	30
Q8BWU8_9_436_5g4i.1.A_swissmodel_KYNU_PLP_1.dlg	-13.58	64	-12.21	37	-5.85	64	-6.1	37	-6.57	32	-5.48	-7.68	87	4	9
Q80WP8-1_59_550_6enz_pdb_KYNU_PLP_2.dlg	-12.45	24	-11.44	15	-5.95	24	-5.79	15	-6.31	39	-5.49	-7.17	36	4	25
P24288_21_385_2abj.1.A_swissmodel_KYNU_PLP_1.dlg	-12.91	12	-10.19	55	-6.59	12	-7.35	55	-7.71	23	-6.91	-7.99	9	10	15
Q8VCN5_9_398_5tsu.1.C_swissmodel_KYNU_PLP_1.dlg	-11.56	40	-11.56	40	-6.85	40	-6.85	40	-6.91	53	-4.71	-6.91	53	1	51
Q6P6M7_23_466_3bca_pdb_KYNU_PLP_1.dlg	-15.28	46	-14.35	21	-7.81	46	-6.14	21	-6.62	3	-5.35	-8.6	50	3	17
Q71RI9-2_7_416_5veq.1.A_swissmodel_KYNU_PLP_1.dlg	-17.35	100	-17.35	100	-8.67	100	-8.67	100	-9.38	44	-7.87	-9.38	44	1	48
P61922-2_39_444_4y0h.1.A_swissmodel_KYNU_PLP_2.dlg	-12.94	1	-12.94	1	-7.06	1	-7.06	1	-7.34	74	-6.51	-8.0	76	1	34
Q9CZN7-2_40_500_5x3v.1.A_swissmodel_KYNU_PLP_2.dlg	-7.99	47	-7.99	47	-4.8	47	-4.8	47	-5.04	99	-4.23	-5.71	26	1	21
Q8CI94_11_836_2pyd.1.A_swissmodel_KYNU_PLP_2.dlg	-11.68	33	-10.03	73	-5.76	33	-6.55	73	-7.15	24	-6.14	-7.93	1	8	20
Q8VBT2_5_317_2o2j.1.B_swissmodel_KYNU_PLP_1.dlg	-11.32	47	-10.25	1	-5.09	47	-3.81	1	-5.04	53	-4.2	-6.72	29	4	7
O35423-2_1_390_3kgw.1.A_swissmodel_KYNU_PLP_1.dlg	-12.55	6	-11.81	65	-4.03	6	-7.05	65	-7.05	65	-6.15	-7.05	65	2	16
A2AIG8-2_41_459_1m4n.1.A_swissmodel_KYNU_PLP_2.dlg	-11.4	75	-11.4	75	-4.74	75	-4.74	75	-7.3	6	-5.18	-7.3	6	1	24
P50431_1_478_1eji_pdb_KYNU_PLP_1.dlg	-15.44	51	-15.44	51	-8.02	51	-8.02	51	-8.93	38	-7.74	-8.93	38	1	49
P05202_30_430_3pdb_pdb_KYNU_PLP_2.dlg	-14.92	75	-14.7	84	-6.77	75	-6.0	84	-6.18	85	-5.54	-9.2	50	2	20
Q8BGT5_49_521_3ihj.1.A_swissmodel_KYNU_PLP_1.dlg	-11.56	30	-11.42	71	-6.07	30	-5.94	71	-7.13	97	-5.75	-8.1	57	2	19
Q91WT9-1_40_557_4pcu.1.A_swissmodel_KYNU_PLP_2.dlg	-10.0	24	-10.0	24	-6.53	24	-6.53	24	-7.25	58	-5.95	-7.25	58	1	20
Q71RI9-1_42_451_5vep_pdb_KYNU_PLP_1.dlg	-13.31	21	-12.0	56	-7.97	21	-7.45	56	-7.84	98	-6.53	-7.98	65	4	17
Q7TSV6-1_3_399_2cst.1.A_swissmodel_KYNU_PLP_1.dlg	-13.04	24	-12.34	90	-4.55	24	-4.35	90	-5.38	61	-4.3	-8.47	39	6	14
Q9ET01_24_839_1xoi.1.A_swissmodel_KYNU_PLP_1.dlg	-13.28	69	-11.45	43	-6.44	69	-6.05	43	-6.17	21	-5.52	-8.15	61	5	22
Q14CH1_35_495_5j8q.1.A_swissmodel_KYNU_PLP_1.dlg	-10.76	83	-9.16	44	-6.3	83	-3.01	44	-4.98	10	-3.66	-6.6	53	3	15
Q8R1K4-1_10_436_5g4i.1.A_swissmodel_KYNU_PLP_1.dlg	-13.18	78	-12.71	96	-6.5	78	-4.41	96	-4.49	3	-4.18	-7.85	34	5	11
P50431_1_478_1eji_pdb_KYNU_PLP_2.dlg	-14.69	52	-14.69	52	-7.61	52	-7.61	52	-7.94	18	-6.92	-7.94	18	1	56
O88986_28_415_1fc4.1.A_swissmodel_KYNU_PLP_1.dlg	-8.66	20	-8.66	20	-3.07	20	-3.07	20	-4.42	38	-1.39	-5.32	74	1	35
Q6P6M7_23_467_3bcb_pdb_KYNU_PLP_2.dlg	-15.37	14	-15.37	14	-6.61	14	-6.61	14	-7.24	25	-6.14	-8.36	16	1	16
Q8R0X7_110_553_4q6r.1.A_swissmodel_KYNU_PLP_2.dlg	-13.45	44	-12.87	46	-7.44	44	-4.65	46	-5.51	26	-4.7	-7.79	77	2	29
Q3UEG6_52_507_4atp.1.A_swissmodel_KYNU_PLP_2.dlg	-5.39	39	-5.39	39	-4.65	39	-4.65	39	-4.65	39	-1.35	-7.68	84	1	34
Q71RI9-1_42_451_2zjg_pdb_KYNU_PLP_1.dlg	-13.38	42	-12.88	62	-7.58	42	-6.56	62	-6.92	32	-6.27	-7.87	76	3	15
Q71RI9-1_42_451_5ver_pdb_KYNU_PLP_3.dlg	-14.96	22	-14.96	22	-6.44	22	-6.44	22	-8.89	64	-6.52	-8.89	64	1	33
O35423-1_23_412_3kgw.1.A_swissmodel_KYNU_PLP_2.dlg	-11.69	76	-11.26	80	-6.7	76	-7.24	80	-7.36	62	-6.58	-7.6	33	3	31
O35423-1_27_412_3kgw_pdb_KYNU_PLP_1.dlg	-12.37	88	-11.0	30	-3.79	88	-6.56	30	-6.74	62	-6.0	-7.24	25	5	27
Q80WP8-2_68_523_2okj.1.A_swissmodel_KYNU_PLP_2.dlg	-12.5	88	-12.49	29	-6.91	88	-7.41	29	-7.98	95	-6.33	-7.98	95	2	28
Q71RI9-1_42_451_5veq.1.A_swissmodel_KYNU_PLP_2.dlg	-16.23	57	-16.23	57	-7.53	57	-7.53	57	-8.78	94	-7.45	-8.78	94	1	56
Q9CZN7-1_43_503_5x3v.1.A_swissmodel_KYNU_PLP_1.dlg	-8.87	94	-8.58	44	-4.23	94	-4.13	44	-4.86	30	-3.79	-6.46	80	2	12
Q14CH1_35_495_5j8q.1.A_swissmodel_KYNU_PLP_2.dlg	-10.02	33	-8.33	72	-3.21	33	-5.95	72	-6.52	93	-5.51	-6.95	3	6	21
Q8QZR1_52_442_4ge9.1.A_swissmodel_KYNU_PLP_1.dlg	-8.38	95	-8.02	89	-7.08	95	-3.7	89	-5.79	77	-4.39	-7.08	95	4	19
Q80WP8-1_59_550_6enz_pdb_KYNU_PLP_1.dlg	-11.75	92	-10.27	30	-6.11	92	-8.18	30	-8.33	26	-6.91	-8.33	26	11	12
P61922-1_39_499_4zsy.1.A_swissmodel_KYNU_PLP_2.dlg	-13.0	97	-13.0	97	-6.94	97	-6.94	97	-7.41	56	-6.34	-7.97	44	1	41
O35484_8_435_3btn_pdb_KYNU_PLP_1.dlg	-9.73	81	-9.73	81	-3.91	81	-3.91	81	-4.82	14	-4.1	-5.68	42	1	17
Q7TSV6-1_3_399_2cst.1.A_swissmodel_KYNU_PLP_2.dlg	-13.03	12	-12.43	45	-6.55	12	-7.49	45	-7.63	11	-6.45	-8.94	78	2	22
Q3UEG6_52_507_4atp.1.A_swissmodel_KYNU_PLP_3.dlg	-11.21	59	-11.21	59	-7.1	59	-7.1	59	-7.1	59	-4.8	-7.1	59	1	42
O35484_8_435_3btn_pdb_KYNU_PLP_2.dlg	-7.96	87	-7.37	67	-4.81	87	-2.51	67	-2.99	83	-2.41	-5.62	6	10	16
Q3UEG6_63_509_6fyq.1.A_swissmodel_KYNU_PLP_2.dlg	-10.64	80	-8.47	32	-5.49	80	-6.99	32	-7.24	77	-6.24	-7.86	18	4	11
P00860_7_427_1d7k.1.A_swissmodel_KYNU_PLP_2.dlg	-11.44	87	-10.4	39	-4.95	87	-6.18	39	-6.18	39	-5.45	-7.04	22	4	15
A2AIG8-1_64_482_1m4n.1.A_swissmodel_KYNU_PLP_1.dlg	-11.43	30	-10.97	43	-6.48	30	-5.38	43	-6.28	90	-5.28	-6.57	60	2	24
Q8QZR5_20_495_3tcm.1.A_swissmodel_KYNU_PLP_2.dlg	-5.46	89	-5.46	89	-1.26	89	-1.26	89	-4.0	50	0.35	-6.32	37	1	30
P05202_30_430_3pdb_pdb_KYNU_PLP_1.dlg	-14.65	64	-14.45	41	-8.76	64	-6.34	41	-6.44	71	-5.7	-8.76	64	2	25
Q71RI9-1_42_451_3e2z_pdb_KYNU_PLP_2.dlg	-17.78	8	-17.78	8	-8.3	8	-8.3	8	-8.75	84	-7.12	-9.21	85	1	57
Q6P6M7_23_466_3bca_pdb_KYNU_PLP_2.dlg	-15.51	68	-15.51	68	-7.51	68	-7.51	68	-8.67	81	-7.05	-8.67	81	1	21
P05202_30_430_3pd6_pdb_KYNU_PLP_2.dlg	-14.88	64	-14.88	64	-7.05	64	-7.05	64	-7.05	64	-5.71	-8.89	9	1	22
P23738_17_484_4e1o.1.A_swissmodel_KYNU_PLP_1.dlg	-14.96	19	-14.96	19	-7.15	19	-7.15	19	-7.16	88	-6.41	-7.86	86	1	33
Q9DBE0_7_493_2jis.1.A_swissmodel_KYNU_PLP_2.dlg	-11.79	46	-11.52	29	-5.37	46	-6.64	29	-6.96	62	-5.98	-7.19	76	2	20
Q9Z1J3_58_459_6nzu.1.A_swissmodel_KYNU_PLP_1.dlg	-12.22	2	-12.22	2	-7.15	2	-7.15	2	-7.18	72	-6.45	-7.26	31	1	7
Q91W43_57_1010_6i34.1.A_swissmodel_KYNU_PLP_2.dlg	-10.21	92	-8.14	33	-4.76	92	-5.15	33	-5.15	33	-4.29	-6.43	94	8	10
Q3UEG6_63_509_6fyq.1.A_swissmodel_KYNU_PLP_1.dlg	-9.89	65	-9.49	43	-4.57	65	-7.17	43	-7.62	74	-6.94	-7.62	74	2	24
Q9CZN7-1_43_503_5x3v.1.A_swissmodel_KYNU_PLP_2.dlg	-8.15	42	-8.15	42	-4.78	42	-4.78	42	-4.89	73	-4.36	-5.28	1	1	20
P97363_115_554_5txr.1.A_swissmodel_KYNU_PLP_2.dlg	-10.38	27	-10.38	27	-1.44	27	-1.44	27	-2.31	54	-1.53	-2.78	58	1	37
Q9ET01_24_839_1xoi.1.A_swissmodel_KYNU_PLP_2.dlg	-12.9	99	-12.65	29	-7.78	99	-7.2	29	-7.57	55	-6.42	-7.85	20	2	30
Q6P6M7_23_466_3bca_pdb_KYNU_PLP_3.dlg	-15.62	40	-15.03	16	-7.43	40	-6.33	16	-6.46	11	-5.18	-8.42	42	2	16
A2AIG8-2_42_459_4n0b.2.B_swissmodel_KYNU_PLP_2.dlg	-13.02	51	-12.77	78	-6.42	51	-5.49	78	-5.8	60	-5.04	-7.48	68	3	10
P24288_21_385_2abj.1.A_swissmodel_KYNU_PLP_2.dlg	-10.79	19	-10.1	71	-5.36	19	-4.98	71	-5.22	2	-4.39	-7.08	86	8	12
P61922-1_39_499_4zsy.1.A_swissmodel_KYNU_PLP_1.dlg	-12.06	38	-12.06	38	-5.64	38	-5.64	38	-6.25	25	-5.13	-8.02	54	1	56
Q3UX83-1_157_576_1m4n.1.A_swissmodel_KYNU_PLP_1.dlg	-12.16	95	-11.76	38	-7.44	95	-4.68	38	-6.47	77	-5.12	-7.68	32	5	28
P48318_92_593_2okj.1.A_swissmodel_KYNU_PLP_1.dlg	-9.71	57	-9.71	57	-6.82	57	-6.82	57	-6.82	57	-5.18	-6.82	57	1	33
Q3UEG6_52_507_4atp.1.A_swissmodel_KYNU_PLP_1.dlg	-10.32	27	-10.32	27	-5.67	27	-5.67	27	-6.74	46	-5.59	-7.19	85	1	36
Q9WUB3_11_836_2pyd.1.A_swissmodel_KYNU_PLP_1.dlg	-12.66	44	-10.15	85	-7.04	44	-8.3	85	-8.3	85	-6.44	-8.3	85	10	22
Q71RI9-1_42_451_3e2y_pdb_KYNU_PLP_2.dlg	-18.37	89	-18.37	89	-8.88	89	-8.88	89	-8.88	89	-7.06	-8.88	89	1	58
Q3UX83-2_105_524_1m4n.1.A_swissmodel_KYNU_PLP_1.dlg	-12.6	86	-11.69	78	-4.92	86	-6.06	78	-6.57	41	-5.58	-7.56	84	4	17
Q80WP8-2_68_523_2okj.1.A_swissmodel_KYNU_PLP_1.dlg	-11.1	31	-10.64	56	-6.41	31	-6.07	56	-6.58	93	-5.44	-7.42	80	3	17
Q71RI9-1_42_451_5veq.1.A_swissmodel_KYNU_PLP_1.dlg	-17.11	89	-17.11	89	-9.26	89	-9.26	89	-9.55	35	-8.22	-9.55	35	1	45
Q8BG54_108_530_6hrh.1.B_swissmodel_KYNU_PLP_2.dlg	-11.34	6	-11.34	6	-3.48	6	-3.48	6	-4.57	42	-3.51	-6.82	68	1	19
O35484_11_417_1d7k.1.B_swissmodel_KYNU_PLP_1.dlg	-7.85	83	-7.05	73	-4.69	83	-4.33	73	-4.98	57	-4.2	-5.13	79	3	19
Q8VCN5_9_398_5tsu.1.C_swissmodel_KYNU_PLP_3.dlg	-10.53	79	-10.53	79	-5.78	79	-5.78	79	-7.84	36	-4.62	-7.84	36	1	35
Q3UX83-2_102_522_6d0a.1.A_swissmodel_KYNU_PLP_2.dlg	-11.38	66	-11.38	66	-3.28	66	-3.28	66	-4.5	55	-3.32	-8.04	38	1	21
Q71RI9-1_42_451_5ver_pdb_KYNU_PLP_1.dlg	-16.26	1	-14.7	54	-7.96	1	-8.06	54	-9.17	37	-8.19	-9.17	37	2	21
P08680_143_578_6hrh.1.B_swissmodel_KYNU_PLP_1.dlg	-11.9	80	-11.9	80	-5.36	80	-5.36	80	-5.7	30	-4.57	-5.75	93	1	81
Q8VCN5_9_398_5tsu.1.C_swissmodel_KYNU_PLP_2.dlg	-12.16	41	-12.16	41	-6.17	41	-6.17	41	-8.31	6	-5.18	-8.48	14	1	40
P50431_9_478_1rvu.1.A_swissmodel_KYNU_PLP_4.dlg
Q8BTY1_4_421_1w7m.1.A_swissmodel_KYNU_PLP_2.dlg	-16.34	38	-16.34	38	-7.98	38	-7.98	38	-7.98	38	-6.55	-8.18	65	1	56
Q8QZR1_52_442_4ge9.1.A_swissmodel_KYNU_PLP_2.dlg	-8.53	17	-8.2	63	-4.6	17	-6.16	63	-6.18	69	-4.15	-6.27	52	3	25
Q3UX83-2_102_522_6d0a.1.A_swissmodel_KYNU_PLP_1.dlg	-9.94	84	-9.94	84	-5.66	84	-5.66	84	-6.39	60	-4.81	-7.17	45	1	12
A2AIG8-1_64_482_1m4n.1.A_swissmodel_KYNU_PLP_2.dlg	-11.28	86	-11.11	65	-6.35	86	-6.14	65	-6.7	39	-5.54	-7.04	63	2	21
P50431_9_478_1rvu.1.A_swissmodel_KYNU_PLP_1.dlg	-9.55	26	-9.55	26	-6.3	26	-6.3	26	-7.05	49	-5.8	-7.05	49	1	32
Q8CI94_11_836_2pyd.1.A_swissmodel_KYNU_PLP_1.dlg	-11.77	48	-9.89	59	-5.89	48	-6.6	59	-7.38	91	-6.11	-8.19	20	7	22
Q8QZR1_64_442_3pdx_pdb_KYNU_PLP_2.dlg	-11.77	3	-11.77	3	-5.49	3	-5.49	3	-5.7	6	-5.15	-8.1	52	1	26
Q71RI9-1_42_451_5ver_pdb_KYNU_PLP_2.dlg	-17.21	87	-17.21	87	-8.61	87	-8.61	87	-9.06	14	-7.36	-9.72	92	1	41
O35484_11_417_1d7k.1.B_swissmodel_KYNU_PLP_2.dlg	-7.05	75	-7.05	75	-4.45	75	-4.45	75	-5.19	36	-4.43	-5.4	24	1	14
Q8R1K4-2_26_438_5g4i.1.A_swissmodel_KYNU_PLP_1.dlg	-10.96	64	-10.96	64	-4.96	64	-4.96	64	-5.98	86	-4.76	-6.95	22	1	22
Q8R238_12_327_2rkb.1.A_swissmodel_KYNU_PLP_2.dlg	-12.51	63	-12.51	63	-5.65	63	-5.65	63	-6.79	47	-5.77	-8.23	18	1	25
Q9QZX7-3_3_180_3hmk.1.A_swissmodel_KYNU_PLP_1.dlg	-10.14	98	-10.14	98	-4.5	98	-4.5	98	-4.54	83	-3.94	-6.32	6	1	12
Q71RI9-1_42_451_5veq_pdb_KYNU_PLP_3.dlg	-17.89	20	-17.89	20	-7.34	20	-7.34	20	-8.96	10	-7.38	-9.2	77	1	27
Q8BH55_226_741_1kl7.1.A_swissmodel_KYNU_PLP_1.dlg	-11.64	63	-11.26	22	-7.43	63	-4.07	22	-5.21	77	-4.29	-8.04	18	3	18
Q6P6M7_23_467_3bc8_pdb_KYNU_PLP_3.dlg	-15.09	44	-14.61	25	-5.42	44	-7.6	25	-7.6	25	-6.55	-7.78	17	2	13
Q91WT9-1_40_557_4pcu.1.B_swissmodel_KYNU_PLP_2.dlg	-11.68	66	-11.68	66	-4.82	66	-4.82	66	-5.2	26	-4.75	-7.36	63	1	9
O35484_8_435_3btn.1.A_swissmodel_KYNU_PLP_1.dlg	-8.48	100	-8.48	100	-4.44	100	-4.44	100	-4.76	59	-3.8	-5.27	36	1	16
P08680_143_578_6hrh.1.B_swissmodel_KYNU_PLP_2.dlg	-11.94	76	-11.47	1	-5.74	76	-4.6	1	-5.95	98	-4.13	-7.71	52	2	38
Q6XPS7_39_398_1lw4.1.D_swissmodel_KYNU_PLP_1.dlg	-9.92	52	-9.92	52	-7.04	52	-7.04	52	-7.53	41	-6.12	-7.53	41	1	27
Q9DBE0_7_493_2jis.1.A_swissmodel_KYNU_PLP_1.dlg	-12.22	19	-11.35	77	-7.09	19	-3.87	77	-4.73	49	-3.77	-7.43	27	3	17
O35423-1_27_412_3kgw_pdb_KYNU_PLP_2.dlg	-11.55	36	-11.08	32	-7.37	36	-6.4	32	-7.46	96	-6.68	-7.93	70	3	30
Q9CXF0_6_460_3e9k.1.A_swissmodel_KYNU_PLP_1.dlg	-9.93	98	-8.92	48	-3.69	98	-2.22	48	-3.59	23	-2.53	-7.8	58	5	18
P48320_88_584_2okk.1.A_swissmodel_KYNU_PLP_2.dlg	-11.15	38	-11.15	38	-3.97	38	-3.97	38	-5.14	5	-4.02	-7.93	75	1	10
Q71RI9-1_42_451_5veq_pdb_KYNU_PLP_4.dlg
Q9WUB3_11_836_2pyd.1.A_swissmodel_KYNU_PLP_2.dlg	-11.82	59	-10.39	6	-5.01	59	-6.99	6	-7.17	95	-6.17	-8.06	93	5	19
Q9JLI6-2_17_283_3a9x.1.A_swissmodel_KYNU_PLP_2.dlg	-9.15	47	-8.0	12	-2.17	47	-1.96	12	-2.73	53	-1.73	-5.84	7	5	12
Q71RI9-1_42_451_3e2f_pdb_KYNU_PLP_2.dlg	-14.09	90	-14.09	90	-6.81	90	-6.81	90	-7.76	5	-6.82	-7.76	5	1	18
P00860_2_418_7odc_pdb_KYNU_PLP_1.dlg	-12.65	91	-12.65	91	-6.34	91	-6.34	91	-6.68	13	-5.66	-7.75	48	1	11
Q6P6M7_23_467_3bcb_pdb_KYNU_PLP_1.dlg	-14.63	6	-12.73	69	-7.59	6	-6.05	69	-7.77	4	-5.61	-8.17	46	10	15
Q6P6M7_23_467_3bc8_pdb_KYNU_PLP_4.dlg
Q6P6M7_23_467_3bcb_pdb_KYNU_PLP_3.dlg	-15.35	75	-12.9	37	-7.96	75	-7.86	37	-7.91	45	-6.8	-7.96	75	12	14
Q80WP8-2_59_493_6enz.1.A_swissmodel_KYNU_PLP_1.dlg	-9.45	25	-9.11	20	-7.11	25	-6.34	20	-6.39	78	-5.68	-7.24	63	4	14
Q91W43_57_1010_6i34.1.A_swissmodel_KYNU_PLP_1.dlg	-8.8	15	-5.21	6	-4.05	15	-5.05	6	-5.26	65	-4.26	-6.58	23	12	24
Q8BTY1_4_421_1w7m.1.A_swissmodel_KYNU_PLP_1.dlg	-15.98	76	-15.98	76	-7.96	76	-7.96	76	-8.21	64	-6.43	-8.21	64	1	65
Q6P6M7_23_467_3bcb.1.A_swissmodel_KYNU_PLP_4.dlg
Q8R238_12_327_2rkb.1.A_swissmodel_KYNU_PLP_1.dlg	-12.22	41	-12.22	41	-6.09	41	-6.09	41	-6.96	57	-5.53	-7.95	52	1	18
O35423-1_23_412_3kgw.1.A_swissmodel_KYNU_PLP_1.dlg	-12.03	8	-10.99	89	-6.88	8	-3.92	89	-5.19	23	-4.14	-7.07	84	4	21
