CYT	Best Cluster (kcal/mol)	Run	Largest Cluster (kcal/mol)	Run	Best Cluster Res (kcal/mol)	Run	Largest Cluster Res (kcal/mol)	Run	Largest Cluster Res Best (kcal/mol)	Run	Largest Cluster Res Mean (kcal/mol)	bestbest (kcal/mol)	Run	Largest Cluster	Num in Largest Cluster
Q8R1K4-2_26_438_5g4i.1.A_swissmodel_CYT_PLP_1.dlg	-12.93	38	-11.39	98	-3.52	38	-1.83	98	-3.6	33	-2.83	-7.14	27	9	9
Q80WP8-2_68_523_2okj.1.A_swissmodel_CYT_PLP_1.dlg	-12.55	72	-12.55	72	-9.63	72	-9.63	72	-9.63	72	-6.83	-9.63	72	1	35
Q71RI9-1_42_451_5vep_pdb_CYT_PLP_2.dlg	-14.97	7	-14.97	7	-7.38	7	-7.38	7	-7.77	54	-6.54	-8.68	19	1	24
Q8CI94_11_836_2pyd.1.A_swissmodel_CYT_PLP_2.dlg	-13.52	34	-13.52	34	-6.57	34	-6.57	34	-6.99	19	-5.93	-7.85	37	1	18
Q8VCN5_9_398_5tsu.1.C_swissmodel_CYT_PLP_2.dlg	-15.73	100	-15.73	100	-10.15	100	-10.15	100	-10.15	100	-6.97	-10.49	95	1	36
Q91WT9-1_40_557_4pcu.1.B_swissmodel_CYT_PLP_2.dlg	-11.22	73	-10.04	46	-5.65	73	-5.81	46	-6.5	96	-5.37	-7.02	34	3	16
Q8R1K4-1_10_436_5g4i.1.A_swissmodel_CYT_PLP_1.dlg	-14.98	48	-14.98	48	-4.54	48	-4.54	48	-4.86	95	-4.02	-7.51	7	1	20
A2AIG8-2_42_459_4n0b.2.B_swissmodel_CYT_PLP_2.dlg	-14.55	10	-12.73	42	-6.91	10	-5.24	42	-6.63	73	-5.16	-8.33	14	8	13
Q91WT9-1_40_557_4pcu.1.B_swissmodel_CYT_PLP_1.dlg	-12.06	12	-10.63	7	-3.17	12	-5.41	7	-5.41	7	-3.65	-7.28	38	5	9
Q8VCN5_9_398_5tsu.1.C_swissmodel_CYT_PLP_1.dlg	-14.78	16	-14.78	16	-7.46	16	-7.46	16	-7.46	16	-5.12	-8.55	39	1	16
P00860_2_418_7odc_pdb_CYT_PLP_1.dlg	-14.64	9	-11.94	45	-7.86	9	-2.73	45	-3.5	38	-3.04	-10.78	53	13	6
O88986_28_415_1fc4.1.A_swissmodel_CYT_PLP_1.dlg	-9.12	90	-9.12	90	-6.27	90	-6.27	90	-6.89	100	-4.96	-6.98	59	1	24
P61922-2_39_444_4y0h.1.A_swissmodel_CYT_PLP_2.dlg	-15.5	96	-14.96	61	-7.56	96	-7.77	61	-8.16	1	-6.62	-8.88	46	2	28
Q3UX83-2_105_524_1m4n.1.A_swissmodel_CYT_PLP_2.dlg	-13.98	72	-12.69	11	-4.63	72	-4.15	11	-4.85	74	-3.91	-7.8	8	8	11
Q9DBE0_7_493_2jis.1.A_swissmodel_CYT_PLP_1.dlg	-13.85	63	-13.37	10	-5.25	63	-6.47	10	-6.47	10	-5.09	-7.18	65	3	10
O88986_28_415_1fc4.1.A_swissmodel_CYT_PLP_2.dlg	-10.52	68	-10.52	68	-6.12	68	-6.12	68	-7.07	74	-4.4	-7.28	54	1	22
Q71RI9-1_42_451_5vep_pdb_CYT_PLP_1.dlg	-13.46	14	-11.27	25	-6.85	14	-8.15	25	-8.15	25	-6.91	-10.11	91	14	10
Q3UX83-1_157_576_1m4n.1.A_swissmodel_CYT_PLP_2.dlg	-13.47	24	-13.13	78	-7.01	24	-4.57	78	-5.98	50	-4.3	-7.21	64	6	13
O35423-1_27_412_3kgw_pdb_CYT_PLP_1.dlg	-14.0	70	-12.22	42	-6.77	70	-6.12	42	-6.72	61	-5.74	-7.66	34	5	15
Q71RI9-1_42_451_2zjg_pdb_CYT_PLP_2.dlg	-14.68	69	-14.68	69	-6.61	69	-6.61	69	-9.5	15	-7.06	-9.5	15	1	21
P50431_1_478_1eji_pdb_CYT_PLP_2.dlg	-16.04	31	-16.04	31	-7.12	31	-7.12	31	-8.68	100	-7.3	-8.68	100	1	27
Q9CZN7-1_43_503_5x3v.1.A_swissmodel_CYT_PLP_1.dlg	-10.19	76	-10.19	76	-6.18	76	-6.18	76	-6.18	76	-4.98	-6.47	78	1	11
O88533_1_467_1js6.1.A_swissmodel_CYT_PLP_2.dlg	-13.52	100	-12.18	24	-5.84	100	-2.67	24	-3.63	62	-3.1	-7.72	29	6	16
O35484_8_435_3btn.1.A_swissmodel_CYT_PLP_1.dlg	-9.45	86	-9.12	98	-4.11	86	-1.89	98	-3.21	71	-2.11	-6.11	26	2	10
Q71RI9-1_42_451_2zjg_pdb_CYT_PLP_1.dlg	-14.59	48	-14.59	48	-7.51	48	-7.51	48	-8.11	38	-6.74	-9.6	90	1	12
Q8QZR1_64_442_3pdx_pdb_CYT_PLP_1.dlg	-11.51	42	-11.04	60	-4.21	42	-5.32	60	-5.83	96	-5.03	-9.29	94	5	10
Q99K85_17_370_3e77.1.A_swissmodel_CYT_PLP_2.dlg	-15.05	12	-15.05	12	-4.73	12	-4.73	12	-4.85	64	-3.92	-6.71	98	1	10
Q6XPS7_39_398_1lw4.1.D_swissmodel_CYT_PLP_1.dlg	-8.45	80	-8.45	80	-5.98	80	-5.98	80	-6.92	89	-5.02	-6.92	89	1	21
Q3UX83-1_157_576_1m4n.1.A_swissmodel_CYT_PLP_1.dlg	-13.41	33	-13.39	27	-4.12	33	-6.13	27	-6.13	27	-5.11	-7.79	88	2	17
Q71RI9-1_42_451_3e2z_pdb_CYT_PLP_2.dlg	-17.76	32	-17.76	32	-8.26	32	-8.26	32	-9.77	60	-6.49	-11.09	96	1	42
Q8VBT2_5_317_2o2j.1.B_swissmodel_CYT_PLP_2.dlg	-11.86	7	-11.86	7	-3.45	7	-3.45	7	-3.93	63	-3.45	-5.55	83	1	5
P29758_38_439_2can.1.A_swissmodel_CYT_PLP_2.dlg	-11.9	4	-11.9	4	-4.72	4	-4.72	4	-6.01	81	-4.69	-7.5	83	1	39
Q6XPS7_39_398_1lw4.1.D_swissmodel_CYT_PLP_4.dlg
Q71RI9-1_42_451_5veq.1.A_swissmodel_CYT_PLP_1.dlg	-17.53	51	-17.53	51	-7.03	51	-7.03	51	-8.67	98	-7.14	-10.22	23	1	41
Q8R0X7_110_553_4q6r.1.A_swissmodel_CYT_PLP_2.dlg	-13.35	13	-13.35	13	-8.34	13	-8.34	13	-9.12	75	-8.33	-9.12	75	1	21
Q8VBT2_5_317_2o2j.1.B_swissmodel_CYT_PLP_1.dlg	-12.3	72	-11.22	57	-5.83	72	-4.55	57	-4.92	52	-3.74	-6.66	4	9	7
Q14CH1_48_490_3a9y.1.B_swissmodel_CYT_PLP_1.dlg	-6.04	81	-6.04	81	-6.91	81	-6.91	81	-6.91	81	-4.29	-6.91	81	1	56
Q8QZR5_20_495_3tcm.1.A_swissmodel_CYT_PLP_2.dlg	-8.02	44	-8.02	44	-6.2	44	-6.2	44	-7.85	13	-3.72	-7.85	13	1	16
Q8R1K4-1_10_436_5g4i.1.A_swissmodel_CYT_PLP_2.dlg	-16.79	31	-15.16	64	-4.97	31	-4.61	64	-5.6	47	-4.18	-8.46	87	4	18
Q8VCN5_9_398_5tsu.1.C_swissmodel_CYT_PLP_4.dlg
Q91WT9-2_40_543_4pcu.1.A_swissmodel_CYT_PLP_2.dlg	-7.96	50	-7.37	42	-6.08	50	-4.9	42	-4.9	42	-3.29	-7.24	2	2	15
A2AIG8-2_41_459_1m4n.1.A_swissmodel_CYT_PLP_2.dlg	-12.69	100	-12.69	100	-4.81	100	-4.81	100	-4.81	100	-3.94	-6.64	46	1	16
Q99K85_17_370_3e77.1.A_swissmodel_CYT_PLP_1.dlg	-13.87	76	-13.42	82	-5.02	76	-4.6	82	-5.18	69	-4.34	-8.35	98	4	10
P97363_115_554_5txr.1.A_swissmodel_CYT_PLP_1.dlg	-12.15	34	-12.15	34	-2.51	34	-2.51	34	-3.15	8	-2.31	-4.14	83	1	29
P61922-1_39_499_4zsy.1.A_swissmodel_CYT_PLP_1.dlg	-15.02	52	-15.02	52	-6.34	52	-6.34	52	-8.23	81	-6.08	-8.4	63	1	69
P05201_1_413_5tor.1.A_swissmodel_CYT_PLP_2.dlg	-15.53	78	-15.53	78	-6.49	78	-6.49	78	-6.49	78	-5.16	-9.78	50	1	10
Q9ET01_24_839_1xoi.1.A_swissmodel_CYT_PLP_1.dlg	-13.19	4	-13.19	4	-8.52	4	-8.52	4	-8.65	94	-7.36	-8.65	94	1	27
Q91WT9-1_39_559_4l28.1.A_swissmodel_CYT_PLP_1.dlg	-8.2	100	-8.2	100	-5.16	100	-5.16	100	-5.16	100	-3.1	-6.41	18	1	16
Q71RI9-1_42_451_3e2f_pdb_CYT_PLP_2.dlg	-15.08	17	-15.08	17	-8.43	17	-8.43	17	-8.45	47	-6.98	-8.95	71	1	21
Q8R238_12_327_2rkb.1.A_swissmodel_CYT_PLP_2.dlg	-13.12	39	-11.94	1	-5.09	39	-3.75	1	-4.31	46	-3.43	-8.1	60	5	12
O35484_11_417_1d7k.1.B_swissmodel_CYT_PLP_1.dlg	-8.08	82	-7.78	34	-5.35	82	-3.05	34	-3.05	34	-2.18	-6.41	22	3	9
Q9CZN7-2_40_500_5x3v.1.A_swissmodel_CYT_PLP_2.dlg	-9.79	36	-9.79	36	-3.76	36	-3.76	36	-4.46	14	-3.25	-6.0	12	1	14
Q8VCN5_9_398_5tsu.1.C_swissmodel_CYT_PLP_3.dlg	-13.38	98	-13.38	98	-9.33	98	-9.33	98	-10.03	64	-6.8	-10.31	2	1	39
Q8BTY1_4_421_1w7m.1.A_swissmodel_CYT_PLP_1.dlg	-16.42	38	-16.42	38	-7.24	38	-7.24	38	-7.3	13	-5.73	-9.42	63	1	42
P61922-2_39_444_4y0h.1.A_swissmodel_CYT_PLP_1.dlg	-14.75	6	-14.75	6	-6.11	6	-6.11	6	-8.55	99	-6.04	-8.55	99	1	75
Q6P6M7_23_467_3bcb.1.A_swissmodel_CYT_PLP_3.dlg	-16.66	10	-16.04	44	-6.83	10	-7.21	44	-7.97	52	-6.48	-9.75	98	3	16
Q80WP8-2_59_493_6enz.1.A_swissmodel_CYT_PLP_2.dlg	-9.77	9	-9.77	9	-6.45	9	-6.45	9	-6.45	9	-4.52	-8.41	92	1	29
Q80WP8-2_63_477_5hsj.1.A_swissmodel_CYT_PLP_1.dlg	-12.28	2	-11.94	79	-5.41	2	-4.34	79	-4.46	6	-3.55	-8.1	65	3	17
Q80WP8-1_59_550_6enz_pdb_CYT_PLP_1.dlg	-11.32	62	-10.75	59	-3.29	62	-8.35	59	-8.35	59	-7.38	-8.43	74	5	8
Q9Z1J3_58_459_6nzu.1.A_swissmodel_CYT_PLP_1.dlg	-11.98	80	-11.45	86	-4.19	80	-5.06	86	-5.71	37	-4.89	-7.33	46	2	11
Q80WP8-1_64_549_5hsj.1.A_swissmodel_CYT_PLP_1.dlg	-13.12	86	-12.9	77	-5.49	86	-5.26	77	-5.51	10	-4.4	-7.03	9	6	9
Q8QZR1_64_442_3pdx.1.A_swissmodel_CYT_PLP_2.dlg	-11.94	95	-10.45	94	-3.86	95	-4.12	94	-4.16	14	-3.56	-9.27	5	8	10
Q6XPS7_39_398_1lw4.1.D_swissmodel_CYT_PLP_3.dlg	-7.6	54	-5.96	39	-6.74	54	-4.16	39	-5.32	88	-2.76	-6.74	54	2	18
P00860_7_427_1d7k.1.A_swissmodel_CYT_PLP_2.dlg	-12.58	1	-10.51	75	-6.82	1	-6.28	75	-6.28	75	-5.34	-6.9	85	7	8
Q91W43_57_1010_6i34.1.A_swissmodel_CYT_PLP_2.dlg	-10.9	14	-7.22	55	-7.44	14	-3.23	55	-5.29	46	-4.22	-7.44	14	22	13
Q14CH1_35_495_5j8q.1.A_swissmodel_CYT_PLP_2.dlg	-11.69	75	-10.74	30	-3.29	75	-6.43	30	-6.43	30	-5.31	-7.11	53	2	19
P50431_1_478_1eji_pdb_CYT_PLP_4.dlg
P23738_17_484_4e1o.1.A_swissmodel_CYT_PLP_2.dlg	-15.12	99	-15.12	99	-5.65	99	-5.65	99	-8.2	32	-6.14	-9.34	26	1	25
Q9CXF0_6_460_3e9k.1.A_swissmodel_CYT_PLP_2.dlg	-11.34	93	-11.27	17	-6.72	93	-3.58	17	-4.35	9	-3.17	-6.86	95	2	23
Q71RI9-1_42_451_3e2f_pdb_CYT_PLP_1.dlg	-13.59	4	-11.86	86	-7.93	4	-8.34	86	-8.42	95	-7.6	-8.96	74	9	13
A2AIG8-1_64_482_1m4n.1.A_swissmodel_CYT_PLP_2.dlg	-12.2	31	-11.83	8	-3.76	31	-6.59	8	-6.59	8	-5.09	-8.21	38	3	14
Q71RI9-1_42_451_5veq_pdb_CYT_PLP_4.dlg
Q3UEG6_63_509_6fyq.1.A_swissmodel_CYT_PLP_1.dlg	-11.28	43	-9.55	99	-4.66	43	-8.49	99	-8.49	99	-7.35	-8.49	99	5	16
Q7TSV6-1_3_399_2cst.1.A_swissmodel_CYT_PLP_1.dlg	-14.73	44	-12.86	67	-5.5	44	-5.89	67	-6.38	42	-5.74	-7.82	13	10	13
Q7TSV6-1_3_399_2cst.1.A_swissmodel_CYT_PLP_2.dlg	-13.75	41	-12.73	38	-4.92	41	-6.94	38	-7.33	61	-5.98	-8.87	32	4	14
Q80WP8-1_59_550_6enz_pdb_CYT_PLP_2.dlg	-12.42	60	-12.42	60	-6.4	60	-6.4	60	-6.52	82	-5.75	-7.84	4	1	15
Q9JLI6-2_17_283_3a9x.1.A_swissmodel_CYT_PLP_2.dlg	-10.06	30	-9.37	83	-4.91	30	-1.98	83	-2.8	3	-2.04	-7.96	42	6	10
O35855_29_393_1ekp.1.A_swissmodel_CYT_PLP_1.dlg	-14.1	36	-12.75	20	-6.84	36	-4.3	20	-5.04	97	-4.48	-8.34	75	3	7
Q80WP8-1_59_550_6enz.1.A_swissmodel_CYT_PLP_2.dlg	-11.6	77	-11.42	83	-4.99	77	-7.93	83	-7.96	35	-6.79	-7.96	35	2	25
O35855_29_393_1ekp.1.A_swissmodel_CYT_PLP_2.dlg	-13.67	7	-13.67	7	-6.43	7	-6.43	7	-6.43	7	-5.45	-7.57	38	1	11
P97363_115_554_5txr.1.A_swissmodel_CYT_PLP_2.dlg	-11.8	8	-9.65	29	-1.84	8	-2.79	29	-3.55	5	-2.88	-3.65	94	6	17
O35423-2_1_390_3kgw.1.A_swissmodel_CYT_PLP_1.dlg	-13.22	75	-12.1	71	-6.85	75	-4.11	71	-5.62	80	-3.99	-8.22	91	4	13
Q3UNZ2_26_422_1d7k.1.B_swissmodel_CYT_PLP_1.dlg	-12.48	32	-11.12	24	-7.65	32	-5.11	24	-6.21	11	-4.92	-8.95	72	4	22
Q8BWU8_9_436_5g4i.1.A_swissmodel_CYT_PLP_2.dlg	-15.11	71	-15.11	71	-7.18	71	-7.18	71	-7.72	2	-6.76	-9.35	82	1	17
O35423-1_27_412_3kgx_pdb_CYT_PLP_1.dlg	-13.62	52	-13.62	52	-6.29	52	-6.29	52	-6.41	13	-5.7	-7.62	60	1	18
Q6P6M7_23_467_3bc8_pdb_CYT_PLP_1.dlg	-17.1	74	-17.1	74	-5.12	74	-5.12	74	-5.82	45	-4.88	-9.93	22	1	11
P48318_92_593_2okj.1.A_swissmodel_CYT_PLP_2.dlg	-14.38	82	-14.38	82	-5.99	82	-5.99	82	-6.35	34	-5.14	-8.89	24	1	17
Q91WT9-2_40_543_4pcu.1.A_swissmodel_CYT_PLP_1.dlg	-8.52	82	-4.63	85	-5.17	82	-2.77	85	-5.73	68	-3.28	-7.41	92	5	15
Q3UEG6_52_507_4atp.1.A_swissmodel_CYT_PLP_3.dlg	-12.03	67	-12.03	67	-5.4	67	-5.4	67	-6.92	10	-4.91	-8.85	52	1	46
Q9WVM8_1_425_4gdy.1.B_swissmodel_CYT_PLP_2.dlg	-16.45	95	-13.3	39	-5.35	95	-7.65	39	-9.39	94	-7.73	-10.8	11	15	14
A2AIG8-1_37_482_4n0b.2.B_swissmodel_CYT_PLP_1.dlg	-14.01	54	-11.81	49	-6.27	54	-6.52	49	-6.52	49	-5.62	-7.9	60	6	6
Q8R0X7_110_553_4q6r.1.A_swissmodel_CYT_PLP_1.dlg	-14.1	85	-14.1	85	-8.51	85	-8.51	85	-8.55	76	-7.92	-8.55	76	1	37
P08680_143_578_6hrh.1.B_swissmodel_CYT_PLP_2.dlg	-13.37	3	-13.37	3	-7.9	3	-7.9	3	-7.9	3	-6.2	-8.27	79	1	46
Q8BH55_226_741_1kl7.1.A_swissmodel_CYT_PLP_1.dlg	-12.2	21	-10.88	12	-4.74	21	-5.28	12	-5.81	90	-5.03	-7.33	22	7	12
Q9WVM8_1_425_4gdy.1.B_swissmodel_CYT_PLP_1.dlg	-15.95	43	-14.25	58	-6.65	43	-8.09	58	-9.79	50	-8.16	-9.79	50	7	11
Q6P6M7_23_467_3bc8_pdb_CYT_PLP_2.dlg	-16.32	66	-16.32	66	-5.73	66	-5.73	66	-6.49	46	-4.88	-8.96	77	1	10
Q14CH1_48_490_3a9y.1.B_swissmodel_CYT_PLP_2.dlg	-4.76	64	-4.76	64	-4.77	64	-4.77	64	-5.08	45	-2.83	-5.36	38	1	41
Q9WUB3_11_836_2pyd.1.A_swissmodel_CYT_PLP_1.dlg	-12.58	71	-12.33	43	-5.84	71	-5.59	43	-7.7	9	-6.03	-7.99	46	2	14
P61922-1_39_499_4zsy.1.A_swissmodel_CYT_PLP_2.dlg	-14.61	87	-14.02	92	-6.2	87	-7.05	92	-8.25	95	-6.71	-8.86	52	2	41
O35484_8_435_3btn_pdb_CYT_PLP_1.dlg	-11.48	30	-11.12	60	-5.19	30	-4.58	60	-4.58	60	-3.57	-5.94	23	2	8
Q8VC19_199_634_6hrh.1.B_swissmodel_CYT_PLP_2.dlg	-12.8	62	-12.8	62	-7.43	62	-7.43	62	-8.06	60	-6.65	-8.58	38	1	56
Q91WT9-2_40_543_4pcu.1.B_swissmodel_CYT_PLP_2.dlg	-8.62	48	-8.62	48	-5.26	48	-5.26	48	-6.31	2	-3.26	-7.11	24	1	19
Q8QZR1_64_442_3pdx.1.A_swissmodel_CYT_PLP_1.dlg	-12.05	45	-11.46	88	-2.99	45	-4.02	88	-4.26	82	-3.73	-9.41	60	3	11
Q80WP8-2_68_523_2okj.1.A_swissmodel_CYT_PLP_2.dlg	-13.91	5	-13.91	5	-9.22	5	-9.22	5	-9.94	82	-7.55	-9.94	82	1	25
Q3UEG6_52_507_4atp.1.A_swissmodel_CYT_PLP_1.dlg	-9.95	63	-9.95	63	-4.83	63	-4.83	63	-6.12	95	-4.19	-7.23	2	1	26
Q80WP8-1_64_549_5hsj.1.A_swissmodel_CYT_PLP_2.dlg	-14.17	21	-13.66	8	-6.14	21	-5.89	8	-6.51	65	-5.55	-7.04	15	2	22
Q71RI9-2_7_416_5veq.1.A_swissmodel_CYT_PLP_1.dlg	-18.11	47	-18.11	47	-7.99	47	-7.99	47	-9.29	83	-7.65	-10.09	45	1	51
Q8QZR1_52_442_4ge9.1.A_swissmodel_CYT_PLP_2.dlg	-10.82	59	-10.58	84	-4.72	59	-6.34	84	-6.99	49	-5.3	-6.99	49	2	22
Q71RI9-1_42_451_3e2y_pdb_CYT_PLP_2.dlg	-18.73	1	-18.73	1	-8.3	1	-8.3	1	-8.75	48	-6.54	-9.91	90	1	31
P48320_88_584_2okk.1.A_swissmodel_CYT_PLP_1.dlg	-12.62	46	-11.98	15	-3.36	46	-5.72	15	-6.83	40	-5.66	-8.09	86	4	7
Q71RI9-1_42_451_5veq_pdb_CYT_PLP_3.dlg	-18.74	93	-18.74	93	-7.22	93	-7.22	93	-8.47	99	-6.34	-10.27	18	1	27
Q6P6M7_23_467_3bc8_pdb_CYT_PLP_4.dlg
Q8BG54_108_530_6hrh.1.B_swissmodel_CYT_PLP_1.dlg	-11.48	32	-11.48	32	-7.67	32	-7.67	32	-7.67	32	-5.2	-8.04	51	1	28
P05202_30_430_3pd6_pdb_CYT_PLP_1.dlg	-16.01	42	-16.01	42	-6.93	42	-6.93	42	-6.93	42	-5.13	-9.33	72	1	14
P48320_88_584_2okk.1.A_swissmodel_CYT_PLP_2.dlg	-12.89	82	-11.57	57	-4.48	82	-4.35	57	-4.71	80	-3.71	-6.94	19	6	7
O35484_11_417_1d7k.1.B_swissmodel_CYT_PLP_2.dlg	-6.34	21	-5.99	2	-4.17	21	-6.21	2	-6.21	2	-4.61	-6.21	2	3	9
P29758_38_439_2can.1.A_swissmodel_CYT_PLP_1.dlg	-11.75	5	-11.75	5	-5.23	5	-5.23	5	-6.57	29	-4.95	-7.31	98	1	23
O35423-1_23_412_3kgw.1.A_swissmodel_CYT_PLP_1.dlg	-12.78	53	-12.78	53	-5.98	53	-5.98	53	-5.98	53	-4.82	-7.91	16	1	24
Q71RI9-1_42_451_5veq_pdb_CYT_PLP_2.dlg	-18.6	8	-18.6	8	-6.07	8	-6.07	8	-9.04	41	-6.84	-10.75	71	1	37
Q80W22_1_469_1kl7.1.A_swissmodel_CYT_PLP_1.dlg	-10.94	52	-10.94	52	-2.73	52	-2.73	52	-4.26	5	-3.37	-6.65	22	1	9
Q91WT9-2_40_543_4pcu.1.B_swissmodel_CYT_PLP_1.dlg	-8.17	5	-8.17	5	-6.37	5	-6.37	5	-6.37	5	-3.59	-6.39	42	1	18
Q3UEG6_52_507_4atp.1.A_swissmodel_CYT_PLP_4.dlg
P50431_1_478_1eji_pdb_CYT_PLP_1.dlg	-15.7	4	-15.7	4	-7.95	4	-7.95	4	-9.62	32	-7.82	-9.62	32	1	39
Q8QZR1_52_442_4ge9.1.A_swissmodel_CYT_PLP_1.dlg	-10.64	41	-10.64	41	-5.18	41	-5.18	41	-7.98	17	-6.02	-8.38	27	1	34
O35484_8_435_3btn_pdb_CYT_PLP_2.dlg	-9.46	72	-9.46	72	-4.73	72	-4.73	72	-4.73	72	-3.7	-6.24	77	1	4
Q3UX83-2_102_522_6d0a.1.A_swissmodel_CYT_PLP_2.dlg	-11.22	84	-9.74	50	-5.45	84	-5.43	50	-5.43	50	-3.93	-7.78	68	5	23
P05202_30_430_3hlm_pdb_CYT_PLP_2.dlg	-15.8	30	-15.8	30	-5.46	30	-5.46	30	-5.46	30	-4.64	-9.63	79	1	10
Q6P6M7_23_467_3bcb_pdb_CYT_PLP_4.dlg
O35423-2_1_390_3kgw.1.A_swissmodel_CYT_PLP_2.dlg	-12.42	27	-12.42	27	-6.15	27	-6.15	27	-7.07	45	-5.65	-8.66	28	1	23
Q3UNZ2_26_422_1d7k.1.B_swissmodel_CYT_PLP_2.dlg	-12.69	89	-11.62	31	-3.85	89	-9.98	31	-9.98	31	-7.34	-9.98	31	3	14
Q80WP8-1_59_550_6enz.1.A_swissmodel_CYT_PLP_1.dlg	-11.59	56	-10.27	75	-6.04	56	-7.57	75	-7.57	75	-5.27	-7.73	98	7	9
Q8BG54_108_530_6hrh.1.B_swissmodel_CYT_PLP_2.dlg	-11.23	31	-11.23	31	-7.64	31	-7.64	31	-7.64	31	-5.17	-7.64	31	1	30
Q8BTY1_4_421_1w7m.1.A_swissmodel_CYT_PLP_2.dlg	-16.73	79	-16.73	79	-6.58	79	-6.58	79	-7.71	15	-5.91	-9.08	69	1	48
Q91WT9-1_39_559_4l28.1.A_swissmodel_CYT_PLP_2.dlg	-7.61	44	-7.48	5	-7.42	44	-6.23	5	-6.23	5	-3.1	-7.42	44	2	13
Q6P6M7_23_466_3bca_pdb_CYT_PLP_3.dlg	-17.15	25	-15.93	100	-6.17	25	-5.63	100	-6.33	81	-4.86	-9.86	65	3	12
Q71RI9-1_42_451_5ver_pdb_CYT_PLP_4.dlg
O35423-1_27_412_3kgw_pdb_CYT_PLP_2.dlg	-13.37	69	-11.33	4	-7.5	69	-7.3	4	-7.3	4	-5.58	-7.92	7	2	36
Q8R238_12_327_2rkb.1.A_swissmodel_CYT_PLP_1.dlg	-13.15	89	-11.32	95	-6.02	89	-6.3	95	-6.76	15	-5.56	-7.62	43	15	11
Q91WT9-1_40_557_4pcu.1.A_swissmodel_CYT_PLP_1.dlg	-11.86	28	-9.79	35	-5.86	28	-4.84	35	-5.22	76	-3.96	-7.71	7	16	12
Q71RI9-1_42_451_5vep_pdb_CYT_PLP_3.dlg	-13.82	5	-13.6	74	-5.6	5	-5.71	74	-7.04	96	-5.03	-9.21	71	2	13
A2AIG8-2_42_459_4n0b.2.B_swissmodel_CYT_PLP_1.dlg	-13.42	59	-13.26	44	-6.21	59	-6.1	44	-6.1	44	-5.33	-6.79	54	2	11
P08680_143_578_6hrh.1.B_swissmodel_CYT_PLP_1.dlg	-14.57	81	-14.57	81	-8.6	81	-8.6	81	-8.6	81	-6.02	-9.66	8	1	54
A2AIG8-2_41_459_1m4n.1.A_swissmodel_CYT_PLP_1.dlg	-12.4	33	-12.15	53	-4.22	33	-6.79	53	-6.79	53	-5.76	-6.79	53	4	12
Q9DBE0_7_493_2jis.1.A_swissmodel_CYT_PLP_2.dlg	-13.3	49	-12.93	74	-7.34	49	-4.2	74	-6.06	64	-3.93	-7.9	86	2	11
