TYR	Best Cluster (kcal/mol)	Run	Largest Cluster (kcal/mol)	Run	Best Cluster Res (kcal/mol)	Run	Largest Cluster Res (kcal/mol)	Run	Largest Cluster Res Best (kcal/mol)	Run	Largest Cluster Res Mean (kcal/mol)	bestbest (kcal/mol)	Run	Largest Cluster	Num in Largest Cluster
P06737_24_832_3cem_pdb_TYR_PLP_1.dlg	-13.9	92	-13.9	92	-6.73	92	-6.73	92	-7.15	50	-6.68	-7.44	17	1	24
O15382_28_392_2hgx_pdb_TYR_PLP_1.dlg	-14.37	78	-14.37	78	-6.92	78	-6.92	78	-7.66	100	-6.46	-9.08	32	1	29
P06737_1_847_1l5r_pdb_TYR_PLP_3.dlg	-12.65	79	-11.56	52	-6.55	79	-7.0	52	-7.66	17	-7.02	-7.66	17	4	14
P06737_2_847_2ati_pdb_TYR_PLP_1.dlg	-11.73	89	-11.26	42	-7.15	89	-6.57	42	-6.57	42	-6.13	-7.16	93	4	16
P13196_189_573_3hqt.1.A_swissmodel_TYR_PLP_2.dlg	-9.77	10	-9.23	36	-6.9	10	-4.72	36	-5.15	34	-4.54	-7.08	73	2	23
P34897_22_504_4pvf_pdb_TYR_PLP_2.dlg	-10.99	41	-10.99	41	-6.55	41	-6.55	41	-6.74	25	-6.13	-7.18	6	1	22
P13196_240_598_3tqx.1.A_swissmodel_TYR_PLP_1.dlg	-11.4	25	-11.4	25	-7.37	25	-7.37	25	-7.5	94	-7.11	-7.69	71	1	28
P54687_1_386_2coj_pdb_TYR_PLP_2.dlg	-14.16	85	-13.69	68	-7.09	85	-6.52	68	-6.68	89	-6.29	-8.47	6	2	42
P54687_1_386_2cog_pdb_TYR_PLP_2.dlg	-13.71	60	-13.71	60	-7.5	60	-7.5	60	-7.5	60	-6.01	-7.5	60	1	56
Q9HD40_1_501_4zdp_pdb_TYR_PLP_4.dlg	-14.56	24	-14.56	24	-6.77	24	-6.77	24	-7.18	36	-6.6	-7.77	42	1	26
O15382_28_392_2a1h_pdb_TYR_PLP_1.dlg	-14.34	74	-14.34	74	-6.28	74	-6.28	74	-6.64	83	-5.81	-8.27	9	1	45
O15382_28_392_5bwv_pdb_TYR_PLP_2.dlg	-14.89	67	-14.89	67	-8.07	67	-8.07	67	-8.09	23	-6.74	-8.26	7	1	46
P04181_1_439_2byj_pdb_TYR_PLP_2.dlg	-10.53	31	-9.9	17	-6.66	31	-5.51	17	-5.76	80	-5.08	-7.03	53	2	13
P34897_43_504_4pvf.1.A_swissmodel_TYR_PLP_1.dlg	-8.5	16	-7.47	64	-5.53	16	-4.58	64	-4.67	45	-4.1	-6.66	18	7	14
O15382_28_392_1ekv_pdb_TYR_PLP_1.dlg	-14.03	72	-14.03	72	-7.16	72	-7.16	72	-7.29	90	-5.88	-8.58	92	1	33
P21549_6_392_3r9a.1.A_swissmodel_TYR_PLP_1.dlg	-11.02	13	-11.02	13	-6.0	13	-6.0	13	-7.4	35	-5.65	-7.4	35	1	49
P32929_1_402_3cog_pdb_TYR_PLP_2.dlg	-8.94	51	-8.07	37	-6.38	51	-3.98	37	-4.08	26	-3.64	-6.8	74	2	13
O15382_28_392_5i5x_pdb_TYR_PLP_2.dlg	-13.69	65	-13.69	65	-5.87	65	-5.87	65	-6.86	12	-5.8	-8.39	96	1	32
Q96I15_8_445_3gzc_pdb_TYR_PLP_2.dlg	-9.29	28	-8.27	35	-6.35	28	-2.5	35	-3.51	58	-3.03	-6.54	85	5	28
O15382_28_392_2a1h_pdb_TYR_PLP_2.dlg	-14.04	4	-14.04	4	-6.06	4	-6.06	4	-6.41	70	-5.47	-8.99	64	1	28
P06737_2_847_3dds_pdb_TYR_PLP_1.dlg	-11.72	81	-11.27	72	-6.29	81	-6.83	72	-7.27	21	-6.64	-7.41	7	3	19
Q9HD40_1_501_3hl2_pdb_TYR_PLP_2.dlg	-13.94	64	-13.3	97	-6.38	64	-6.63	97	-6.68	95	-6.22	-7.97	49	4	23
Q16773_3_421_4ge9.1.A_swissmodel_TYR_PLP_2.dlg	-10.43	81	-10.43	81	-7.56	81	-7.56	81	-7.84	31	-6.57	-7.84	31	1	33
O15270_112_537_4bmk.1.A_swissmodel_TYR_PLP_2.dlg	-12.87	55	-12.87	55	-6.0	55	-6.0	55	-6.23	54	-5.72	-6.23	54	1	60
Q16773_3_421_4ge9.1.A_swissmodel_TYR_PLP_1.dlg	-6.38	12	-5.64	68	-4.33	12	-3.45	68	-3.54	100	-1.56	-5.01	43	3	30
Q16773_1_422_4wp0_pdb_TYR_PLP_2.dlg	-13.62	53	-12.12	74	-8.39	53	-5.96	74	-6.82	95	-6.02	-8.6	83	2	37
Q9BYV1_52_496_5g4i.1.A_swissmodel_TYR_PLP_2.dlg	-8.47	52	-7.39	67	-4.38	52	-3.54	67	-3.61	27	-3.12	-6.36	16	15	12
O15382_28_392_5i5s_pdb_TYR_PLP_2.dlg	-14.36	53	-14.36	53	-7.89	53	-7.89	53	-7.89	53	-6.69	-8.58	58	1	27
P13196_199_595_2bwp.1.A_swissmodel_TYR_PLP_1.dlg	-8.51	82	-8.51	82	-5.88	82	-5.88	82	-6.06	88	-4.37	-6.06	88	1	45
Q16773_1_422_1w7m_pdb_TYR_PLP_1.dlg	-13.42	74	-12.65	88	-6.88	74	-6.59	88	-6.6	52	-5.83	-7.74	51	2	31
Q9GZT4_1_340_3l6r_pdb_TYR_PLP_2.dlg	-10.2	30	-10.2	30	-6.19	30	-6.19	30	-6.26	70	-5.89	-6.64	97	1	29
Q9HD40_1_501_4zdp_pdb_TYR_PLP_2.dlg	-14.55	71	-14.55	71	-6.97	71	-6.97	71	-7.24	44	-6.7	-8.33	87	1	28
P17735_51_442_4ge9.1.A_swissmodel_TYR_PLP_1.dlg	-9.47	72	-9.47	72	-5.85	72	-5.85	72	-6.24	38	-5.08	-7.02	74	1	33
Q8N5Z0_1_425_3dc1_pdb_TYR_PLP_1.dlg	-13.29	27	-13.13	48	-6.8	27	-5.39	48	-5.8	46	-5.26	-8.6	10	2	37
P20711_1_480_3rbf_pdb_TYR_PLP_2.dlg	-9.84	70	-9.46	81	-4.38	70	-3.8	81	-3.8	81	-3.31	-7.51	73	2	10
P23378_53_1006_4lgl.1.A_swissmodel_TYR_PLP_2.dlg	-7.87	69	-7.87	69	-4.56	69	-4.56	69	-5.0	70	-4.2	-6.18	58	1	21
O95470_62_568_4q6r_pdb_TYR_PLP_2.dlg	-13.15	93	-13.15	93	-6.6	93	-6.6	93	-7.34	68	-6.78	-7.6	78	1	39
O15382_28_392_1ekf_pdb_TYR_PLP_2.dlg	-13.95	32	-12.38	11	-6.53	32	-5.44	11	-5.88	75	-5.17	-8.94	95	5	30
P13196_199_595_2bwp.1.A_swissmodel_TYR_PLP_2.dlg	-9.29	88	-9.14	68	-6.37	88	-5.91	68	-5.91	68	-4.9	-6.37	88	2	23
O15382_28_392_5bwu_pdb_TYR_PLP_2.dlg	-14.97	28	-14.97	28	-7.54	28	-7.54	28	-7.54	28	-6.07	-8.72	25	1	46
Q16773_1_422_1w7n_pdb_TYR_PLP_2.dlg	-15.81	92	-15.81	92	-6.64	92	-6.64	92	-6.78	22	-5.96	-8.18	30	1	58
O15382_28_392_5bww_pdb_TYR_PLP_1.dlg	-14.14	2	-14.14	2	-6.62	2	-6.62	2	-7.0	67	-6.08	-8.5	1	1	36
Q8TD30_49_523_3ihj_pdb_TYR_PLP_1.dlg	-10.76	76	-10.76	76	-5.6	76	-5.6	76	-6.23	20	-5.51	-7.13	28	1	18
Q9Y600_1_493_2jis_pdb_TYR_PLP_2.dlg	-11.47	65	-11.47	65	-6.82	65	-6.82	65	-6.82	65	-5.86	-7.83	5	1	24
Q8IYQ7_1kl7.1.A_227_740_TYR_PLP_2.dlg	-10.37	51	-10.37	51	-5.27	51	-5.27	51	-5.34	66	-4.65	-6.77	50	1	22
Q6YP21_41_450_3e2y.1.A_swissmodel_TYR_PLP_1.dlg	-16.32	71	-16.32	71	-6.99	71	-6.99	71	-7.37	87	-6.71	-8.98	69	1	49
P34897_43_504_4pvf.1.A_swissmodel_TYR_PLP_3.dlg	-9.37	37	-8.4	12	-6.43	37	-6.48	12	-6.7	53	-5.78	-6.7	53	2	27
P0DN79_43_545_4pcu.1.A_swissmodel_TYR_PLP_1.dlg	-11.49	100	-11.49	100	-4.64	100	-4.64	100	-4.68	97	-3.92	-6.1	43	1	9
P06737_2_847_3ddw_pdb_TYR_PLP_1.dlg	-12.14	37	-10.81	47	-6.17	37	-6.99	47	-7.43	19	-6.3	-7.43	19	6	18
O15382_28_392_1ekp_pdb_TYR_PLP_1.dlg	-13.53	78	-13.53	78	-6.33	78	-6.33	78	-6.52	29	-5.99	-9.33	73	1	21
P11216_1_843_5iko_pdb_TYR_PLP_2.dlg	-12.93	86	-12.93	86	-6.19	86	-6.19	86	-6.19	86	-5.1	-7.14	58	1	32
O15270_145_538_1fc4.1.A_swissmodel_TYR_PLP_1.dlg	-2.87	82	-0.93	70	-1.4	82	-0.54	70	-1.44	16	-0.34	-5.58	15	2	14
P24298_19_495_3tcm.1.A_swissmodel_TYR_PLP_1.dlg	-8.99	59	-7.27	7	-3.09	59	-5.52	7	-6.59	24	-5.24	-6.59	24	2	47
P17735_51_442_4ge9.1.A_swissmodel_TYR_PLP_2.dlg	-10.27	50	-10.27	50	-6.53	50	-6.53	50	-6.62	90	-6.09	-7.0	80	1	32
P21549_1_388_2yob_pdb_TYR_PLP_2.dlg	-12.77	37	-12.77	37	-7.09	37	-7.09	37	-7.27	38	-6.13	-7.62	56	1	25
P54687_1_386_2coj_pdb_TYR_PLP_1.dlg	-12.91	89	-12.91	89	-6.4	89	-6.4	89	-6.68	45	-5.65	-8.07	76	1	52
O15382_28_392_5i5y_pdb_TYR_PLP_2.dlg	-14.14	86	-14.14	86	-6.85	86	-6.85	86	-6.97	36	-6.08	-8.44	78	1	34
Q05329_88_584_2okk.1.A_swissmodel_TYR_PLP_1.dlg	-9.7	83	-9.7	77	-3.97	83	-7.23	77	-7.5	41	-7.14	-7.5	41	2	11
P17174_2_413_3wzf_pdb_TYR_PLP_2.dlg	-13.27	72	-12.01	62	-5.88	72	-5.24	62	-6.17	80	-5.33	-8.26	26	4	14
Q8N5Z0_1_425_4geb_pdb_TYR_PLP_1.dlg	-13.96	24	-13.96	24	-6.13	24	-6.13	24	-6.47	87	-5.41	-6.47	87	1	44
Q96I15_8_445_3gzd_pdb_TYR_PLP_2.dlg	-10.55	88	-9.35	54	-6.44	88	-3.79	54	-3.79	54	-2.89	-6.86	95	3	21
O15382_28_392_2hgx_pdb_TYR_PLP_2.dlg	-14.09	63	-14.09	63	-6.5	63	-6.5	63	-7.38	65	-6.07	-8.8	83	1	33
Q9NUV7_155_530_2x8u.1.A_swissmodel_TYR_PLP_2.dlg	-9.09	40	-9.09	40	-3.99	40	-3.99	40	-4.32	20	-3.74	-7.43	44	1	27
P22557_194_547_1fc4.1.A_swissmodel_TYR_PLP_1.dlg	-11.94	10	-11.94	10	-5.29	10	-5.29	10	-6.9	37	-5.69	-6.9	37	1	85
P23378_53_1006_4lgl.1.A_swissmodel_TYR_PLP_1.dlg	-8.36	20	-8.36	20	-4.99	20	-4.99	20	-5.18	7	-4.15	-6.13	28	1	30
Q96I15_8_445_3gzd_pdb_TYR_PLP_1.dlg	-11.16	60	-11.16	60	-6.87	60	-6.87	60	-7.06	62	-6.41	-7.06	62	1	61
P04181_1_439_2byj_pdb_TYR_PLP_1.dlg	-10.14	66	-8.47	56	-5.82	66	-5.09	56	-5.16	6	-4.82	-6.76	50	17	11
O95470_111_553_4q6r.1.A_swissmodel_TYR_PLP_1.dlg	-12.55	45	-12.55	45	-6.34	45	-6.34	45	-7.19	98	-6.65	-7.4	30	1	33
Q8IUZ5_10_438_5g4i.1.A_swissmodel_TYR_PLP_1.dlg	-13.26	71	-12.42	31	-4.8	71	-6.23	31	-6.63	36	-6.07	-8.37	82	4	16
O15382_28_392_5bwu_pdb_TYR_PLP_1.dlg	-14.4	89	-14.4	89	-7.15	89	-7.15	89	-7.24	68	-6.49	-8.48	88	1	32
Q9Y697_67_457_5kz5_pdb_TYR_PLP_12.dlg
P54687_21_386_2abj_pdb_TYR_PLP_1.dlg	-13.16	93	-13.16	93	-6.37	93	-6.37	93	-6.76	65	-6.05	-8.71	86	1	41
Q8N5Z0_1_425_4ge9_pdb_TYR_PLP_2.dlg	-13.68	16	-13.68	16	-7.42	16	-7.42	16	-7.42	16	-6.19	-8.3	90	1	47
O15382_28_392_2hgw_pdb_TYR_PLP_1.dlg	-14.54	12	-14.54	12	-6.84	12	-6.84	12	-7.77	77	-6.34	-8.41	75	1	42
P06737_6_839_1fa9.1.A_swissmodel_TYR_PLP_2.dlg	-12.97	6	-12.71	64	-5.65	6	-6.34	64	-6.46	55	-6.2	-7.24	61	2	31
Q9HD40_1_501_4zdo_pdb_TYR_PLP_1.dlg	-11.74	5	-11.74	5	-5.86	5	-5.86	5	-6.11	52	-5.35	-7.32	87	1	28
P21549_1_392_4kyo_pdb_TYR_PLP_2.dlg	-9.51	18	-9.51	18	-5.1	18	-5.1	18	-5.93	59	-4.72	-7.08	82	1	18
P11926_1_461_2on3_pdb_TYR_PLP_1.dlg	-12.51	89	-10.23	34	-7.02	89	-5.03	34	-5.4	78	-5.05	-7.16	65	2	15
P06737_1_847_1em6_pdb_TYR_PLP_2.dlg	-13.02	2	-12.3	95	-7.06	2	-7.49	95	-7.49	95	-6.77	-7.49	95	2	16
P11216_22_840_5iko.1.A_swissmodel_TYR_PLP_4.dlg	-13.51	91	-12.54	6	-6.77	91	-4.32	6	-6.16	94	-4.73	-7.05	95	2	26
P06737_24_832_3ceh_pdb_TYR_PLP_1.dlg	-12.52	32	-10.71	80	-7.74	32	-7.4	80	-7.4	80	-6.72	-8.29	2	3	19
P20711_1_383_1js6.1.A_swissmodel_TYR_PLP_1.dlg	-10.86	27	-10.86	27	-7.93	27	-7.93	27	-7.93	27	-7.2	-7.93	27	1	15
Q96GA7_11_328_2rkb.1.A_swissmodel_TYR_PLP_2.dlg	-11.53	91	-11.53	91	-5.73	91	-5.73	91	-6.65	64	-5.7	-7.5	53	1	13
O15270_145_538_1fc4.1.A_swissmodel_TYR_PLP_2.dlg	-3.02	61	1.59	82	-0.75	61	0.1	82	-0.23	57	1.34	-4.77	34	7	14
O15382_28_392_5i5v_pdb_TYR_PLP_1.dlg	-13.75	95	-13.75	95	-6.39	95	-6.39	95	-6.46	44	-5.74	-8.34	24	1	18
Q9HD40_1_501_4zdp_pdb_TYR_PLP_1.dlg	-12.47	15	-12.47	15	-6.14	15	-6.14	15	-6.14	15	-5.62	-7.52	99	1	25
O95470_62_568_4q6r_pdb_TYR_PLP_1.dlg	-13.21	52	-13.21	52	-6.75	52	-6.75	52	-7.04	9	-6.54	-7.95	49	1	32
Q16773_1_422_3fvu_pdb_TYR_PLP_2.dlg	-13.8	44	-12.68	49	-7.8	44	-6.58	49	-6.87	81	-6.5	-7.97	60	2	30
O15382_28_392_5bwv_pdb_TYR_PLP_1.dlg	-15.06	90	-13.92	56	-7.71	90	-6.05	56	-6.93	7	-5.95	-9.39	92	2	25
P11217_13_837_3zcp.1.A_swissmodel_TYR_PLP_2.dlg	-13.14	73	-11.3	59	-7.74	73	-6.25	59	-6.93	25	-6.34	-7.79	14	4	25
O14977_10_432_4zgz.1.A_swissmodel_TYR_PLP_1.dlg	-6.11	99	-6.11	99	-4.59	99	-4.59	99	-4.81	44	-3.87	-4.81	44	1	22
P32929_10_399_3cog.1.A_swissmodel_TYR_PLP_1.dlg	-9.23	54	-9.23	54	-4.02	54	-4.02	54	-4.22	23	-2.22	-6.84	39	1	32
Q96I15_8_445_3gzc_pdb_TYR_PLP_1.dlg	-10.8	4	-9.01	7	-5.8	4	-6.32	7	-6.33	63	-5.75	-6.64	88	6	23
Q9Y697_67_457_5kz5_pdb_TYR_PLP_10.dlg
P32929_10_399_3cog.1.A_swissmodel_TYR_PLP_2.dlg	-8.86	64	-8.86	64	-2.76	64	-2.76	64	-4.05	21	-3.59	-6.88	26	1	13
Q4AC99_134_553_1m7y.1.A_swissmodel_TYR_PLP_2.dlg	-9.36	45	-9.36	45	-3.15	45	-3.15	45	-4.3	23	-3.81	-6.89	16	1	7
O15382_28_392_1kta_pdb_TYR_PLP_1.dlg	-13.29	73	-13.29	73	-6.36	73	-6.36	73	-6.58	39	-5.83	-8.39	11	1	62
O15382_28_392_5i5t_pdb_TYR_PLP_2.dlg	-14.27	85	-14.27	85	-6.6	85	-6.6	85	-7.16	78	-5.98	-7.95	7	1	30
P06737_1_847_1l5r_pdb_TYR_PLP_1.dlg	-12.14	100	-12.14	100	-6.77	100	-6.77	100	-7.03	62	-6.21	-7.49	65	1	22
O15382_28_392_5i5x_pdb_TYR_PLP_1.dlg	-14.03	71	-13.23	47	-6.56	71	-5.8	47	-6.48	100	-5.73	-7.47	12	2	29
O75600_74_419_2x8u.1.A_swissmodel_TYR_PLP_2.dlg	-10.54	34	-10.46	69	-5.45	34	-5.73	69	-6.09	14	-5.45	-6.31	24	2	33
P21549_1_392_4i8a_pdb_TYR_PLP_1.dlg	-8.37	64	-8.37	64	-5.58	64	-5.58	64	-6.08	100	-3.67	-6.61	9	1	13
Q96EN8_35_495_5j8q.1.A_swissmodel_TYR_PLP_2.dlg	-8.92	35	-8.35	40	-4.83	35	-3.63	40	-3.85	44	-3.49	-6.78	49	4	25
P20711_1_480_3rbl_pdb_TYR_PLP_1.dlg	-10.15	87	-9.79	9	-6.91	87	-6.36	9	-6.53	40	-6.38	-6.91	87	6	12
Q16773_1_422_3fvu_pdb_TYR_PLP_1.dlg	-12.82	5	-12.36	79	-6.81	5	-6.27	79	-6.35	66	-5.97	-7.36	37	2	38
Q16773_4_422_4wp0.1.A_swissmodel_TYR_PLP_2.dlg	-13.84	83	-13.84	83	-7.87	83	-7.87	83	-8.15	8	-6.6	-8.15	8	1	38
O15382_28_392_1kta_pdb_TYR_PLP_2.dlg	-14.11	82	-14.11	82	-7.01	82	-7.01	82	-7.1	27	-6.43	-8.69	90	1	49
Q4AC99_134_553_1m7y.1.A_swissmodel_TYR_PLP_1.dlg	-9.69	4	-9.69	4	-4.12	4	-4.12	4	-4.7	15	-3.96	-6.89	6	1	16
Q96QU6_63_482_1ynu.1.A_swissmodel_TYR_PLP_2.dlg	-12.16	21	-12.16	21	-6.39	21	-6.39	21	-6.58	47	-5.59	-7.23	1	1	34
Q8TBG4_7_438_4ysn.1.A_swissmodel_TYR_PLP_4.dlg	-7.72	62	-7.45	21	-5.52	62	-5.49	21	-5.77	34	-3.47	-5.77	34	2	41
P54687_21_386_2abj.1.A_swissmodel_TYR_PLP_1.dlg	-11.42	6	-11.42	6	-5.98	6	-5.98	6	-6.59	57	-5.81	-7.33	87	1	29
O15382_28_392_5i5s_pdb_TYR_PLP_1.dlg	-14.67	25	-14.67	25	-8.22	25	-8.22	25	-8.22	25	-6.8	-8.22	25	1	21
P06737_2_847_3dd1_pdb_TYR_PLP_1.dlg	-11.52	86	-11.2	1	-7.62	86	-6.29	1	-6.68	51	-6.1	-7.62	86	4	19
O15382_28_392_5i5t_pdb_TYR_PLP_1.dlg	-14.3	60	-14.3	60	-7.05	60	-7.05	60	-7.27	53	-6.31	-7.7	83	1	39
O15382_28_392_5bww_pdb_TYR_PLP_2.dlg	-14.4	96	-14.4	96	-7.36	96	-7.36	96	-7.39	66	-6.3	-8.63	55	1	29
P22557_194_547_1fc4.1.A_swissmodel_TYR_PLP_2.dlg	-11.86	84	-11.86	84	-5.26	84	-5.26	84	-5.94	17	-5.22	-6.13	56	1	83
Q9Y600_7_493_2jis.1.A_swissmodel_TYR_PLP_2.dlg	-11.42	49	-11.42	49	-6.5	49	-6.5	49	-6.55	38	-5.51	-7.53	100	1	31
Q96I15_29_444_3gzc.1.A_swissmodel_TYR_PLP_1.dlg	-10.11	77	-9.51	24	-5.84	77	-6.32	24	-6.41	73	-5.82	-6.56	31	2	33
Q16773_1_422_3fvx_pdb_TYR_PLP_2.dlg	-12.48	86	-12.48	86	-5.97	86	-5.97	86	-6.51	72	-5.89	-7.34	10	1	51
P20711_1_480_3rbf.1.B_swissmodel_TYR_PLP_1.dlg	-10.31	43	-9.8	5	-6.68	43	-6.31	5	-6.6	31	-6.26	-7.13	19	5	9
O15382_28_392_1ekf_pdb_TYR_PLP_1.dlg	-13.71	64	-11.92	51	-6.22	64	-5.13	51	-5.62	18	-5.22	-9.0	10	4	35
Q96GA7_11_328_2rkb_pdb_TYR_PLP_2.dlg	-12.2	86	-11.73	63	-5.03	86	-7.26	63	-7.74	17	-7.22	-7.79	37	4	20
P04181_1_439_1oat_pdb_TYR_PLP_1.dlg	-9.5	96	-9.03	30	-5.61	96	-6.52	30	-6.66	11	-6.2	-6.66	11	4	23
P21549_1_392_1h0c_pdb_TYR_PLP_2.dlg	-10.88	47	-10.88	47	-6.28	47	-6.28	47	-7.26	3	-6.17	-7.26	3	1	30
O15382_28_392_2hg8_pdb_TYR_PLP_2.dlg	-14.11	84	-14.11	84	-6.33	84	-6.33	84	-7.23	62	-6.13	-9.17	43	1	42
P21549_1_392_3r9a_pdb_TYR_PLP_1.dlg	-12.38	68	-11.04	60	-7.28	68	-6.04	60	-6.9	56	-5.64	-7.65	43	3	46
O15382_28_392_5i60_pdb_TYR_PLP_1.dlg	-13.69	39	-13.69	39	-6.1	39	-6.1	39	-6.48	61	-5.71	-8.77	42	1	25
Q8TD30_49_523_3ihj_pdb_TYR_PLP_2.dlg	-10.92	73	-10.24	14	-7.39	73	-5.34	14	-6.01	68	-4.86	-7.52	94	3	18
O15382_28_392_5i5w_pdb_TYR_PLP_2.dlg	-14.58	59	-14.58	59	-7.5	59	-7.5	59	-7.54	79	-6.29	-8.24	68	1	21
P21549_1_388_2yob_pdb_TYR_PLP_1.dlg	-12.8	43	-12.8	43	-7.68	43	-7.68	43	-8.24	76	-6.71	-8.24	76	1	24
P11216_1_843_5iko_pdb_TYR_PLP_4.dlg	-12.75	54	-12.34	76	-6.04	54	-6.11	76	-6.4	97	-5.74	-7.7	51	3	26
Q9Y697_67_457_5kz5_pdb_TYR_PLP_5.dlg
P00505_32_430_5ax8.2.B_swissmodel_TYR_PLP_1.dlg	-14.51	31	-14.51	31	-5.98	31	-5.98	31	-6.12	63	-5.33	-8.07	4	1	20
O15382_28_392_1kt8_pdb_TYR_PLP_1.dlg	-13.92	47	-13.92	47	-7.09	47	-7.09	47	-7.15	72	-6.38	-8.49	100	1	60
P06737_1_847_1l7x_pdb_TYR_PLP_4.dlg	-13.48	90	-11.69	82	-6.93	90	-6.25	82	-7.07	46	-6.06	-7.55	12	3	24
P11926_1_461_2oo0_pdb_TYR_PLP_1.dlg	-11.15	20	-11.15	20	-5.97	20	-5.97	20	-6.79	63	-5.84	-6.79	63	1	34
Q9Y600_1_493_2jis_pdb_TYR_PLP_1.dlg	-10.92	70	-10.3	42	-7.34	70	-6.77	42	-6.77	42	-6.45	-7.34	70	3	22
P11926_1_461_2oo0_pdb_TYR_PLP_2.dlg	-10.65	92	-7.51	86	-6.38	92	-6.41	86	-6.41	86	-5.98	-6.81	3	5	31
P11216_1_843_5iko_pdb_TYR_PLP_1.dlg	-13.33	42	-12.88	14	-6.93	42	-7.09	14	-7.28	36	-6.97	-7.41	77	2	27
O75600_41_418_3tqx.1.A_swissmodel_TYR_PLP_2.dlg	-11.16	4	-11.16	4	-7.24	4	-7.24	4	-7.59	3	-7.19	-7.85	36	1	30
Q8TBG4_7_438_4ysn.1.A_swissmodel_TYR_PLP_3.dlg	-6.65	25	-6.65	25	-5.4	25	-5.4	25	-5.4	25	-2.5	-6.53	95	1	20
P54687_1_386_2cog_pdb_TYR_PLP_1.dlg	-12.94	5	-12.94	5	-7.17	5	-7.17	5	-7.17	5	-6.09	-7.32	69	1	75
Q16773_1_422_4wp0_pdb_TYR_PLP_1.dlg	-15.19	2	-15.19	2	-8.6	2	-8.6	2	-8.6	2	-7.04	-8.65	61	1	63
O15270_177_540_2bwp.1.A_swissmodel_TYR_PLP_1.dlg	-7.56	51	-5.5	86	-4.37	51	-6.02	86	-6.8	21	-4.88	-6.8	21	5	26
P34896_11_480_1bj4_pdb_TYR_PLP_1.dlg	-9.52	66	-9.23	8	-6.3	66	-5.48	8	-6.02	28	-5.47	-6.3	66	2	15
Q8N5Z0_1_425_2r2n_pdb_TYR_PLP_2.dlg	-13.99	96	-13.99	96	-6.26	96	-6.26	96	-6.26	96	-5.41	-8.18	92	1	40
P32929_1_405_3elp_pdb_TYR_PLP_4.dlg	-9.89	21	-8.88	62	-5.61	21	-5.92	62	-6.14	35	-5.65	-6.38	71	6	9
Q9HD40_19_462_4zdl.1.A_swissmodel_TYR_PLP_1.dlg	-15.41	11	-14.33	50	-7.97	11	-5.35	50	-6.24	1	-5.55	-8.0	66	4	19
O15382_28_392_2hdk_pdb_TYR_PLP_2.dlg	-13.76	1	-13.76	1	-6.46	1	-6.46	1	-6.46	1	-5.68	-7.43	95	1	58
P06737_1_847_1l5s_pdb_TYR_PLP_1.dlg	-12.86	78	-11.31	86	-6.64	78	-6.51	86	-6.51	86	-5.93	-7.37	17	6	13
P06737_1_847_1l7x_pdb_TYR_PLP_2.dlg	-13.06	15	-11.93	42	-6.95	15	-7.59	42	-7.59	42	-6.65	-7.59	42	4	22
Q99259_93_594_2okj_pdb_TYR_PLP_1.dlg	-12.17	59	-10.56	56	-6.24	59	-6.89	56	-7.06	63	-6.2	-7.53	61	3	19
Q9HD40_1_501_4zdl_pdb_TYR_PLP_4.dlg	-14.51	66	-14.51	66	-7.2	66	-7.2	66	-7.39	53	-7.12	-7.6	6	1	36
