GLU	Best Cluster (kcal/mol)	Run	Largest Cluster (kcal/mol)	Run	Best Cluster Res (kcal/mol)	Run	Largest Cluster Res (kcal/mol)	Run	Largest Cluster Res Best (kcal/mol)	Run	Largest Cluster Res Mean (kcal/mol)	bestbest (kcal/mol)	Run	Largest Cluster	Num in Largest Cluster
Q71RI9-2_7_416_5veq.1.A_swissmodel_GLU_PLP_1.dlg	-15.21	99	-15.21	99	-7.77	99	-7.77	99	-8.26	84	-7.17	-8.84	80	1	53
Q71RI9-1_42_451_5veq.1.A_swissmodel_GLU_PLP_1.dlg	-15.34	57	-15.34	57	-7.45	57	-7.45	57	-8.09	63	-7.06	-8.72	46	1	45
Q6P6M7_23_467_3bcb_pdb_GLU_PLP_2.dlg	-14.76	69	-14.13	53	-8.71	69	-7.69	53	-8.14	24	-7.5	-9.31	61	2	23
Q80WP8-1_59_550_6enz.1.A_swissmodel_GLU_PLP_1.dlg	-10.0	94	-9.98	37	-6.35	94	-5.68	37	-6.57	85	-5.38	-6.58	51	2	33
Q8VBT2_1_325_1pwh.2.A_swissmodel_GLU_PLP_1.dlg	-12.95	42	-11.49	80	-7.37	42	-6.14	80	-6.71	19	-5.82	-7.37	42	3	60
Q80WP8-1_64_549_5hsj.1.A_swissmodel_GLU_PLP_2.dlg	-9.66	25	-9.66	25	-5.23	25	-5.23	25	-5.69	73	-4.8	-5.69	73	1	42
O35423-2_1_390_3kgw.1.A_swissmodel_GLU_PLP_1.dlg	-10.37	57	-10.37	57	-5.41	57	-5.41	57	-6.55	36	-5.09	-7.27	89	1	27
Q91WT9-2_40_543_4pcu.1.B_swissmodel_GLU_PLP_2.dlg	-8.61	59	-8.22	53	-7.52	59	-5.1	53	-5.86	4	-4.61	-7.52	59	2	41
Q8R1K4-2_26_438_5g4i.1.A_swissmodel_GLU_PLP_1.dlg	-9.64	80	-9.32	90	-5.26	80	-4.16	90	-4.6	1	-3.96	-7.21	14	5	44
P48318_92_593_2okj.1.A_swissmodel_GLU_PLP_1.dlg	-9.71	38	-9.26	83	-6.62	38	-5.83	83	-6.24	88	-5.53	-6.62	38	2	70
Q14CH1_35_495_5j8q.1.A_swissmodel_GLU_PLP_1.dlg	-8.8	63	-8.8	63	-5.72	63	-5.72	63	-6.25	18	-5.55	-6.25	18	1	31
Q3UEG6_52_507_4atp.1.A_swissmodel_GLU_PLP_4.dlg	-6.63	81	-6.63	81	-3.83	81	-3.83	81	-3.85	26	-2.88	-4.91	41	1	40
Q9CZN7-1_43_503_5x3v.1.A_swissmodel_GLU_PLP_2.dlg	-4.32	10	-4.32	10	-3.45	10	-3.45	10	-4.54	33	-3.26	-4.54	33	1	26
O35484_8_435_3btn_pdb_GLU_PLP_1.dlg	-6.09	91	-5.94	2	-3.91	91	-3.04	2	-3.47	13	-2.71	-4.25	3	2	23
Q8BG54_108_530_6hrh.1.B_swissmodel_GLU_PLP_1.dlg	-11.84	58	-11.84	58	-4.83	58	-4.83	58	-5.52	74	-4.09	-5.52	74	1	74
P24288_21_385_2abj.1.A_swissmodel_GLU_PLP_2.dlg	-10.77	91	-9.93	37	-5.06	91	-4.61	37	-5.69	59	-4.66	-7.23	89	2	32
Q3UEG6_52_507_4atp.1.A_swissmodel_GLU_PLP_1.dlg	-9.31	69	-9.31	69	-5.54	69	-5.54	69	-6.47	54	-5.28	-7.26	99	1	48
Q6P6M7_23_466_3bca_pdb_GLU_PLP_3.dlg	-14.29	65	-14.29	65	-7.66	65	-7.66	65	-8.88	26	-7.24	-9.51	68	1	55
A2AIG8-1_37_482_4n0b.2.B_swissmodel_GLU_PLP_1.dlg	-10.83	62	-10.83	62	-6.09	62	-6.09	62	-6.09	62	-5.3	-7.11	74	1	14
Q8BTY1_4_421_1w7m.1.A_swissmodel_GLU_PLP_2.dlg	-15.12	40	-15.12	40	-6.39	40	-6.39	40	-7.22	31	-6.18	-8.92	36	1	66
P50431_9_478_1rvu.1.A_swissmodel_GLU_PLP_1.dlg	-7.9	13	-7.9	13	-4.7	13	-4.7	13	-5.33	45	-4.67	-5.33	45	1	60
Q8R1K4-1_10_436_5g4i.1.A_swissmodel_GLU_PLP_2.dlg	-13.16	64	-13.16	64	-8.28	64	-8.28	64	-8.57	30	-7.88	-8.57	30	1	24
P05202_30_430_3pd6_pdb_GLU_PLP_1.dlg	-15.29	33	-15.29	33	-7.97	33	-7.97	33	-7.97	33	-6.86	-9.8	27	1	39
Q6XPS7_39_398_1lw4.1.D_swissmodel_GLU_PLP_4.dlg	-9.76	27	-9.76	27	-4.77	27	-4.77	27	-5.46	94	-4.27	-6.35	76	1	70
O35484_11_417_1d7k.1.B_swissmodel_GLU_PLP_2.dlg	-2.43	33	-1.66	11	-2.56	33	-2.74	11	-2.74	11	-1.97	-3.46	10	2	38
P05202_30_430_3hlm_pdb_GLU_PLP_2.dlg	-14.97	81	-14.97	81	-5.95	81	-5.95	81	-6.69	24	-6.09	-9.71	72	1	57
Q8CI94_11_836_2pyd.1.A_swissmodel_GLU_PLP_1.dlg	-11.15	38	-11.15	38	-5.44	38	-5.44	38	-5.44	38	-4.93	-7.2	10	1	31
Q9Z2Y8_12_248_1b54.1.A_swissmodel_GLU_PLP_1.dlg	-10.16	26	-9.37	92	-4.74	26	-5.92	92	-5.92	92	-4.94	-6.78	19	2	29
Q9CZN7-2_40_500_5x3v.1.A_swissmodel_GLU_PLP_2.dlg	-6.21	6	-6.21	6	-3.97	6	-3.97	6	-4.37	63	-3.41	-4.37	63	1	26
Q9JLI6-2_17_283_3a9x.1.A_swissmodel_GLU_PLP_2.dlg	-6.68	52	-6.17	90	-5.26	52	-4.82	90	-5.19	28	-4.65	-5.69	73	3	14
Q71RI9-1_42_451_3e2y_pdb_GLU_PLP_2.dlg	-14.71	33	-14.71	33	-6.83	33	-6.83	33	-7.08	54	-6.15	-7.87	59	1	67
Q80WP8-2_68_523_2okj.1.A_swissmodel_GLU_PLP_2.dlg	-13.11	44	-13.0	93	-7.18	44	-6.87	93	-7.73	73	-6.78	-8.04	42	2	30
Q6P6M7_23_467_3bc8_pdb_GLU_PLP_3.dlg	-13.71	28	-13.54	38	-6.7	28	-7.3	38	-7.78	76	-7.16	-8.74	91	2	38
P05201_1_413_5tor.1.A_swissmodel_GLU_PLP_1.dlg	-13.73	29	-13.73	29	-6.69	29	-6.69	29	-6.89	22	-6.28	-8.98	89	1	24
O35484_11_417_1d7k.1.B_swissmodel_GLU_PLP_1.dlg	-4.19	99	-4.08	5	-2.04	99	-2.12	5	-3.07	83	-2.42	-3.48	6	3	31
Q8R1K4-1_10_436_5g4i.1.A_swissmodel_GLU_PLP_1.dlg	-11.89	59	-11.89	59	-6.24	59	-6.24	59	-6.24	59	-5.66	-7.58	25	1	40
Q71RI9-1_42_451_3e2z_pdb_GLU_PLP_1.dlg	-14.87	54	-14.87	54	-7.91	54	-7.91	54	-8.34	5	-7.55	-8.85	33	1	34
P50431_1_478_1eji_pdb_GLU_PLP_2.dlg	-12.77	3	-12.42	75	-6.9	3	-5.87	75	-6.28	16	-5.84	-7.04	46	2	27
Q71RI9-1_42_451_5vep_pdb_GLU_PLP_1.dlg	-13.02	5	-13.02	5	-7.59	5	-7.59	5	-7.59	5	-6.76	-7.59	5	1	27
Q71RI9-1_42_451_5vep_pdb_GLU_PLP_2.dlg	-11.6	65	-11.6	65	-7.33	65	-7.33	65	-7.93	62	-6.88	-7.93	62	1	42
Q3UX83-2_105_524_1m4n.1.A_swissmodel_GLU_PLP_1.dlg	-11.17	44	-9.62	53	-6.36	44	-5.92	53	-6.34	34	-5.82	-7.02	42	8	15
Q3UX83-2_102_522_6d0a.1.A_swissmodel_GLU_PLP_2.dlg	-11.9	98	-11.9	98	-5.65	98	-5.65	98	-5.82	81	-5.1	-8.22	83	1	69
Q99K85_17_370_3e77.1.A_swissmodel_GLU_PLP_1.dlg	-12.04	42	-10.74	11	-8.12	42	-5.68	11	-5.91	28	-5.42	-8.12	42	4	21
Q71RI9-1_42_451_3e2f_pdb_GLU_PLP_1.dlg	-12.78	27	-11.8	16	-7.91	27	-5.79	16	-5.87	84	-4.97	-8.28	65	3	39
O88986_28_415_1fc4.1.A_swissmodel_GLU_PLP_2.dlg	-11.71	13	-11.71	13	-6.1	13	-6.1	13	-6.67	98	-5.86	-6.67	98	1	82
Q91W43_57_1010_6i34.1.A_swissmodel_GLU_PLP_2.dlg	-8.44	57	-7.48	65	-3.44	57	-5.25	65	-5.28	28	-4.42	-5.53	83	4	56
Q9WVM8_1_425_4gdy.1.B_swissmodel_GLU_PLP_2.dlg	-13.03	41	-11.32	31	-7.4	41	-6.61	31	-7.35	60	-6.35	-7.64	24	2	38
P50431_9_478_1rvu.1.A_swissmodel_GLU_PLP_3.dlg	-7.54	36	-7.48	34	-5.19	36	-4.45	34	-5.0	18	-4.59	-5.26	51	2	69
Q80WP8-1_64_549_5hsj.1.A_swissmodel_GLU_PLP_1.dlg	-10.29	59	-10.29	59	-5.11	59	-5.11	59	-5.43	74	-4.83	-6.81	46	1	33
Q6XPS7_39_398_1lw4.1.D_swissmodel_GLU_PLP_3.dlg	-8.45	36	-5.48	83	-6.43	36	-4.56	83	-4.56	83	-3.71	-6.43	36	3	50
Q9CZN7-1_43_503_5x3v.1.A_swissmodel_GLU_PLP_1.dlg	-7.57	25	-6.11	73	-5.2	25	-4.77	73	-5.14	62	-3.96	-5.7	38	4	19
O35423-1_27_412_3kgx_pdb_GLU_PLP_2.dlg	-11.6	80	-11.14	45	-6.16	80	-6.31	45	-6.64	43	-5.82	-6.92	91	3	26
Q9Z1J3_58_459_6nzu.1.A_swissmodel_GLU_PLP_1.dlg	-9.77	14	-8.76	92	-6.28	14	-5.75	92	-6.2	51	-5.88	-6.29	40	3	22
P08680_143_578_6hrh.1.B_swissmodel_GLU_PLP_2.dlg	-12.29	69	-12.29	69	-6.4	69	-6.4	69	-6.64	21	-5.86	-6.64	21	1	97
A2AIG8-2_41_459_1m4n.1.A_swissmodel_GLU_PLP_1.dlg	-10.55	92	-8.78	51	-7.06	92	-6.18	51	-6.8	32	-5.96	-7.41	98	5	24
Q8BWU8_9_436_5g4i.1.A_swissmodel_GLU_PLP_1.dlg	-13.69	17	-13.69	17	-7.06	17	-7.06	17	-7.06	17	-5.94	-8.21	77	1	43
P50431_1_478_1eji_pdb_GLU_PLP_3.dlg	-10.48	28	-10.48	28	-6.27	28	-6.27	28	-6.79	59	-6.13	-6.96	77	1	18
Q71RI9-1_42_451_5ver_pdb_GLU_PLP_3.dlg	-11.97	7	-11.7	30	-7.19	7	-7.89	30	-8.23	35	-7.18	-8.23	35	3	59
P97363_115_554_5txr.1.A_swissmodel_GLU_PLP_1.dlg	-11.5	30	-9.07	79	-4.23	30	-3.06	79	-3.19	70	-2.97	-4.77	69	3	36
P05202_32_430_1ama.1.A_swissmodel_GLU_PLP_2.dlg	-17.44	97	-17.44	97	-10.13	97	-10.13	97	-10.17	50	-8.45	-10.17	50	1	70
Q71RI9-1_42_451_5veq.1.A_swissmodel_GLU_PLP_2.dlg	-13.97	42	-13.97	42	-6.92	42	-6.92	42	-7.2	23	-6.47	-8.27	47	1	49
O35423-1_27_412_3kgx_pdb_GLU_PLP_1.dlg	-10.12	22	-10.12	22	-4.98	22	-4.98	22	-5.53	89	-4.98	-7.1	30	1	31
Q6P6M7_23_467_3bcb_pdb_GLU_PLP_1.dlg	-14.61	67	-14.15	23	-8.5	67	-9.92	23	-9.92	23	-8.97	-9.92	23	6	20
P61922-1_39_499_4zsy.1.A_swissmodel_GLU_PLP_1.dlg	-11.29	21	-11.29	21	-5.46	21	-5.46	21	-5.89	49	-5.24	-7.05	64	1	63
Q9WVM8_1_425_4gdy.1.B_swissmodel_GLU_PLP_1.dlg	-14.59	8	-12.67	66	-7.7	8	-7.58	66	-7.61	76	-6.8	-7.79	86	2	42
Q14CH1_48_490_3a9y.1.B_swissmodel_GLU_PLP_1.dlg	-5.32	22	-5.32	22	-1.97	22	-1.97	22	-3.49	58	-2.04	-4.38	33	1	46
Q8CI94_11_836_2pyd.1.A_swissmodel_GLU_PLP_2.dlg	-11.8	60	-9.95	58	-6.25	60	-5.79	58	-6.11	18	-5.7	-7.0	67	2	39
Q8BG54_108_530_6hrh.1.B_swissmodel_GLU_PLP_2.dlg	-9.69	3	-9.69	3	-4.32	3	-4.32	3	-4.67	93	-3.81	-6.05	51	1	62
Q8R238_12_327_2rkb.1.A_swissmodel_GLU_PLP_1.dlg	-11.54	85	-9.75	87	-5.64	85	-4.22	87	-5.37	45	-4.56	-6.8	43	5	34
P50431_1_478_1eji_pdb_GLU_PLP_1.dlg	-13.41	67	-13.41	67	-7.7	67	-7.7	67	-7.7	67	-7.1	-7.75	26	1	58
A2AIG8-2_42_459_4n0b.2.B_swissmodel_GLU_PLP_1.dlg	-10.53	27	-9.3	26	-5.52	27	-6.66	26	-6.86	73	-6.42	-7.04	91	9	12
Q8VCN5_9_398_5tsu.1.C_swissmodel_GLU_PLP_4.dlg	-11.98	5	-11.07	56	-5.19	5	-5.61	56	-6.16	26	-5.42	-6.31	84	4	19
Q71RI9-1_42_451_5veq_pdb_GLU_PLP_3.dlg	-16.76	93	-16.76	93	-7.52	93	-7.52	93	-7.59	38	-6.54	-8.15	58	1	42
Q91WT9-1_39_559_4l28.1.A_swissmodel_GLU_PLP_2.dlg	-8.97	90	-8.97	90	-6.06	90	-6.06	90	-6.06	90	-4.78	-7.46	61	1	29
P05202_30_430_3pdb_pdb_GLU_PLP_2.dlg	-14.41	19	-14.41	19	-7.35	19	-7.35	19	-7.35	19	-6.26	-8.77	83	1	33
Q71RI9-2_7_416_5veq.1.A_swissmodel_GLU_PLP_2.dlg	-13.96	23	-13.96	23	-6.34	23	-6.34	23	-6.71	54	-6.06	-7.73	88	1	51
P61922-2_39_444_4y0h.1.A_swissmodel_GLU_PLP_2.dlg	-12.4	79	-12.4	79	-6.74	79	-6.74	79	-7.21	29	-6.43	-7.21	29	1	51
Q80WP8-2_63_477_5hsj.1.A_swissmodel_GLU_PLP_2.dlg	-9.48	16	-9.48	16	-4.78	16	-4.78	16	-5.15	15	-4.73	-5.95	79	1	35
O88986_28_415_1fc4.1.A_swissmodel_GLU_PLP_1.dlg	-11.12	26	-11.12	26	-6.46	26	-6.46	26	-6.58	75	-5.91	-6.58	75	1	84
P08680_143_578_6hrh.1.B_swissmodel_GLU_PLP_1.dlg	-11.62	88	-11.62	88	-5.46	88	-5.46	88	-6.29	25	-5.13	-6.43	7	1	97
P50431_9_478_1rvu.1.A_swissmodel_GLU_PLP_2.dlg	-9.9	72	-9.9	72	-5.59	72	-5.59	72	-5.63	8	-5.14	-6.36	38	1	53
O35423-1_23_412_3kgw.1.A_swissmodel_GLU_PLP_2.dlg	-12.13	88	-9.82	31	-6.11	88	-7.46	31	-7.78	56	-6.26	-7.78	56	4	34
Q80W22_1_469_1kl7.1.A_swissmodel_GLU_PLP_1.dlg	-9.23	62	-8.74	10	-7.11	62	-4.51	10	-5.17	88	-4.23	-7.14	8	2	13
Q9JLI6-2_17_283_3a9x.1.A_swissmodel_GLU_PLP_1.dlg	-7.59	4	-7.16	29	-5.85	4	-4.64	29	-6.13	97	-4.77	-6.13	97	2	26
Q8VCN5_9_398_5tsu.1.C_swissmodel_GLU_PLP_3.dlg	-11.0	65	-6.05	57	-5.37	65	-3.86	57	-4.71	22	-3.66	-7.54	43	8	20
P50431_9_478_1rvu.1.A_swissmodel_GLU_PLP_4.dlg	-8.96	93	-8.96	93	-5.4	93	-5.4	93	-5.94	54	-5.1	-6.07	29	1	38
Q9DBE0_7_493_2jis.1.A_swissmodel_GLU_PLP_2.dlg	-10.65	62	-10.52	81	-6.54	62	-4.99	81	-6.13	48	-5.15	-6.54	62	2	46
Q91WT9-2_40_543_4pcu.1.A_swissmodel_GLU_PLP_1.dlg	-8.54	23	-7.93	96	-5.72	23	-6.44	96	-7.23	78	-5.29	-7.23	78	2	33
Q6P6M7_23_467_3bcb.1.A_swissmodel_GLU_PLP_2.dlg	-14.02	28	-13.98	69	-8.49	28	-7.62	69	-7.66	45	-7.08	-9.34	88	2	17
Q8QZR1_52_442_4ge9.1.A_swissmodel_GLU_PLP_2.dlg	-9.46	83	-9.46	83	-6.23	83	-6.23	83	-6.7	12	-6.13	-6.7	12	1	60
P05202_30_430_3pd6_pdb_GLU_PLP_2.dlg	-14.02	48	-13.58	72	-8.14	48	-6.5	72	-8.07	55	-6.66	-8.83	95	2	26
Q71RI9-1_42_451_5veq_pdb_GLU_PLP_2.dlg	-16.16	67	-16.16	67	-7.63	67	-7.63	67	-7.63	67	-6.7	-8.32	1	1	65
Q8BTY1_4_421_1w7m.1.A_swissmodel_GLU_PLP_1.dlg	-13.19	25	-13.19	25	-6.52	25	-6.52	25	-7.07	13	-6.37	-8.6	40	1	61
O35855_29_393_1ekp.1.A_swissmodel_GLU_PLP_1.dlg	-13.69	29	-12.4	21	-6.87	29	-5.81	21	-6.39	70	-5.86	-7.77	84	2	30
Q71RI9-1_42_451_5vep_pdb_GLU_PLP_3.dlg	-12.3	2	-12.3	2	-7.36	2	-7.36	2	-7.83	100	-7.14	-7.83	100	1	19
Q91WT9-1_40_557_4pcu.1.B_swissmodel_GLU_PLP_1.dlg	-10.03	31	-10.03	31	-3.3	31	-3.3	31	-3.48	5	-3.1	-7.7	20	1	30
Q91WT9-1_40_557_4pcu.1.A_swissmodel_GLU_PLP_2.dlg	-8.96	53	-7.69	12	-6.0	53	-3.77	12	-4.16	45	-3.12	-6.43	30	8	23
P29758_38_439_2can.1.A_swissmodel_GLU_PLP_1.dlg	-9.24	36	-9.24	36	-4.54	36	-4.54	36	-5.5	45	-4.64	-6.06	67	1	53
Q9CXF0_6_460_3e9k.1.A_swissmodel_GLU_PLP_2.dlg	-7.61	58	-7.61	58	-3.85	58	-3.85	58	-4.17	84	-3.52	-6.65	73	1	25
P05201_1_413_5tor.1.A_swissmodel_GLU_PLP_2.dlg	-13.11	8	-13.11	8	-6.39	8	-6.39	8	-6.66	54	-6.23	-8.21	53	1	37
Q6P6M7_23_466_3bca_pdb_GLU_PLP_4.dlg	-14.35	82	-14.35	82	-7.55	82	-7.55	82	-7.9	24	-7.16	-8.86	52	1	58
P23738_17_484_4e1o.1.A_swissmodel_GLU_PLP_2.dlg	-11.96	63	-11.96	63	-5.76	63	-5.76	63	-6.35	100	-5.78	-6.35	100	1	96
Q8BGT5_49_521_3ihj.1.A_swissmodel_GLU_PLP_1.dlg	-10.31	25	-10.31	25	-6.84	25	-6.84	25	-7.09	72	-6.45	-7.14	91	1	47
Q8VCN5_9_398_5tsu.1.C_swissmodel_GLU_PLP_2.dlg	-11.07	80	-10.91	15	-5.17	80	-5.69	15	-5.69	15	-5.02	-7.33	31	2	21
P48318_92_593_2okj.1.A_swissmodel_GLU_PLP_2.dlg	-12.35	37	-8.85	94	-5.24	37	-5.34	94	-6.02	97	-5.32	-6.39	18	8	25
Q9JLI6-1_18_430_3a9y.1.A_swissmodel_GLU_PLP_2.dlg	-11.41	50	-11.41	50	-6.77	50	-6.77	50	-7.18	87	-6.06	-7.18	87	1	52
Q9CXF0_6_460_3e9k.1.A_swissmodel_GLU_PLP_1.dlg	-10.42	13	-6.11	25	-6.62	13	-1.05	25	-1.11	14	-0.62	-6.62	13	6	25
Q8QZR5_20_495_3tcm.1.A_swissmodel_GLU_PLP_2.dlg	-9.39	41	-7.88	8	-5.16	41	-6.96	8	-7.79	66	-5.41	-7.79	66	3	43
Q71RI9-1_42_451_5ver_pdb_GLU_PLP_4.dlg	-16.51	82	-16.51	82	-7.96	82	-7.96	82	-8.0	89	-6.53	-8.0	89	1	60
A2AIG8-1_37_482_4n0b.2.B_swissmodel_GLU_PLP_2.dlg	-11.85	90	-11.85	90	-6.18	90	-6.18	90	-6.28	85	-5.39	-6.28	85	1	38
Q6P6M7_23_467_3bc8_pdb_GLU_PLP_4.dlg	-14.21	18	-13.73	85	-7.43	18	-7.62	85	-7.69	32	-7.24	-8.89	43	2	39
Q7TSV6-1_3_399_2cst.1.A_swissmodel_GLU_PLP_1.dlg	-11.45	36	-10.47	74	-8.47	36	-3.92	74	-5.97	82	-4.56	-9.01	76	5	20
Q14CH1_35_495_5j8q.1.A_swissmodel_GLU_PLP_2.dlg	-9.31	23	-9.31	23	-6.5	23	-6.5	23	-7.07	78	-6.08	-7.07	78	1	34
P97363_115_554_5txr.1.A_swissmodel_GLU_PLP_2.dlg	-8.11	28	-8.11	28	-3.11	28	-3.11	28	-4.04	5	-3.38	-4.16	51	1	58
Q91WT9-2_40_543_4pcu.1.B_swissmodel_GLU_PLP_1.dlg	-8.45	85	-7.77	17	-5.23	85	-7.12	17	-7.12	17	-5.37	-7.12	17	3	33
Q3UX83-1_157_576_1m4n.1.A_swissmodel_GLU_PLP_2.dlg	-11.66	84	-10.36	86	-6.19	84	-6.86	86	-7.21	68	-6.31	-7.21	68	4	20
Q8QZR1_64_442_3pdx_pdb_GLU_PLP_1.dlg	-10.93	25	-9.36	46	-6.79	25	-5.9	46	-6.14	41	-5.23	-6.84	43	3	40
Q8QZR1_64_442_3pdx.1.A_swissmodel_GLU_PLP_1.dlg	-9.17	97	-8.54	82	-5.5	97	-5.18	82	-5.94	52	-5.07	-6.66	69	3	51
Q80WP8-2_59_493_6enz.1.A_swissmodel_GLU_PLP_1.dlg	-8.64	40	-8.64	40	-4.7	40	-4.7	40	-5.01	97	-4.46	-6.19	16	1	28
Q6P6M7_23_467_3bcb_pdb_GLU_PLP_3.dlg	-14.07	57	-13.8	68	-7.28	57	-7.25	68	-7.51	37	-6.69	-9.13	97	2	18
P00860_2_418_7odc_pdb_GLU_PLP_1.dlg	-11.66	44	-11.07	29	-5.73	44	-7.13	29	-7.46	43	-6.8	-8.03	75	2	48
Q80WP8-2_59_493_6enz.1.A_swissmodel_GLU_PLP_2.dlg	-9.64	88	-8.83	2	-5.59	88	-4.86	2	-5.32	96	-4.47	-5.77	10	2	37
P48320_88_584_2okk.1.A_swissmodel_GLU_PLP_1.dlg	-12.14	70	-10.57	30	-5.62	70	-7.48	30	-7.62	50	-7.14	-7.62	50	2	30
A2AIG8-2_41_459_1m4n.1.A_swissmodel_GLU_PLP_2.dlg	-10.28	41	-8.49	2	-7.41	41	-6.36	2	-7.0	38	-6.04	-7.53	88	6	27
P50431_1_478_1eji_pdb_GLU_PLP_4.dlg	-10.95	56	-9.91	58	-6.73	56	-6.07	58	-6.56	2	-5.92	-6.83	26	2	32
Q3UEG6_63_509_6fyq.1.A_swissmodel_GLU_PLP_1.dlg	-8.85	70	-7.16	92	-4.64	70	-4.32	92	-5.28	61	-4.74	-5.68	49	2	19
Q9JLI6-1_18_430_3a9y.1.A_swissmodel_GLU_PLP_1.dlg	-10.79	93	-10.79	93	-6.17	93	-6.17	93	-7.17	27	-6.15	-7.17	27	1	53
Q71RI9-1_42_451_5veq_pdb_GLU_PLP_1.dlg	-17.41	3	-17.41	3	-8.15	3	-8.15	3	-8.21	4	-7.02	-8.36	83	1	45
Q8R0X7_110_553_4q6r.1.A_swissmodel_GLU_PLP_1.dlg	-12.55	45	-12.55	45	-6.6	45	-6.6	45	-6.99	67	-5.9	-7.58	92	1	56
Q9WUB3_11_836_2pyd.1.A_swissmodel_GLU_PLP_1.dlg	-11.16	42	-10.31	38	-5.74	42	-6.08	38	-6.79	26	-5.78	-7.62	10	2	32
O35423-1_27_412_3kgw_pdb_GLU_PLP_2.dlg	-10.04	15	-8.92	18	-5.26	15	-7.25	18	-7.74	100	-6.9	-7.74	100	3	36
Q6P6M7_23_467_3bcb.1.A_swissmodel_GLU_PLP_3.dlg	-14.18	66	-14.18	66	-7.15	66	-7.15	66	-7.24	46	-6.84	-9.27	71	1	16
Q71RI9-1_42_451_3e2y_pdb_GLU_PLP_1.dlg	-16.01	68	-16.01	68	-7.28	68	-7.28	68	-7.47	31	-6.46	-8.31	71	1	36
O88533_1_467_1js6.1.A_swissmodel_GLU_PLP_2.dlg	-10.35	93	-9.49	39	-6.22	93	-3.77	39	-4.39	10	-3.86	-6.22	93	3	28
Q80WP8-2_63_477_5hsj.1.A_swissmodel_GLU_PLP_1.dlg	-8.03	56	-8.03	56	-5.37	56	-5.37	56	-5.52	6	-4.69	-6.22	77	1	26
Q9CZN7-2_40_500_5x3v.1.A_swissmodel_GLU_PLP_1.dlg	-6.99	66	-6.44	1	-5.2	66	-4.83	1	-4.83	1	-3.75	-5.55	89	2	25
