HIS	Best Cluster (kcal/mol)	Run	Largest Cluster (kcal/mol)	Run	Best Cluster Res (kcal/mol)	Run	Largest Cluster Res (kcal/mol)	Run	Largest Cluster Res Best (kcal/mol)	Run	Largest Cluster Res Mean (kcal/mol)	bestbest (kcal/mol)	Run	Largest Cluster	Num in Largest Cluster
Q8BTY1_4_421_1w7m.1.A_swissmodel_HIS_PLP_2.dlg	-15.79	5	-15.79	5	-5.99	5	-5.99	5	-6.13	92	-5.71	-8.06	60	1	90
Q6P6M7_23_467_3bcb_pdb_HIS_PLP_4.dlg	-14.31	25	-14.31	25	-5.77	25	-5.77	25	-6.03	6	-5.46	-6.23	12	1	34
Q9CXF0_6_460_3e9k.1.A_swissmodel_HIS_PLP_1.dlg	-8.44	81	-8.31	15	-2.91	81	-1.49	15	-1.79	35	-1.56	-5.75	52	2	51
Q91WT9-2_40_543_4pcu.1.A_swissmodel_HIS_PLP_1.dlg	-7.03	70	-7.03	70	-4.14	70	-4.14	70	-4.14	70	-2.51	-6.32	74	1	19
Q8BG54_108_530_6hrh.1.B_swissmodel_HIS_PLP_2.dlg	-11.53	100	-11.53	100	-3.81	100	-3.81	100	-4.56	82	-3.68	-5.3	88	1	76
O35423-1_27_412_3kgw_pdb_HIS_PLP_1.dlg	-11.03	16	-10.62	92	-4.58	16	-3.05	92	-4.17	59	-3.21	-6.03	81	2	19
Q3UEG6_52_507_4atp.1.A_swissmodel_HIS_PLP_2.dlg	-7.14	80	-7.14	80	-3.86	80	-3.86	80	-4.63	2	-3.41	-6.02	90	1	38
Q3UNZ2_26_422_1d7k.1.B_swissmodel_HIS_PLP_2.dlg	-11.02	43	-9.32	68	-5.08	43	-4.36	68	-4.56	48	-4.17	-6.58	9	7	17
Q9WUB3_11_836_2pyd.1.A_swissmodel_HIS_PLP_2.dlg	-11.32	56	-11.32	56	-4.47	56	-4.47	56	-5.11	86	-4.37	-6.06	3	1	27
A2AIG8-1_37_482_4n0b.2.B_swissmodel_HIS_PLP_2.dlg	-11.8	32	-11.12	63	-6.26	32	-4.37	63	-5.19	80	-4.56	-6.44	64	4	24
Q8R1K4-1_10_436_5g4i.1.A_swissmodel_HIS_PLP_1.dlg	-12.37	76	-12.37	76	-4.01	76	-4.01	76	-4.05	37	-3.76	-6.73	73	1	35
Q80WP8-1_64_549_5hsj.1.A_swissmodel_HIS_PLP_1.dlg	-10.98	92	-10.38	14	-4.09	92	-4.61	14	-5.26	24	-4.84	-5.26	24	3	33
Q6P6M7_23_466_3bca_pdb_HIS_PLP_2.dlg	-14.25	87	-14.25	87	-6.22	87	-6.22	87	-6.92	39	-5.62	-8.46	48	1	58
A2AIG8-1_64_482_1m4n.1.A_swissmodel_HIS_PLP_1.dlg	-10.12	52	-10.12	52	-5.03	52	-5.03	52	-5.03	52	-4.05	-6.17	4	1	22
O88533_1_467_1js6.1.A_swissmodel_HIS_PLP_2.dlg	-10.78	9	-10.37	2	-5.51	9	-4.68	2	-5.74	50	-4.74	-5.74	50	3	27
P00860_7_427_1d7k.1.A_swissmodel_HIS_PLP_1.dlg	-10.85	35	-9.94	13	-4.97	35	-4.54	13	-4.6	64	-3.87	-6.09	75	4	18
Q9JLI6-2_17_283_3a9x.1.A_swissmodel_HIS_PLP_2.dlg	-8.4	74	-6.68	4	-4.81	74	-1.42	4	-1.95	27	-1.45	-4.81	74	15	13
Q9Z1J3_58_459_6nzu.1.A_swissmodel_HIS_PLP_1.dlg	-10.15	79	-8.53	55	-4.59	79	-3.04	55	-3.36	89	-2.86	-6.46	51	11	13
P48318_92_593_2okj.1.A_swissmodel_HIS_PLP_2.dlg	-11.95	20	-11.3	2	-4.29	20	-5.65	2	-6.16	7	-5.64	-6.16	7	3	17
Q80WP8-1_64_549_5hsj.1.A_swissmodel_HIS_PLP_2.dlg	-10.33	53	-9.95	41	-5.17	53	-3.1	41	-4.67	28	-3.24	-5.19	69	5	24
P23738_17_484_4e1o.1.A_swissmodel_HIS_PLP_1.dlg	-13.04	28	-13.04	28	-5.22	28	-5.22	28	-5.65	13	-5.33	-5.65	13	1	55
Q91WT9-2_40_543_4pcu.1.A_swissmodel_HIS_PLP_2.dlg	-9.09	13	-7.54	65	-6.45	13	-3.55	65	-3.88	79	-3.04	-6.58	89	3	22
Q8QZR1_52_442_4ge9.1.A_swissmodel_HIS_PLP_2.dlg	-8.7	62	-8.7	62	-4.52	62	-4.52	62	-4.54	26	-3.94	-4.62	70	1	43
O35484_8_435_3btn_pdb_HIS_PLP_1.dlg	-8.4	5	-7.76	64	-3.65	5	-3.46	64	-3.46	64	-2.59	-4.75	19	2	12
Q80WP8-1_59_550_6enz_pdb_HIS_PLP_2.dlg	-11.71	4	-11.09	86	-4.53	4	-4.26	86	-5.11	44	-4.35	-6.79	80	4	28
Q8VCN5_9_398_5tsu.1.C_swissmodel_HIS_PLP_1.dlg	-10.36	40	-10.36	40	-4.6	40	-4.6	40	-5.34	7	-4.27	-5.61	48	1	38
P29758_38_439_2can.1.A_swissmodel_HIS_PLP_2.dlg	-9.53	75	-9.53	75	-3.85	75	-3.85	75	-4.11	86	-3.64	-5.49	38	1	24
Q8BGT5_49_521_3ihj.1.A_swissmodel_HIS_PLP_1.dlg	-10.7	10	-10.5	70	-6.57	10	-5.76	70	-6.32	73	-5.04	-6.57	10	2	46
Q9ET01_24_839_1xoi.1.A_swissmodel_HIS_PLP_2.dlg	-11.78	72	-11.78	72	-4.22	72	-4.22	72	-4.9	78	-4.21	-5.84	4	1	34
P50431_1_478_1eji_pdb_HIS_PLP_1.dlg	-14.12	64	-14.12	64	-6.36	64	-6.36	64	-6.91	96	-6.14	-6.91	96	1	78
Q99K85_17_370_3e77.1.A_swissmodel_HIS_PLP_2.dlg	-12.1	86	-10.74	64	-7.04	86	-5.75	64	-5.75	64	-5.41	-7.04	86	5	17
O35484_8_435_3btn_pdb_HIS_PLP_2.dlg	-7.32	72	-7.32	72	-4.3	72	-4.3	72	-4.39	1	-3.8	-4.39	1	1	24
Q71RI9-1_42_451_3e2f_pdb_HIS_PLP_1.dlg	-12.52	74	-12.52	74	-6.07	74	-6.07	74	-6.1	100	-5.46	-6.31	53	1	30
P48320_88_584_2okk.1.A_swissmodel_HIS_PLP_2.dlg	-10.65	85	-10.65	85	-3.12	85	-3.12	85	-3.25	76	-2.93	-6.06	24	1	24
Q8R238_12_327_2rkb.1.A_swissmodel_HIS_PLP_2.dlg	-11.4	70	-9.75	92	-4.92	70	-2.86	92	-2.95	2	-2.55	-6.08	88	6	16
Q9WVM8_1_425_4gdy.1.B_swissmodel_HIS_PLP_2.dlg	-13.42	4	-13.39	51	-6.54	4	-5.9	51	-5.98	57	-5.42	-7.57	26	2	25
Q9DBE0_7_493_2jis.1.A_swissmodel_HIS_PLP_2.dlg	-10.33	82	-10.33	82	-5.32	82	-5.32	82	-5.32	82	-4.69	-5.77	90	1	30
Q8VBT2_5_317_2o2j.1.B_swissmodel_HIS_PLP_2.dlg	-10.2	78	-10.2	78	-4.69	78	-4.69	78	-4.89	97	-4.36	-4.89	97	1	30
P50431_9_478_1rvu.1.A_swissmodel_HIS_PLP_3.dlg	-8.85	9	-8.85	9	-4.95	9	-4.95	9	-5.24	34	-4.16	-5.24	34	1	76
Q9WVM8_1_425_4gdy.1.B_swissmodel_HIS_PLP_1.dlg	-13.51	69	-13.51	69	-4.19	69	-4.19	69	-5.21	1	-4.04	-7.54	93	1	39
Q14CH1_48_490_3a9y.1.B_swissmodel_HIS_PLP_1.dlg	-6.08	86	-4.99	23	-1.86	86	-3.8	23	-4.11	14	-3.26	-4.32	26	2	33
A2AIG8-2_42_459_4n0b.2.B_swissmodel_HIS_PLP_2.dlg	-11.62	42	-11.5	33	-4.48	42	-5.91	33	-6.42	64	-5.64	-6.42	64	2	25
O88533_1_467_1js6.1.A_swissmodel_HIS_PLP_1.dlg	-10.99	37	-10.24	48	-5.58	37	-4.47	48	-5.61	21	-4.9	-5.73	100	3	17
P05202_30_430_3hlm_pdb_HIS_PLP_2.dlg	-14.16	31	-14.09	27	-4.8	31	-4.64	27	-4.92	94	-4.39	-8.28	22	2	37
O35855_29_393_1ekp.1.A_swissmodel_HIS_PLP_1.dlg	-12.15	86	-12.13	40	-4.94	86	-5.18	40	-5.29	31	-4.89	-6.32	81	2	38
Q71RI9-1_42_451_5ver_pdb_HIS_PLP_3.dlg	-14.13	34	-14.13	34	-7.14	34	-7.14	34	-7.61	46	-6.87	-7.99	63	1	52
Q9CXF0_6_460_3e9k.1.A_swissmodel_HIS_PLP_2.dlg	-9.06	74	-8.32	51	-5.13	74	-1.63	51	-1.75	4	-1.54	-5.45	69	4	41
Q80WP8-2_68_523_2okj.1.A_swissmodel_HIS_PLP_2.dlg	-13.32	55	-13.32	55	-6.73	55	-6.73	55	-6.9	64	-6.46	-6.97	78	1	34
O88986_28_415_1fc4.1.A_swissmodel_HIS_PLP_2.dlg	-11.79	70	-11.79	70	-5.03	70	-5.03	70	-5.8	9	-5.0	-6.09	73	1	90
P05201_1_413_5tor.1.A_swissmodel_HIS_PLP_1.dlg	-13.03	81	-12.53	55	-4.71	81	-6.7	55	-7.13	60	-6.86	-7.44	37	3	21
Q8BG54_108_530_6hrh.1.B_swissmodel_HIS_PLP_1.dlg	-12.07	8	-12.07	8	-3.95	8	-3.95	8	-5.72	44	-4.04	-5.72	44	1	82
Q9CZN7-2_40_500_5x3v.1.A_swissmodel_HIS_PLP_1.dlg	-7.5	42	-7.5	42	-4.11	42	-4.11	42	-4.6	69	-3.67	-4.6	69	1	23
Q71RI9-1_42_451_5vep_pdb_HIS_PLP_3.dlg	-13.21	94	-11.7	7	-6.36	94	-5.67	7	-6.22	65	-5.23	-6.73	87	3	30
Q8QZR5_20_495_3tcm.1.A_swissmodel_HIS_PLP_2.dlg	-10.74	96	-10.74	96	-6.86	96	-6.86	96	-7.21	2	-6.34	-7.21	2	1	46
Q8VCN5_9_398_5tsu.1.C_swissmodel_HIS_PLP_3.dlg	-9.55	46	-9.55	46	-6.7	46	-6.7	46	-7.67	4	-6.21	-7.67	4	1	19
Q71RI9-1_42_451_2zjg_pdb_HIS_PLP_2.dlg	-12.57	46	-12.57	46	-6.22	46	-6.22	46	-6.43	11	-6.13	-6.82	54	1	56
Q80WP8-2_63_477_5hsj.1.A_swissmodel_HIS_PLP_2.dlg	-9.96	46	-9.72	35	-4.09	46	-3.78	35	-4.36	52	-3.65	-5.47	55	3	18
Q6P6M7_23_467_3bc8_pdb_HIS_PLP_2.dlg	-13.75	32	-13.36	59	-4.85	32	-4.92	59	-6.01	45	-5.06	-8.38	13	3	46
P97363_115_554_5txr.1.A_swissmodel_HIS_PLP_1.dlg	-11.48	21	-11.42	34	-2.76	21	-1.76	34	-2.83	13	-1.87	-2.97	19	2	29
Q9Z2Y8_12_248_1b54.1.A_swissmodel_HIS_PLP_1.dlg	-10.57	45	-9.65	98	-4.26	45	-4.22	98	-4.22	98	-3.46	-6.24	72	5	14
Q6P6M7_23_467_3bcb_pdb_HIS_PLP_1.dlg	-14.04	69	-14.04	69	-5.51	69	-5.51	69	-6.08	68	-5.19	-6.52	22	1	42
P05202_30_430_3pdb_pdb_HIS_PLP_1.dlg	-14.09	36	-11.76	98	-7.89	36	-4.63	98	-4.72	96	-3.71	-7.89	36	8	20
Q8BWU8_9_436_5g4i.1.A_swissmodel_HIS_PLP_2.dlg	-13.26	40	-12.84	96	-5.86	40	-5.34	96	-5.34	96	-4.99	-6.92	72	6	18
Q8R1K4-2_26_438_5g4i.1.A_swissmodel_HIS_PLP_1.dlg	-10.53	70	-9.26	8	-4.03	70	-2.6	8	-3.66	34	-2.87	-5.76	9	7	18
Q6P6M7_23_466_3bca_pdb_HIS_PLP_1.dlg	-14.04	27	-14.04	27	-6.25	27	-6.25	27	-6.89	40	-5.73	-6.89	40	1	52
Q8CI94_11_836_2pyd.1.A_swissmodel_HIS_PLP_2.dlg	-10.58	99	-10.49	7	-4.77	99	-4.76	7	-5.69	68	-4.59	-5.86	97	2	32
Q91W43_57_1010_6i34.1.A_swissmodel_HIS_PLP_2.dlg	-9.22	38	-7.91	60	-4.19	38	-3.57	60	-3.81	77	-3.3	-4.87	26	7	38
Q71RI9-1_42_451_5vep_pdb_HIS_PLP_1.dlg	-12.0	52	-11.44	86	-5.89	52	-5.77	86	-6.07	34	-5.55	-7.11	56	3	17
Q9DBE0_7_493_2jis.1.A_swissmodel_HIS_PLP_1.dlg	-10.4	35	-9.45	14	-3.65	35	-2.49	14	-2.94	74	-2.43	-5.87	65	12	15
Q91WT9-1_40_557_4pcu.1.A_swissmodel_HIS_PLP_1.dlg	-11.34	45	-11.34	45	-3.72	45	-3.72	45	-3.89	6	-3.58	-5.34	81	1	36
Q14CH1_35_495_5j8q.1.A_swissmodel_HIS_PLP_1.dlg	-9.13	88	-8.67	94	-2.09	88	-3.46	94	-4.16	82	-2.98	-5.76	44	3	24
P61922-2_39_444_4y0h.1.A_swissmodel_HIS_PLP_1.dlg	-11.92	19	-11.88	56	-5.48	19	-3.94	56	-4.59	78	-3.8	-6.01	55	2	28
Q3UX83-2_102_522_6d0a.1.A_swissmodel_HIS_PLP_2.dlg	-12.08	16	-12.08	16	-5.44	16	-5.44	16	-5.76	1	-4.86	-6.64	98	1	14
P24288_21_385_2abj.1.A_swissmodel_HIS_PLP_2.dlg	-11.31	24	-10.02	66	-4.98	24	-3.26	66	-3.44	29	-3.26	-5.78	82	5	25
Q80WP8-2_59_493_6enz.1.A_swissmodel_HIS_PLP_1.dlg	-9.11	47	-8.98	87	-3.05	47	-4.25	87	-5.09	11	-4.18	-5.24	28	3	21
Q91WT9-1_40_557_4pcu.1.B_swissmodel_HIS_PLP_2.dlg	-9.12	85	-9.12	85	-3.23	85	-3.23	85	-4.17	30	-3.09	-5.73	40	1	19
Q6XPS7_39_398_1lw4.1.D_swissmodel_HIS_PLP_1.dlg	-8.78	88	-8.38	58	-4.89	88	-4.6	58	-5.11	99	-4.23	-5.64	77	3	26
Q3UX83-2_105_524_1m4n.1.A_swissmodel_HIS_PLP_1.dlg	-11.94	97	-11.94	97	-5.37	97	-5.37	97	-6.01	96	-5.45	-6.01	96	1	42
Q6XPS7_39_398_1lw4.1.D_swissmodel_HIS_PLP_3.dlg	-7.11	7	-7.11	7	-2.26	7	-2.26	7	-2.53	54	-1.77	-4.45	30	1	20
Q71RI9-1_42_451_5ver_pdb_HIS_PLP_4.dlg	-16.06	86	-16.06	86	-6.23	86	-6.23	86	-6.45	72	-5.4	-7.86	91	1	59
Q3UEG6_52_507_4atp.1.A_swissmodel_HIS_PLP_1.dlg	-9.64	63	-9.64	63	-4.41	63	-4.41	63	-5.31	86	-4.36	-6.19	79	1	68
P05202_30_430_3hlm_pdb_HIS_PLP_1.dlg	-13.87	43	-13.87	43	-5.33	43	-5.33	43	-5.33	43	-4.58	-8.59	75	1	19
Q3UEG6_52_507_4atp.1.A_swissmodel_HIS_PLP_4.dlg	-6.81	68	-3.19	81	-3.03	68	-2.35	81	-3.08	1	-1.43	-4.72	71	4	20
O35423-2_1_390_3kgw.1.A_swissmodel_HIS_PLP_1.dlg	-10.67	32	-10.61	33	-2.97	32	-3.0	33	-3.39	11	-3.08	-5.54	19	3	33
Q99K85_17_370_3e77.1.A_swissmodel_HIS_PLP_1.dlg	-12.78	98	-12.78	98	-5.42	98	-5.42	98	-5.67	52	-4.1	-6.27	66	1	21
Q71RI9-1_42_451_5ver_pdb_HIS_PLP_2.dlg	-14.97	64	-14.97	64	-6.26	64	-6.26	64	-6.37	75	-5.29	-7.02	29	1	54
P50431_9_478_1rvu.1.A_swissmodel_HIS_PLP_4.dlg	-10.02	95	-10.02	95	-5.25	95	-5.25	95	-5.75	23	-4.82	-5.75	23	1	60
Q71RI9-1_42_451_5vep_pdb_HIS_PLP_4.dlg	-12.31	100	-11.84	45	-5.2	100	-6.13	45	-6.39	41	-5.96	-6.39	41	2	52
Q71RI9-1_42_451_5veq_pdb_HIS_PLP_3.dlg	-15.99	86	-15.99	86	-5.63	86	-5.63	86	-6.46	60	-5.02	-7.71	43	1	65
Q71RI9-1_42_451_5veq_pdb_HIS_PLP_2.dlg	-15.66	40	-15.66	40	-6.14	40	-6.14	40	-6.64	63	-5.55	-7.29	30	1	76
Q8QZR1_64_442_3pdx.1.A_swissmodel_HIS_PLP_2.dlg	-10.69	20	-10.11	12	-5.09	20	-4.88	12	-4.91	47	-4.31	-5.71	95	2	48
Q8VBT2_5_317_2o2j.1.B_swissmodel_HIS_PLP_1.dlg	-8.98	87	-8.02	58	-4.27	87	-4.38	58	-5.02	18	-4.6	-5.38	68	17	7
Q6P6M7_23_466_3bca_pdb_HIS_PLP_4.dlg	-14.21	4	-14.21	4	-6.08	4	-6.08	4	-6.86	67	-5.73	-8.11	99	1	51
Q6XPS7_39_398_1lw4.1.D_swissmodel_HIS_PLP_4.dlg	-9.63	98	-9.63	98	-4.62	98	-4.62	98	-5.15	7	-4.16	-5.45	88	1	67
Q71RI9-1_42_451_3e2f_pdb_HIS_PLP_2.dlg	-12.6	8	-11.96	92	-5.36	8	-6.28	92	-6.7	75	-6.16	-6.83	74	4	37
Q3UEG6_63_509_6fyq.1.A_swissmodel_HIS_PLP_2.dlg	-10.07	64	-7.31	44	-4.35	64	-4.38	44	-5.08	68	-4.49	-5.08	68	8	19
Q9QZX7-3_3_180_3hmk.1.A_swissmodel_HIS_PLP_2.dlg	-10.05	24	-8.99	53	-3.53	24	-3.83	53	-4.29	85	-3.68	-5.16	27	4	18
Q71RI9-1_42_451_5veq_pdb_HIS_PLP_1.dlg	-16.34	34	-16.34	34	-6.42	34	-6.42	34	-6.44	24	-5.84	-7.84	56	1	66
Q3UX83-2_105_524_1m4n.1.A_swissmodel_HIS_PLP_2.dlg	-11.95	17	-11.95	17	-5.49	17	-5.49	17	-5.58	53	-5.24	-6.6	16	1	21
A2AIG8-2_41_459_1m4n.1.A_swissmodel_HIS_PLP_2.dlg	-10.35	9	-10.2	4	-4.67	9	-4.0	4	-5.03	72	-4.16	-5.64	55	2	44
Q8R238_12_327_2rkb.1.A_swissmodel_HIS_PLP_1.dlg	-11.47	69	-9.3	94	-6.0	69	-3.44	94	-4.1	90	-3.41	-6.05	52	11	16
Q91WT9-1_40_557_4pcu.1.B_swissmodel_HIS_PLP_1.dlg	-11.12	48	-11.12	48	-3.71	48	-3.71	48	-3.96	64	-3.53	-5.09	14	1	32
Q6P6M7_23_467_3bcb.1.A_swissmodel_HIS_PLP_4.dlg	-13.96	67	-13.05	83	-6.41	67	-5.45	83	-5.98	99	-5.38	-6.41	67	3	35
Q9JLI6-1_18_430_3a9y.1.A_swissmodel_HIS_PLP_1.dlg	-10.04	98	-9.68	51	-5.77	98	-5.19	51	-5.19	51	-4.6	-5.92	40	2	14
Q8R1K4-2_26_438_5g4i.1.A_swissmodel_HIS_PLP_2.dlg	-10.37	77	-9.89	35	-4.22	77	-3.48	35	-4.0	84	-3.48	-5.94	75	3	16
O35423-1_27_412_3kgx_pdb_HIS_PLP_2.dlg	-12.13	4	-11.55	65	-6.1	4	-5.06	65	-5.61	39	-5.14	-6.81	71	2	32
Q6P6M7_23_467_3bcb.1.A_swissmodel_HIS_PLP_3.dlg	-14.04	7	-13.39	59	-6.22	7	-5.52	59	-5.8	17	-5.36	-6.46	25	3	33
P61922-2_39_444_4y0h.1.A_swissmodel_HIS_PLP_2.dlg	-12.27	24	-11.82	30	-4.53	24	-5.73	30	-5.99	76	-5.4	-5.99	76	2	26
Q8BH55_226_741_1kl7.1.A_swissmodel_HIS_PLP_1.dlg	-11.32	32	-11.32	32	-4.18	32	-4.18	32	-4.57	65	-3.72	-6.66	30	1	58
Q80WP8-1_59_550_6enz.1.A_swissmodel_HIS_PLP_2.dlg	-10.78	27	-10.78	27	-4.58	27	-4.58	27	-5.11	58	-4.3	-6.5	24	1	24
Q8VC19_199_634_6hrh.1.B_swissmodel_HIS_PLP_1.dlg	-14.1	53	-14.1	53	-4.73	53	-4.73	53	-5.84	71	-4.77	-5.87	34	1	84
Q91WT9-2_40_543_4pcu.1.B_swissmodel_HIS_PLP_1.dlg	-7.24	42	-6.75	19	-3.66	42	-5.19	19	-5.19	19	-4.14	-5.65	89	3	16
Q8VBT2_1_325_1pwh.2.A_swissmodel_HIS_PLP_1.dlg	-12.51	69	-12.51	69	-5.53	69	-5.53	69	-6.13	29	-5.44	-6.43	84	1	30
Q80WP8-2_68_523_2okj.1.A_swissmodel_HIS_PLP_1.dlg	-12.22	11	-11.24	90	-5.51	11	-6.05	90	-6.47	87	-5.25	-6.53	92	2	26
Q80WP8-1_59_550_6enz_pdb_HIS_PLP_1.dlg	-10.85	61	-10.85	61	-4.38	61	-4.38	61	-4.69	29	-4.37	-5.49	22	1	23
Q3UEG6_63_509_6fyq.1.A_swissmodel_HIS_PLP_1.dlg	-9.46	77	-7.61	73	-4.42	77	-4.46	73	-4.77	96	-4.54	-5.18	8	4	24
Q9CZN7-2_40_500_5x3v.1.A_swissmodel_HIS_PLP_2.dlg	-6.71	82	-5.91	43	-2.32	82	-3.19	43	-3.86	42	-2.97	-4.22	86	6	22
Q6P6M7_23_467_3bc8_pdb_HIS_PLP_4.dlg	-13.64	4	-13.33	85	-4.63	4	-5.45	85	-6.12	22	-5.34	-8.38	57	2	36
O35423-2_1_390_3kgw.1.A_swissmodel_HIS_PLP_2.dlg	-11.79	38	-10.67	50	-5.31	38	-4.57	50	-4.57	50	-3.78	-6.82	35	3	29
Q8R0X7_110_553_4q6r.1.A_swissmodel_HIS_PLP_2.dlg	-12.18	76	-12.18	76	-5.26	76	-5.26	76	-6.31	3	-5.46	-6.31	3	1	31
O35855_29_393_1ekp.1.A_swissmodel_HIS_PLP_2.dlg	-12.75	55	-12.75	55	-5.13	55	-5.13	55	-5.46	100	-5.01	-6.85	9	1	28
Q71RI9-1_42_451_5veq.1.A_swissmodel_HIS_PLP_1.dlg	-15.0	34	-15.0	34	-6.31	34	-6.31	34	-6.7	44	-6.18	-6.7	44	1	54
P05202_30_430_3pdb_pdb_HIS_PLP_2.dlg	-13.82	20	-13.82	20	-4.31	20	-4.31	20	-5.6	32	-4.69	-7.56	44	1	51
Q80WP8-1_59_550_6enz.1.A_swissmodel_HIS_PLP_1.dlg	-9.52	90	-9.22	59	-4.38	90	-4.5	59	-4.92	17	-4.2	-5.46	23	7	14
P50431_1_478_1eji_pdb_HIS_PLP_2.dlg	-13.21	100	-13.21	100	-5.39	100	-5.39	100	-5.69	90	-4.88	-5.69	90	1	68
P61922-1_39_499_4zsy.1.A_swissmodel_HIS_PLP_2.dlg	-12.18	19	-12.18	19	-4.51	19	-4.51	19	-4.83	84	-4.05	-6.22	31	1	22
Q8QZR1_64_442_3pdx_pdb_HIS_PLP_2.dlg	-11.11	13	-10.09	45	-5.65	13	-4.9	45	-4.95	72	-4.38	-5.85	16	3	41
Q8QZR1_64_442_3pdx_pdb_HIS_PLP_1.dlg	-10.95	98	-10.1	89	-5.34	98	-4.99	89	-5.03	54	-4.28	-5.79	13	3	49
P50431_1_478_1eji_pdb_HIS_PLP_4.dlg	-11.59	38	-11.59	38	-5.83	38	-5.83	38	-5.99	52	-5.59	-6.06	5	1	13
P97363_115_554_5txr.1.A_swissmodel_HIS_PLP_2.dlg	-9.07	27	-9.03	99	-2.43	27	-1.59	99	-2.12	86	-1.84	-2.78	32	2	28
Q9JLI6-1_18_430_3a9y.1.A_swissmodel_HIS_PLP_2.dlg	-9.48	70	-9.48	70	-4.87	70	-4.87	70	-5.01	91	-4.36	-5.99	43	1	18
Q3UX83-1_157_576_1m4n.1.A_swissmodel_HIS_PLP_1.dlg	-11.94	9	-11.94	9	-5.48	9	-5.48	9	-6.28	63	-5.61	-6.39	78	1	33
Q14CH1_48_490_3a9y.1.B_swissmodel_HIS_PLP_2.dlg	-5.85	87	-3.07	54	-3.32	87	-2.94	54	-3.34	48	-2.16	-4.54	26	4	21
P29758_38_439_2can.1.A_swissmodel_HIS_PLP_1.dlg	-9.55	93	-9.55	93	-3.93	93	-3.93	93	-4.07	41	-3.62	-5.47	26	1	26
Q71RI9-1_42_451_5vep_pdb_HIS_PLP_2.dlg	-11.99	37	-11.84	88	-5.72	37	-5.88	88	-6.21	9	-5.88	-6.21	9	2	48
Q8QZR1_64_442_3pdx.1.A_swissmodel_HIS_PLP_1.dlg	-10.4	70	-10.21	53	-4.31	70	-4.86	53	-4.9	75	-4.41	-5.94	66	3	50
Q71RI9-2_7_416_5veq.1.A_swissmodel_HIS_PLP_2.dlg	-14.75	54	-14.75	54	-5.97	54	-5.97	54	-6.28	14	-5.28	-6.92	34	1	63
P00860_2_418_7odc_pdb_HIS_PLP_1.dlg	-11.49	22	-11.38	85	-5.86	22	-6.52	85	-6.87	94	-6.45	-6.9	11	2	13
Q91WT9-2_40_543_4pcu.1.B_swissmodel_HIS_PLP_2.dlg	-7.98	46	-7.98	46	-3.62	46	-3.62	46	-4.35	88	-3.0	-6.73	95	1	26
