KYN	Best Cluster (kcal/mol)	Run	Largest Cluster (kcal/mol)	Run	Best Cluster Res (kcal/mol)	Run	Largest Cluster Res (kcal/mol)	Run	Largest Cluster Res Best (kcal/mol)	Run	Largest Cluster Res Mean (kcal/mol)	bestbest (kcal/mol)	Run	Largest Cluster	Num in Largest Cluster
Q96I15_29_444_3gzc.1.A_swissmodel_KYNU_PLP_2.dlg	-9.74	24	-8.6	58	-6.46	24	-2.4	58	-3.22	76	-2.22	-6.46	24	4	13
Q96GA7_11_328_2rkb_pdb_KYNU_PLP_1.dlg	-13.88	2	-12.16	41	-8.02	2	-5.76	41	-6.75	72	-5.97	-8.2	84	7	10
P11216_1_843_5ikp_pdb_KYNU_PLP_1.dlg	-16.07	45	-16.07	45	-2.64	45	-2.64	45	-2.88	88	-2.52	-4.06	74	1	33
P20711_1_383_1js6.1.A_swissmodel_KYNU_PLP_2.dlg	-11.25	93	-11.12	23	-4.58	93	-4.48	23	-4.68	92	-4.27	-7.87	39	5	12
P04181_36_439_2byj.1.A_swissmodel_KYNU_PLP_2.dlg	-11.56	3	-11.56	3	-4.49	3	-4.49	3	-6.1	23	-5.21	-7.84	82	1	24
P34896_8_483_1eji.1.D_swissmodel_KYNU_PLP_2.dlg	-11.42	31	-11.42	31	-7.05	31	-7.05	31	-7.5	21	-6.66	-7.57	8	1	20
Q96I15_29_444_3gzc.1.A_swissmodel_KYNU_PLP_1.dlg	-11.18	46	-10.3	77	-7.33	46	-6.73	77	-6.89	44	-5.75	-7.33	46	3	26
O15382_28_392_1kta_pdb_KYNU_PLP_2.dlg	-15.68	74	-15.68	74	-6.99	74	-6.99	74	-7.53	98	-6.48	-8.02	51	1	35
P06737_1_847_1exv_pdb_KYNU_PLP_2.dlg	-12.87	83	-12.12	18	-6.85	83	-8.08	18	-8.83	13	-7.52	-8.83	13	5	12
P06737_24_832_3ceh_pdb_KYNU_PLP_2.dlg	-13.05	20	-11.99	69	-6.5	20	-6.76	69	-8.09	68	-7.37	-8.09	68	4	11
Q96EN8_35_495_5j8q.1.A_swissmodel_KYNU_PLP_1.dlg	-10.88	6	-8.62	41	-6.72	6	-6.31	41	-6.46	85	-5.64	-6.82	68	4	38
Q16773_1_422_1w7n_pdb_KYNU_PLP_2.dlg	-16.51	84	-16.51	84	-7.2	84	-7.2	84	-7.2	84	-5.78	-7.2	84	1	79
P21549_1_392_3r9a_pdb_KYNU_PLP_1.dlg	-12.16	92	-12.16	92	-6.42	92	-6.42	92	-7.42	76	-5.87	-7.94	26	1	61
P21549_1_388_2yob_pdb_KYNU_PLP_2.dlg	-13.81	81	-13.81	81	-7.01	81	-7.01	81	-7.12	58	-6.06	-8.88	16	1	36
P34897_43_504_4pvf.1.A_swissmodel_KYNU_PLP_4.dlg	-10.0	32	-9.38	58	-3.78	32	-6.9	58	-7.26	75	-6.0	-7.26	75	2	32
P21549_1_392_4kxk_pdb_KYNU_PLP_1.dlg	-5.33	88	-5.33	88	-2.61	88	-2.61	88	-4.9	84	-1.22	-5.01	81	1	15
P17174_14_412_3ii0_pdb_KYNU_PLP_1.dlg	-14.31	67	-12.23	29	-5.71	67	-5.84	29	-5.84	29	-3.09	-7.88	20	3	33
O15382_28_392_2hg8_pdb_KYNU_PLP_1.dlg	-15.37	90	-15.31	49	-5.91	90	-7.0	49	-7.11	31	-6.24	-9.68	17	2	30
P20711_1_480_3rbf_pdb_KYNU_PLP_2.dlg	-11.38	91	-10.36	8	-2.25	91	-5.95	8	-6.51	2	-5.98	-7.05	74	3	10
Q9Y697_67_457_5kz5_pdb_KYNU_PLP_7.dlg
Q9GZT4_1_340_3l6b_pdb_KYNU_PLP_2.dlg	-12.06	94	-12.06	94	-6.72	94	-6.72	94	-6.72	94	-5.59	-7.6	83	1	36
Q99259_93_594_2okj_pdb_KYNU_PLP_1.dlg	-11.98	12	-10.21	42	-7.12	12	-6.15	42	-6.87	94	-4.46	-7.65	15	2	15
P32929_1_402_2nmp_pdb_KYNU_PLP_4.dlg	-9.72	34	-9.72	34	-4.61	34	-4.61	34	-5.81	36	-3.99	-8.03	92	1	39
P23378_53_1006_4lgl.1.A_swissmodel_KYNU_PLP_2.dlg	-9.14	26	-8.74	6	-5.16	26	-5.48	6	-5.51	39	-4.46	-5.87	66	2	24
O15382_28_392_5bwu_pdb_KYNU_PLP_1.dlg	-15.04	31	-14.83	1	-7.26	31	-7.55	1	-7.56	28	-6.82	-8.22	40	2	19
Q9Y600_1_493_2jis_pdb_KYNU_PLP_1.dlg	-12.75	98	-12.75	98	-7.66	98	-7.66	98	-7.9	73	-6.87	-7.9	73	1	21
P06737_1_847_1l5q_pdb_KYNU_PLP_2.dlg	-13.28	36	-12.55	13	-5.78	36	-7.58	13	-9.0	7	-7.27	-9.0	7	4	20
Q16719_6_460_2hzp.1.A_swissmodel_KYNU_PLP_2.dlg	-9.21	10	-9.02	11	-4.9	10	-6.56	11	-7.41	72	-6.66	-7.41	72	3	16
Q9Y617_17_370_3e77_pdb_KYNU_PLP_1.dlg	-11.21	97	-10.63	38	-4.65	97	-4.59	38	-5.47	50	-3.78	-8.21	88	8	11
P06737_24_832_3cej_pdb_KYNU_PLP_1.dlg	-12.47	91	-12.46	4	-6.84	91	-8.13	4	-8.13	4	-6.75	-8.13	4	2	16
Q05329_88_584_2okk_pdb_KYNU_PLP_1.dlg	-12.22	33	-12.22	33	-3.88	33	-3.88	33	-4.27	7	-3.5	-8.21	77	1	12
Q9NUV7_105_529_4bmk.1.A_swissmodel_KYNU_PLP_2.dlg	-14.89	82	-14.89	82	-5.44	82	-5.44	82	-6.92	78	-5.79	-7.36	50	1	43
P21549_1_392_1j04_pdb_KYNU_PLP_1.dlg	-14.26	64	-14.26	64	-7.44	64	-7.44	64	-8.37	86	-6.81	-8.37	86	1	46
O15382_28_392_2hdk_pdb_KYNU_PLP_2.dlg	-14.65	53	-14.65	53	-5.6	53	-5.6	53	-6.5	64	-5.55	-8.01	80	1	32
Q9GZT4_3_329_3l6r.1.A_swissmodel_KYNU_PLP_2.dlg	-11.68	47	-11.68	47	-6.6	47	-6.6	47	-6.83	22	-5.09	-7.03	81	1	32
O15382_28_392_1kt8_pdb_KYNU_PLP_2.dlg	-15.61	66	-15.61	66	-6.94	66	-6.94	66	-7.3	37	-6.3	-8.39	60	1	37
Q9Y697_67_457_5kz5_pdb_KYNU_PLP_4.dlg
P11216_1_843_5iko_pdb_KYNU_PLP_1.dlg	-15.3	24	-15.3	24	-6.59	24	-6.59	24	-7.12	5	-6.43	-7.34	89	1	31
O15382_28_392_5hne_pdb_KYNU_PLP_1.dlg	-14.61	62	-12.51	3	-6.87	62	-5.59	3	-6.63	23	-5.46	-7.83	68	5	15
Q16773_1_422_3fvs_pdb_KYNU_PLP_1.dlg	-14.41	85	-14.41	85	-6.52	85	-6.52	85	-8.01	39	-6.56	-8.01	39	1	47
P04181_1_439_2oat_pdb_KYNU_PLP_2.dlg	-12.75	31	-11.55	1	-7.07	31	-5.13	1	-5.95	12	-5.27	-7.49	56	2	49
P54687_21_386_2abj_pdb_KYNU_PLP_1.dlg	-14.55	59	-14.55	59	-6.42	59	-6.42	59	-6.89	38	-6.13	-8.3	25	1	35
Q9Y617_17_370_3e77_pdb_KYNU_PLP_2.dlg	-12.26	75	-12.01	4	-7.38	75	-9.14	4	-9.51	71	-8.29	-9.51	71	5	10
P17735_51_442_4ge9.1.A_swissmodel_KYNU_PLP_2.dlg	-10.59	61	-10.59	61	-5.82	61	-5.82	61	-7.76	33	-5.94	-7.76	33	1	25
O15382_28_392_2a1h_pdb_KYNU_PLP_2.dlg	-15.45	7	-14.25	80	-5.69	7	-5.87	80	-6.69	33	-5.94	-8.75	61	3	25
P21549_1_392_4kxk_pdb_KYNU_PLP_2.dlg	-8.46	10	-8.46	10	-5.57	10	-5.57	10	-5.57	10	-3.1	-5.57	10	1	14
O15382_28_392_5i5x_pdb_KYNU_PLP_1.dlg	-14.66	94	-14.66	94	-7.44	94	-7.44	94	-7.44	94	-6.62	-8.27	58	1	22
P17174_2_413_3wzf.1.A_swissmodel_KYNU_PLP_1.dlg	-13.12	2	-13.12	2	-4.04	2	-4.04	2	-5.87	53	-4.53	-8.33	20	1	17
P21549_1_392_3r9a_pdb_KYNU_PLP_2.dlg	-12.35	87	-12.35	87	-6.53	87	-6.53	87	-6.76	51	-5.3	-7.35	71	1	42
Q16773_1_422_3fvu_pdb_KYNU_PLP_2.dlg	-15.6	81	-14.15	24	-7.8	81	-7.72	24	-8.24	95	-6.83	-8.9	59	2	29
Q8N5Z0_1_425_2xh1_pdb_KYNU_PLP_2.dlg	-14.4	97	-14.3	44	-6.09	97	-5.46	44	-6.61	58	-5.36	-7.82	63	2	38
Q4AC99_134_553_1m7y.1.A_swissmodel_KYNU_PLP_1.dlg	-11.28	83	-11.28	83	-6.43	83	-6.43	83	-6.65	72	-5.95	-6.82	39	1	15
P54687_1_386_2coi_pdb_KYNU_PLP_2.dlg	-13.94	8	-13.94	8	-5.57	8	-5.57	8	-6.9	1	-5.46	-7.89	35	1	53
Q96QU6_55_475_1m7y.1.A_swissmodel_KYNU_PLP_1.dlg	-12.78	29	-10.44	18	-7.74	29	-4.79	18	-5.18	82	-4.49	-8.17	69	12	11
Q16773_4_422_4wp0.1.A_swissmodel_KYNU_PLP_2.dlg	-14.47	38	-14.16	34	-8.13	38	-6.66	34	-7.33	93	-5.85	-8.13	38	2	81
P04181_1_439_2oat_pdb_KYNU_PLP_1.dlg	-11.85	93	-11.85	93	-5.24	93	-5.24	93	-6.53	21	-5.55	-7.72	78	1	41
O15382_28_392_5bww_pdb_KYNU_PLP_2.dlg	-15.1	79	-13.9	96	-7.15	79	-7.48	96	-8.91	80	-7.01	-8.91	80	2	28
P20132_4_322_1p5j.1.A_swissmodel_KYNU_PLP_1.dlg	-15.74	29	-14.71	53	-7.18	29	-6.7	53	-6.74	91	-6.02	-8.36	21	2	29
O15382_28_392_5i5w_pdb_KYNU_PLP_1.dlg	-15.34	14	-15.34	14	-6.26	14	-6.26	14	-6.64	21	-5.74	-8.41	31	1	17
O15382_28_392_5bwr_pdb_KYNU_PLP_1.dlg	-14.42	21	-13.44	84	-6.11	21	-5.78	84	-5.9	26	-5.38	-8.0	82	3	23
P17174_2_413_3wzf_pdb_KYNU_PLP_2.dlg	-14.27	17	-13.65	77	-6.38	17	-4.66	77	-5.27	37	-4.38	-9.8	47	3	28
Q9BYV1_52_496_5g4i.1.A_swissmodel_KYNU_PLP_1.dlg	-11.52	13	-11.52	13	-5.25	13	-5.25	13	-5.77	20	-5.09	-6.99	77	1	17
O15382_28_392_2hg8_pdb_KYNU_PLP_2.dlg	-15.29	85	-14.77	18	-9.08	85	-6.59	18	-7.09	69	-6.26	-9.57	2	2	26
O15382_28_392_5bwv_pdb_KYNU_PLP_1.dlg	-15.58	6	-15.58	6	-8.1	6	-8.1	6	-8.1	6	-7.21	-9.49	12	1	26
Q96I15_8_445_3gzd_pdb_KYNU_PLP_1.dlg	-11.17	17	-11.17	17	-6.96	17	-6.96	17	-7.23	12	-5.88	-7.5	66	1	65
P17174_2_413_3wzf.1.A_swissmodel_KYNU_PLP_2.dlg	-13.48	56	-13.26	36	-4.72	56	-4.25	36	-5.55	42	-4.4	-6.68	68	2	22
Q8IYQ7_1kl7.1.A_227_740_KYNU_PLP_1.dlg	-11.24	46	-10.23	45	-4.41	46	-4.69	45	-4.93	11	-4.38	-7.1	74	5	25
O15382_28_392_5i5y_pdb_KYNU_PLP_2.dlg	-14.94	23	-14.94	23	-7.13	23	-7.13	23	-7.24	33	-6.12	-7.76	26	1	43
Q9Y617_17_370_3e77.1.A_swissmodel_KYNU_PLP_1.dlg	-13.81	5	-13.81	5	-7.43	5	-7.43	5	-7.46	21	-5.7	-8.36	28	1	18
Q96QU6_63_482_1ynu.1.A_swissmodel_KYNU_PLP_1.dlg	-13.72	9	-12.68	71	-6.85	9	-5.98	71	-5.98	71	-4.98	-7.65	75	2	19
Q8TD30_49_523_3ihj_pdb_KYNU_PLP_2.dlg	-11.38	94	-11.18	84	-5.06	94	-4.39	84	-5.16	57	-4.18	-7.05	89	2	15
P06737_1_847_1l5s_pdb_KYNU_PLP_4.dlg	-12.52	99	-12.23	26	-6.44	99	-8.22	26	-8.49	85	-6.45	-8.5	41	5	13
P06737_1_847_1l5s_pdb_KYNU_PLP_1.dlg	-12.71	46	-11.96	83	-5.71	46	-6.9	83	-6.9	83	-6.14	-8.35	80	6	15
P54687_21_386_2abj.1.A_swissmodel_KYNU_PLP_1.dlg	-12.97	51	-10.95	10	-6.78	51	-5.49	10	-7.03	30	-5.75	-7.6	61	5	15
P11926_7_427_1d7k_pdb_KYNU_PLP_1.dlg	-11.85	51	-9.1	39	-7.14	51	-2.79	39	-4.45	92	-3.01	-7.5	48	20	8
P32929_1_402_3cog_pdb_KYNU_PLP_1.dlg	-6.28	13	-6.28	13	-1.36	13	-1.36	13	-1.36	13	0.68	-4.32	98	1	13
P32929_1_402_2nmp_pdb_KYNU_PLP_1.dlg	-8.0	40	-7.96	43	-2.88	40	-4.09	43	-6.27	28	-3.76	-6.41	24	2	32
Q16773_1_422_3fvx_pdb_KYNU_PLP_2.dlg	-14.4	29	-14.4	29	-6.23	29	-6.23	29	-7.9	58	-6.38	-7.9	58	1	82
Q96I15_8_445_3gzc_pdb_KYNU_PLP_2.dlg	-9.39	61	-9.05	5	-4.53	61	-2.35	5	-3.32	97	-2.24	-5.86	85	4	12
Q8N5Z0_1_425_2r2n_pdb_KYNU_PLP_2.dlg	-15.26	75	-14.58	58	-5.01	75	-5.07	58	-6.1	71	-5.48	-7.84	86	3	26
P06737_24_832_3cem_pdb_KYNU_PLP_2.dlg	-13.58	23	-12.24	14	-6.82	23	-8.03	14	-8.64	21	-6.78	-8.64	21	3	29
P32929_1_402_2nmp_pdb_KYNU_PLP_2.dlg	-10.93	32	-10.93	32	-5.87	32	-5.87	32	-6.16	89	-5.58	-6.16	89	1	20
P32929_10_399_3cog.1.A_swissmodel_KYNU_PLP_2.dlg	-10.91	40	-10.91	40	-6.72	40	-6.72	40	-6.72	40	-5.91	-6.82	84	1	12
P34896_8_483_1eji.1.D_swissmodel_KYNU_PLP_4.dlg	-9.89	71	-9.42	41	-5.6	71	-5.87	41	-6.16	40	-5.23	-6.48	17	2	17
Q9HD40_1_501_4zdo_pdb_KYNU_PLP_2.dlg	-14.45	12	-14.45	12	-6.07	12	-6.07	12	-6.39	62	-5.39	-8.23	82	1	16
P06737_2_847_1xoi_pdb_KYNU_PLP_1.dlg	-13.53	85	-13.06	31	-8.13	85	-8.13	31	-8.55	88	-7.38	-8.82	50	4	17
P06737_1_847_1l5s_pdb_KYNU_PLP_3.dlg	-12.64	33	-11.5	76	-8.15	33	-5.62	76	-6.97	18	-5.52	-8.53	4	4	14
Q8N5Z0_1_425_5tf5_pdb_KYNU_PLP_2.dlg	-15.56	100	-15.56	100	-5.41	100	-5.41	100	-6.63	89	-5.69	-6.69	83	1	67
P20711_1_480_3rbl_pdb_KYNU_PLP_2.dlg	-11.51	8	-11.31	27	-3.05	8	-8.19	27	-9.24	62	-7.93	-9.28	84	2	10
P21549_6_392_3r9a.1.A_swissmodel_KYNU_PLP_2.dlg	-12.61	16	-8.89	1	-6.89	16	-6.41	1	-7.84	18	-5.59	-8.22	8	3	38
Q8N5Z0_1_425_2r2n_pdb_KYNU_PLP_1.dlg	-15.85	3	-15.85	3	-5.61	3	-5.61	3	-6.7	43	-5.39	-8.15	47	1	30
O15270_177_540_2bwp.1.A_swissmodel_KYNU_PLP_1.dlg	-7.45	5	-7.34	17	-6.45	5	-4.31	17	-6.44	85	-4.94	-6.45	5	2	25
Q9Y697_67_457_5kz5_pdb_KYNU_PLP_11.dlg
Q86YJ6_1_470_1kl7.1.A_swissmodel_KYNU_PLP_1.dlg	-12.08	90	-12.08	90	-4.1	90	-4.1	90	-5.15	77	-4.03	-8.19	35	1	28
Q9HD40_1_501_4zdo_pdb_KYNU_PLP_4.dlg	-14.13	100	-14.13	100	-6.15	100	-6.15	100	-6.15	100	-5.51	-8.74	29	1	17
Q9HD40_19_462_4zdl.1.A_swissmodel_KYNU_PLP_3.dlg	-15.81	50	-15.81	50	-7.64	50	-7.64	50	-8.03	100	-7.3	-8.66	30	1	16
O95470_111_553_4q6r.1.A_swissmodel_KYNU_PLP_1.dlg	-13.64	78	-10.31	55	-7.16	78	-6.52	55	-6.97	4	-6.29	-8.19	16	12	14
Q9NUV7_155_530_2x8u.1.A_swissmodel_KYNU_PLP_1.dlg	-11.32	46	-11.32	46	-6.63	46	-6.63	46	-6.67	67	-4.95	-6.69	70	1	71
Q8TBG4_7_438_4ysn.1.A_swissmodel_KYNU_PLP_2.dlg	-2.76	38	1.19	32	-0.77	38	-2.08	32	-5.39	68	-0.13	-5.4	12	3	10
O15382_28_392_5bwt_pdb_KYNU_PLP_2.dlg	-14.23	94	-12.45	97	-7.61	94	-8.33	97	-8.51	68	-7.33	-8.51	68	11	13
P06737_1_847_1l7x_pdb_KYNU_PLP_2.dlg	-12.81	92	-12.56	61	-7.79	92	-7.19	61	-8.34	24	-6.88	-8.34	24	2	32
P17735_41_444_3dyd_pdb_KYNU_PLP_2.dlg	-11.15	89	-11.1	7	-4.52	89	-5.71	7	-5.93	77	-5.07	-6.46	63	2	24
P11926_7_427_1d7k_pdb_KYNU_PLP_2.dlg	-11.66	15	-11.66	15	-6.37	15	-6.37	15	-7.49	68	-5.52	-7.49	68	1	20
P17174_14_412_3ii0_pdb_KYNU_PLP_2.dlg	-13.56	69	-13.03	100	-5.14	69	-5.07	100	-7.29	1	-5.07	-7.86	89	3	30
P22557_194_547_1fc4.1.A_swissmodel_KYNU_PLP_2.dlg	-13.06	18	-13.06	18	-6.54	18	-6.54	18	-6.69	56	-4.95	-6.91	61	1	73
O15270_145_538_1fc4.1.A_swissmodel_KYNU_PLP_2.dlg	0.61	60	1.58	59	-3.4	60	-0.42	59	-2.31	62	0.43	-4.69	61	2	11
Q8TBG4_7_438_4ysn.1.A_swissmodel_KYNU_PLP_4.dlg	-8.87	71	-7.7	40	-6.26	71	-5.4	40	-5.5	82	-3.1	-6.98	84	2	39
Q16773_1_422_4wp0_pdb_KYNU_PLP_1.dlg	-14.89	78	-14.6	6	-8.1	78	-6.18	6	-7.57	82	-5.81	-8.1	78	2	68
P06737_2_847_1fc0_pdb_KYNU_PLP_2.dlg	-13.4	20	-12.54	30	-7.57	20	-7.05	30	-8.23	46	-6.77	-8.59	10	4	23
P54687_21_386_2abj_pdb_KYNU_PLP_2.dlg	-13.82	95	-13.82	95	-6.23	95	-6.23	95	-6.72	49	-5.78	-7.67	45	1	33
O15382_28_392_5i5s_pdb_KYNU_PLP_2.dlg	-15.25	34	-15.25	34	-8.38	34	-8.38	34	-8.38	34	-6.94	-8.38	34	1	21
P20711_1_480_3rbf_pdb_KYNU_PLP_1.dlg	-11.67	52	-10.2	14	-5.93	52	-4.6	14	-4.79	97	-4.2	-8.03	51	10	8
Q9Y697_67_457_5kz5_pdb_KYNU_PLP_2.dlg
P34897_22_504_4pvf_pdb_KYNU_PLP_2.dlg	-11.85	7	-11.85	7	-7.5	7	-7.5	7	-7.5	7	-6.27	-7.5	7	1	21
P54687_1_386_2cog_pdb_KYNU_PLP_1.dlg	-13.71	30	-13.71	30	-6.19	30	-6.19	30	-6.98	24	-6.32	-7.55	81	1	56
Q16773_1_422_3fvx_pdb_KYNU_PLP_1.dlg	-14.17	57	-14.17	57	-6.26	57	-6.26	57	-7.94	9	-6.64	-7.94	9	1	48
P06737_2_847_2ati_pdb_KYNU_PLP_2.dlg	-12.43	93	-12.43	93	-8.65	93	-8.65	93	-8.65	93	-6.96	-9.11	6	1	24
O95470_62_568_4q6r_pdb_KYNU_PLP_2.dlg	-14.32	24	-14.32	24	-5.6	24	-5.6	24	-6.15	49	-5.11	-8.76	58	1	38
Q9GZT4_1_340_3l6b_pdb_KYNU_PLP_1.dlg	-12.55	18	-12.55	18	-6.49	18	-6.49	18	-6.7	16	-5.48	-7.77	83	1	42
P11926_7_427_1d7k.1.A_swissmodel_KYNU_PLP_2.dlg	-10.42	92	-10.42	92	-4.2	92	-4.2	92	-5.27	32	-4.33	-7.04	70	1	9
P0DN79_41_550_4l3v.1.A_swissmodel_KYNU_PLP_2.dlg	-2.75	36	-0.7	79	-2.98	36	0.58	79	-1.47	8	2.28	-4.68	82	3	10
P06737_6_839_1fa9.1.A_swissmodel_KYNU_PLP_2.dlg	-14.08	7	-14.08	7	-5.97	7	-5.97	7	-6.65	50	-5.73	-7.28	74	1	24
Q9HD40_1_501_4zdl_pdb_KYNU_PLP_1.dlg	-14.43	18	-13.94	11	-7.5	18	-7.15	11	-7.64	90	-6.54	-7.77	1	2	12
O75600_74_419_2x8u.1.A_swissmodel_KYNU_PLP_1.dlg	-11.79	67	-10.65	16	-6.19	67	-6.54	16	-7.23	6	-6.48	-7.23	6	3	13
Q8N5Z0_1_425_4ge4_pdb_KYNU_PLP_2.dlg	-15.88	25	-15.88	25	-7.04	25	-7.04	25	-7.5	33	-6.47	-7.5	33	1	54
P04181_1_439_2byj_pdb_KYNU_PLP_1.dlg	-11.49	83	-11.41	41	-6.91	83	-6.36	41	-6.72	57	-5.87	-7.29	78	3	17
P21549_1_392_1j04_pdb_KYNU_PLP_2.dlg	-13.93	27	-13.93	27	-7.34	27	-7.34	27	-8.59	23	-6.97	-8.59	23	1	45
P20711_1_480_3rch_pdb_KYNU_PLP_2.dlg	-11.38	18	-11.01	22	-8.1	18	-5.15	22	-5.78	47	-4.3	-8.71	59	4	11
P00505_30_430_5ax8_pdb_KYNU_PLP_1.dlg	-13.5	14	-13.26	99	-8.56	14	-4.23	99	-4.46	50	-3.96	-9.03	61	3	15
O75600_74_419_2x8u.1.A_swissmodel_KYNU_PLP_2.dlg	-10.87	51	-10.76	46	-6.52	51	-6.47	46	-6.67	48	-5.61	-7.21	45	3	30
Q9BYV1_65_508_5g4i.1.A_swissmodel_KYNU_PLP_2.dlg	-9.16	80	-8.85	21	-4.67	80	-3.1	21	-3.9	71	-3.08	-6.36	24	6	11
Q8N5Z0_1_425_2xh1_pdb_KYNU_PLP_1.dlg	-13.67	100	-13.67	100	-5.84	100	-5.84	100	-5.88	63	-4.75	-7.25	54	1	37
Q99259_93_593_2okj.1.A_swissmodel_KYNU_PLP_1.dlg	-9.19	63	-9.19	63	-5.86	63	-5.86	63	-5.86	63	-4.8	-6.41	65	1	16
Q96I15_8_445_3gzd_pdb_KYNU_PLP_2.dlg	-10.27	95	-10.17	86	-2.79	95	-4.57	86	-4.82	69	-4.25	-6.28	29	2	17
Q8N5Z0_1_425_4ge9_pdb_KYNU_PLP_1.dlg	-15.68	43	-15.68	43	-7.05	43	-7.05	43	-7.57	68	-6.44	-8.08	92	1	33
Q9BYV1_52_496_5g4i.1.A_swissmodel_KYNU_PLP_2.dlg	-10.13	53	-10.13	53	-2.73	53	-2.73	53	-3.94	29	-2.92	-6.21	67	1	18
Q9Y600_7_493_2jis.1.A_swissmodel_KYNU_PLP_2.dlg	-11.9	42	-11.79	73	-5.63	42	-5.88	73	-6.7	77	-5.65	-7.11	79	2	28
P11216_1_843_5iko_pdb_KYNU_PLP_2.dlg	-14.4	33	-14.4	33	-5.72	33	-5.72	33	-6.76	6	-6.01	-7.67	93	1	27
P34897_22_504_4pvf_pdb_KYNU_PLP_1.dlg	-11.53	22	-11.53	22	-6.97	22	-6.97	22	-7.12	26	-6.41	-7.3	56	1	15
