dlg file	ligand	BC (kcal/mol)	Run	LC (kcal/mol)	Run	BCaa (kcal/mol)	Run	LCaa (kcal/mol)	Run	LCaaB (kcal/mol)	Run	LCaaM (kcal/mol)	BB (kcal/mol)	Run	LC	Num in LC
Q8N5Z0_2_425_2vgz_pdb_CYT_PLP_2.dlg	CYT	-15.69	70	-14.88	26	-4.11	70	-4.16	26	-6.58	62	-5.45	-8.31	14	3	18
Q16773_1_422_4wp0_pdb_CYT_PLP_2.dlg	CYT	-13.89	12	-13.89	12	-5.86	12	-5.86	12	-6.87	50	-5.23	-8.86	41	1	60
Q16773_1_422_4wlh_pdb_CYT_PLP_2.dlg	CYT	-14.3	41	-14.3	41	-4.14	41	-4.14	41	-6.71	85	-4.47	-7.17	96	1	44
O15382_28_392_5i5s_pdb_CYT_PLP_2.dlg	CYT	-16.91	39	-16.91	39	-6.69	39	-6.69	39	-7.8	2	-6.32	-9.31	34	1	11
P06737_1_847_1em6_pdb_CYT_PLP_2.dlg	CYT	-14.69	52	-13.31	23	-7.65	52	-8.69	23	-8.69	23	-7.23	-8.74	65	3	15
Q16773_1_422_1w7m_pdb_CYT_PLP_2.dlg	CYT	-14.88	26	-14.88	26	-7.06	26	-7.06	26	-7.06	26	-5.28	-7.45	82	1	37
Q8TBG4_7_438_4ysn.1.A_swissmodel_CYT_PLP_3.dlg	CYT	-8.47	85	-8.47	85	-4.25	85	-4.25	85	-7.65	55	-3.52	-7.65	55	1	15
Q9GZT4_3_329_3l6r.1.A_swissmodel_CYT_PLP_1.dlg	CYT	-12.9	46	-11.43	35	-5.26	46	-6.88	35	-7.46	39	-5.8	-9.08	29	5	19
P54687_21_386_2abj.1.A_swissmodel_CYT_PLP_2.dlg	CYT	-13.76	81	-13.15	45	-6.46	81	-5.72	45	-5.72	45	-5.03	-7.32	65	3	10
Q9BYV1_52_496_5g4i.1.A_swissmodel_CYT_PLP_1.dlg	CYT	-12.95	13	-12.95	13	-5.53	13	-5.53	13	-5.53	13	-4.52	-6.35	15	1	19
Q9HD40_1_501_4zdp_pdb_CYT_PLP_4.dlg	CYT	-17.02	1	-17.02	1	-7.35	1	-7.35	1	-9.64	37	-7.14	-9.64	37	1	36
Q9Y697_67_457_5kz5_pdb_CYT_PLP_7.dlg
O15382_28_392_2hgw_pdb_CYT_PLP_2.dlg	CYT	-15.79	29	-15.42	9	-6.2	29	-7.02	9	-8.51	13	-6.73	-9.91	83	3	27
O15382_28_392_5i60_pdb_CYT_PLP_1.dlg	CYT	-14.97	93	-14.97	93	-4.46	93	-4.46	93	-6.25	94	-5.25	-10.97	18	1	13
P21549_1_392_1h0c_pdb_CYT_PLP_2.dlg	CYT	-12.6	88	-12.6	88	-6.02	88	-6.02	88	-7.41	18	-5.95	-8.86	12	1	28
P20132_1_328_4h27_pdb_CYT_PLP_1.dlg	CYT	-13.37	17	-13.37	17	-6.37	17	-6.37	17	-6.43	82	-5.54	-7.16	75	1	9
P06737_1_847_1l7x_pdb_CYT_PLP_2.dlg	CYT	-13.98	38	-12.44	15	-6.49	38	-6.56	15	-7.91	80	-6.56	-9.07	39	4	28
P54687_21_386_2abj.1.A_swissmodel_CYT_PLP_1.dlg	CYT	-12.49	99	-12.46	16	-5.86	99	-6.99	16	-7.71	4	-6.66	-8.02	31	2	17
P11216_1_843_5iko_pdb_CYT_PLP_3.dlg	CYT	-14.98	69	-14.75	75	-6.91	69	-4.51	75	-5.77	82	-4.64	-8.09	35	3	33
Q8IYQ7_1kl7.1.A_227_740_CYT_PLP_1.dlg	CYT	-11.2	80	-11.02	77	-3.91	80	-6.27	77	-6.71	72	-5.98	-6.71	72	4	15
Q86YJ6_1_470_1kl7.1.A_swissmodel_CYT_PLP_1.dlg	CYT	-13.22	2	-13.22	2	-4.29	2	-4.29	2	-4.66	33	-3.62	-6.19	8	1	11
Q96I15_29_444_3gzc.1.A_swissmodel_CYT_PLP_2.dlg	CYT	-11.39	22	-11.39	22	-2.96	22	-2.96	22	-2.96	22	-2.08	-6.93	80	1	11
P34897_43_504_4pvf.1.A_swissmodel_CYT_PLP_3.dlg	CYT	-11.07	22	-11.07	22	-6.47	22	-6.47	22	-6.82	98	-5.71	-7.48	31	1	22
Q8N5Z0_1_425_5tf5_pdb_CYT_PLP_1.dlg	CYT	-14.35	72	-14.35	72	-6.51	72	-6.51	72	-7.17	19	-5.28	-8.15	22	1	69
P06737_2_847_3dd1_pdb_CYT_PLP_1.dlg	CYT	-13.58	30	-11.67	54	-6.23	30	-8.91	54	-8.91	54	-7.14	-9.46	65	8	13
P04181_1_439_2byj_pdb_CYT_PLP_1.dlg	CYT	-12.75	70	-12.39	81	-6.04	70	-4.9	81	-6.94	40	-5.33	-7.3	50	2	25
P21549_1_392_1j04_pdb_CYT_PLP_1.dlg	CYT	-14.12	26	-14.12	26	-6.04	26	-6.04	26	-7.75	55	-5.32	-8.99	76	1	20
O15382_28_392_5i5w_pdb_CYT_PLP_1.dlg	CYT	-15.14	88	-14.28	56	-7.41	88	-7.26	56	-7.26	56	-6.05	-9.7	2	2	11
Q96I15_8_445_3gzd_pdb_CYT_PLP_2.dlg	CYT	-11.53	74	-11.44	79	-4.53	74	-1.9	79	-2.62	3	-1.73	-7.57	95	2	19
P11216_22_840_5iko.1.A_swissmodel_CYT_PLP_4.dlg	CYT	-15.85	82	-15.85	82	-5.08	82	-5.08	82	-6.59	92	-4.68	-7.83	76	1	31
Q8N5Z0_1_425_3ue8_pdb_CYT_PLP_2.dlg	CYT	-13.81	45	-13.81	45	-5.26	45	-5.26	45	-6.5	20	-4.45	-9.77	89	1	20
Q96EN8_35_495_5j8q.1.A_swissmodel_CYT_PLP_1.dlg	CYT	-11.34	67	-11.01	28	-3.45	67	-6.11	28	-6.57	20	-5.4	-7.14	75	3	19
O15382_28_392_5bwt_pdb_CYT_PLP_2.dlg	CYT	-16.63	23	-16.63	23	-6.61	23	-6.61	23	-7.41	68	-6.15	-10.71	52	1	12
P20711_1_480_3rbf.1.B_swissmodel_CYT_PLP_2.dlg	CYT	-12.49	37	-12.22	61	-4.92	37	-4.85	61	-5.81	41	-4.72	-8.99	24	3	12
Q9Y697_67_457_5kz5_pdb_CYT_PLP_2.dlg
O15382_28_392_2hgx_pdb_CYT_PLP_2.dlg	CYT	-15.83	83	-15.83	83	-8.99	83	-8.99	83	-10.83	26	-8.51	-10.83	26	1	12
O15382_28_392_5cr5_pdb_CYT_PLP_1.dlg	CYT	-16.4	56	-16.4	56	-6.02	56	-6.02	56	-7.1	41	-5.78	-8.89	17	1	22
Q16773_1_422_4wlj_pdb_CYT_PLP_1.dlg	CYT	-16.08	39	-15.01	48	-7.38	39	-5.75	48	-7.48	19	-5.56	-8.07	5	2	32
P32929_1_405_3elp_pdb_CYT_PLP_2.dlg	CYT	-12.04	11	-11.54	67	-4.79	11	-4.13	67	-4.31	88	-3.8	-6.44	8	5	7
Q9BYV1_65_508_5g4i.1.A_swissmodel_CYT_PLP_2.dlg	CYT	-11.35	8	-10.12	72	-4.25	8	-2.8	72	-3.83	62	-2.6	-5.83	63	8	7
P54687_1_386_2coj_pdb_CYT_PLP_2.dlg	CYT	-15.62	27	-15.62	27	-5.83	27	-5.83	27	-7.04	5	-6.1	-10.37	61	1	31
P04181_36_439_2byj.1.A_swissmodel_CYT_PLP_1.dlg	CYT	-12.3	43	-12.25	34	-5.97	43	-5.61	34	-5.86	51	-5.1	-9.04	49	2	18
Q9HD40_1_501_3hl2_pdb_CYT_PLP_4.dlg	CYT	-18.12	33	-16.64	17	-7.9	33	-7.52	17	-8.82	62	-7.51	-9.45	14	2	16
P23378_53_1006_4lgl.1.A_swissmodel_CYT_PLP_1.dlg	CYT	-10.51	12	-10.51	12	-7.32	12	-7.32	12	-7.86	80	-6.57	-7.86	80	1	34
Q9HD40_1_501_3hl2_pdb_CYT_PLP_1.dlg	CYT	-16.77	74	-15.14	77	-6.49	74	-6.57	77	-6.57	77	-5.6	-9.72	89	7	12
P11926_1_461_2oo0_pdb_CYT_PLP_2.dlg	CYT	-10.28	57	-6.16	13	-6.16	57	-6.66	13	-6.66	13	-4.6	-7.56	71	8	25
Q16773_1_422_4wp0_pdb_CYT_PLP_1.dlg	CYT	-14.69	43	-14.69	43	-6.21	43	-6.21	43	-7.1	69	-5.12	-9.58	73	1	61
Q9HD40_1_501_4zdl_pdb_CYT_PLP_3.dlg	CYT	-16.88	42	-16.88	42	-8.39	42	-8.39	42	-8.39	42	-6.88	-8.82	19	1	22
Q16773_3_421_4ge9.1.A_swissmodel_CYT_PLP_1.dlg	CYT	-8.11	78	-1.92	81	-6.61	78	-3.09	81	-3.09	81	-0.77	-6.61	78	18	13
P19113_2_477_4e1o.1.A_swissmodel_CYT_PLP_2.dlg	CYT	-14.56	43	-14.56	43	-5.85	43	-5.85	43	-7.56	64	-5.79	-8.96	93	1	40
P06737_1_847_1l5r_pdb_CYT_PLP_1.dlg	CYT	-13.73	1	-12.73	90	-4.7	1	-8.9	90	-9.1	13	-8.28	-9.11	91	5	15
P04181_1_439_2oat_pdb_CYT_PLP_3.dlg	CYT	-12.5	62	-11.24	60	-5.5	62	-4.28	60	-5.81	56	-4.91	-7.68	73	2	24
P22557_194_547_1fc4.1.A_swissmodel_CYT_PLP_1.dlg	CYT	-13.47	82	-13.47	82	-9.08	82	-9.08	82	-9.08	82	-6.58	-9.08	82	1	77
P21549_1_392_3r9a_pdb_CYT_PLP_2.dlg	CYT	-11.99	81	-11.99	81	-7.49	81	-7.49	81	-7.49	81	-5.97	-8.53	29	1	33
Q8NHS2_5_399_3wzf.1.A_swissmodel_CYT_PLP_1.dlg	CYT	-11.37	62	-9.95	82	-5.61	62	-3.55	82	-4.14	7	-3.06	-7.49	67	14	7
Q9HD40_1_501_4zdp_pdb_CYT_PLP_3.dlg	CYT	-16.0	76	-14.97	1	-5.83	76	-6.74	1	-7.06	93	-5.79	-8.79	43	2	11
P00505_30_430_5ax8_pdb_CYT_PLP_2.dlg	CYT	-16.0	53	-13.62	84	-5.38	53	-5.4	84	-5.6	76	-4.84	-10.46	6	14	15
Q8N5Z0_2_425_2vgz_pdb_CYT_PLP_1.dlg	CYT	-14.35	3	-14.35	3	-5.9	3	-5.9	3	-6.47	94	-5.2	-9.08	83	1	10
Q9GZT4_3_329_3l6r.1.A_swissmodel_CYT_PLP_2.dlg	CYT	-13.2	29	-11.54	27	-6.04	29	-7.6	27	-7.6	27	-5.93	-8.71	85	5	19
Q96I15_29_444_3gzc.1.A_swissmodel_CYT_PLP_1.dlg	CYT	-13.52	6	-9.65	80	-7.89	6	-7.31	80	-7.31	80	-6.12	-8.58	40	6	17
Q8TBG4_7_438_4ysn.1.A_swissmodel_CYT_PLP_2.dlg	CYT	-6.04	87	-6.04	87	-3.88	87	-3.88	87	-3.88	87	1.32	-7.34	71	1	12
O15382_28_392_5bwr_pdb_CYT_PLP_1.dlg	CYT	-15.08	10	-13.79	49	-7.91	10	-5.76	49	-6.28	98	-5.28	-9.41	81	3	18
P00505_30_430_5ax8_pdb_CYT_PLP_1.dlg	CYT	-14.76	29	-14.63	65	-6.27	29	-3.77	65	-4.71	50	-3.94	-8.25	85	3	5
P32929_1_405_3elp_pdb_CYT_PLP_1.dlg	CYT	-13.24	30	-12.82	83	-7.9	30	-4.77	83	-5.12	94	-4.06	-7.9	30	4	6
Q6YP21_41_450_3e2y.1.A_swissmodel_CYT_PLP_1.dlg	CYT	-18.62	17	-18.62	17	-8.27	17	-8.27	17	-9.11	20	-7.25	-10.27	57	1	40
P00505_32_430_5ax8.2.B_swissmodel_CYT_PLP_2.dlg	CYT	-14.89	17	-13.91	92	-3.52	17	-5.99	92	-5.99	92	-5.39	-9.97	64	3	11
Q16719_6_460_2hzp.1.A_swissmodel_CYT_PLP_1.dlg	CYT	-11.83	23	-10.61	5	-6.83	23	-5.46	5	-5.94	70	-4.59	-7.37	25	4	15
P22557_151_541_2bwp.1.A_swissmodel_CYT_PLP_2.dlg	CYT	-10.4	1	-9.88	21	-6.31	1	-5.83	21	-7.02	48	-5.72	-7.02	48	3	40
P34897_43_504_4pvf.1.A_swissmodel_CYT_PLP_1.dlg	CYT	-11.28	77	-9.8	58	-6.89	77	-5.62	58	-7.02	63	-5.28	-7.99	73	6	9
O15270_177_540_2bwp.1.A_swissmodel_CYT_PLP_2.dlg	CYT	-7.71	47	-6.66	35	-6.38	47	-6.41	35	-6.58	71	-4.64	-7.45	85	3	28
P21549_1_388_2yob_pdb_CYT_PLP_2.dlg	CYT	-13.09	6	-13.09	6	-9.39	6	-9.39	6	-9.39	6	-6.79	-9.96	68	1	28
P21549_1_392_4kxk_pdb_CYT_PLP_1.dlg	CYT	-10.15	62	-10.15	62	-6.27	62	-6.27	62	-6.27	62	-4.49	-6.29	12	1	38
P06737_2_847_2ati_pdb_CYT_PLP_1.dlg	CYT	-13.96	57	-11.89	97	-5.59	57	-7.42	97	-7.91	37	-7.06	-7.91	37	5	18
P54687_21_386_2abj_pdb_CYT_PLP_2.dlg	CYT	-13.59	19	-13.59	19	-6.6	19	-6.6	19	-8.51	54	-6.74	-8.74	52	1	8
Q8TBG4_7_438_4ysn.1.A_swissmodel_CYT_PLP_1.dlg	CYT	-8.85	38	-8.22	10	-6.68	38	-6.22	10	-6.6	56	-4.51	-7.13	9	2	34
P21549_1_392_4kxk_pdb_CYT_PLP_2.dlg	CYT	-9.86	9	-9.86	9	-6.61	9	-6.61	9	-7.1	52	-4.67	-7.1	52	1	60
O15382_28_392_2hdk_pdb_CYT_PLP_1.dlg	CYT	-15.47	86	-14.55	100	-7.92	86	-5.5	100	-5.99	35	-5.37	-8.13	22	2	9
P80404_39_499_4y0d.1.A_swissmodel_CYT_PLP_2.dlg	CYT	-14.48	28	-14.48	28	-6.51	28	-6.51	28	-7.96	7	-6.1	-7.96	7	1	51
O75600_74_419_2x8u.1.A_swissmodel_CYT_PLP_2.dlg	CYT	-12.24	94	-11.72	52	-6.47	94	-6.17	52	-7.56	87	-6.19	-7.56	87	7	12
P24298_19_495_3tcm.1.A_swissmodel_CYT_PLP_2.dlg	CYT	-8.44	96	-8.17	43	-6.62	96	-4.53	43	-4.74	2	-1.64	-8.38	59	2	19
Q16773_1_422_3fvx_pdb_CYT_PLP_1.dlg	CYT	-14.07	17	-14.07	17	-6.03	17	-6.03	17	-7.16	69	-5.48	-7.76	52	1	57
P32929_10_399_3cog.1.A_swissmodel_CYT_PLP_1.dlg	CYT	-10.05	37	-10.05	37	-4.68	37	-4.68	37	-5.02	1	-2.34	-6.83	87	1	21
O15382_28_392_1ekv_pdb_CYT_PLP_1.dlg	CYT	-15.61	24	-15.61	24	-7.32	24	-7.32	24	-8.12	8	-6.49	-9.79	79	1	27
P17735_41_444_3dyd.1.A_swissmodel_CYT_PLP_1.dlg	CYT	-12.95	2	-11.4	42	-3.96	2	-1.39	42	-2.98	88	-1.6	-7.83	31	4	16
P06737_24_832_3ceh_pdb_CYT_PLP_2.dlg	CYT	-14.18	57	-12.63	78	-6.56	57	-7.0	78	-9.13	65	-7.72	-9.13	65	4	16
Q8N5Z0_1_425_4ge9_pdb_CYT_PLP_1.dlg	CYT	-16.58	73	-16.58	73	-7.11	73	-7.11	73	-7.23	7	-6.06	-11.06	40	1	37
P04181_36_439_2byj.1.A_swissmodel_CYT_PLP_2.dlg	CYT	-13.08	32	-13.08	32	-5.53	32	-5.53	32	-6.8	96	-5.4	-8.21	11	1	29
P34896_8_483_1eji.1.D_swissmodel_CYT_PLP_3.dlg	CYT	-10.76	98	-10.11	77	-6.48	98	-5.92	77	-6.43	47	-5.2	-6.97	55	2	16
P06737_24_832_3cem_pdb_CYT_PLP_1.dlg	CYT	-14.56	8	-13.25	57	-5.21	8	-6.55	57	-8.64	86	-7.01	-9.72	1	7	14
P11216_1_843_5ikp_pdb_CYT_PLP_1.dlg	CYT	-17.21	79	-16.27	51	-2.39	79	-2.17	51	-3.11	54	-2.48	-4.64	4	3	37
Q9Y697_56_457_5usr.1.A_swissmodel_CYT_PLP_1.dlg	CYT	-11.15	67	-10.92	35	-4.03	67	-3.5	35	-4.24	37	-2.84	-5.66	24	2	5
O15382_28_392_5i5v_pdb_CYT_PLP_1.dlg	CYT	-14.44	78	-12.07	3	-4.1	78	-3.63	3	-4.27	60	-3.53	-8.66	89	19	10
O15382_28_392_5hne_pdb_CYT_PLP_2.dlg	CYT	-14.29	70	-12.62	58	-5.73	70	-2.93	58	-4.29	31	-3.56	-9.7	49	10	9
P04181_38_439_1gbn_pdb_CYT_PLP_3.dlg	CYT	-12.99	29	-12.39	84	-6.05	29	-4.81	84	-6.5	2	-4.66	-7.65	21	4	25
P20132_1_328_1p5j_pdb_CYT_PLP_1.dlg	CYT	-15.76	40	-15.76	40	-5.75	40	-5.75	40	-7.58	12	-5.92	-9.55	68	1	42
P34897_43_504_4pvf.1.A_swissmodel_CYT_PLP_2.dlg	CYT	-11.54	2	-10.74	80	-5.02	2	-4.35	80	-5.74	55	-3.84	-7.02	77	4	9
Q96GA7_11_328_2rkb_pdb_CYT_PLP_2.dlg	CYT	-13.82	87	-13.82	87	-5.05	87	-5.05	87	-6.89	61	-4.79	-8.66	20	1	11
Q16773_1_422_3fvs_pdb_CYT_PLP_1.dlg	CYT	-14.86	45	-14.86	45	-5.82	45	-5.82	45	-7.86	24	-5.66	-7.86	24	1	52
P21549_1_392_1j04_pdb_CYT_PLP_2.dlg	CYT	-13.82	69	-13.82	69	-5.5	69	-5.5	69	-7.56	21	-5.85	-8.76	66	1	29
P21549_1_392_1h0c_pdb_CYT_PLP_1.dlg	CYT	-11.85	80	-11.85	80	-5.34	80	-5.34	80	-6.22	14	-5.18	-8.41	17	1	17
Q9BYV1_65_508_5g4i.1.A_swissmodel_CYT_PLP_1.dlg	CYT	-12.36	95	-11.23	33	-5.21	95	-3.91	33	-3.92	88	-3.5	-6.15	10	6	13
O15382_28_392_5bwu_pdb_CYT_PLP_1.dlg	CYT	-15.76	29	-15.76	29	-6.64	29	-6.64	29	-8.21	30	-6.86	-9.46	32	1	25
P34897_22_504_4pvf_pdb_CYT_PLP_2.dlg	CYT	-11.44	80	-10.95	34	-7.46	80	-4.68	34	-6.78	9	-5.5	-8.45	36	4	12
P06737_1_847_1l5s_pdb_CYT_PLP_3.dlg	CYT	-13.63	84	-11.89	93	-7.5	84	-8.71	93	-8.71	93	-7.24	-8.71	93	9	19
Q96QU6_63_482_1ynu.1.A_swissmodel_CYT_PLP_2.dlg	CYT	-13.76	26	-13.76	26	-8.98	26	-8.98	26	-8.98	26	-6.67	-8.98	26	1	23
P11926_7_427_1d7k.1.A_swissmodel_CYT_PLP_2.dlg	CYT	-13.2	61	-10.87	88	-6.46	61	-4.17	88	-4.23	78	-2.84	-8.83	40	4	7
P11926_7_427_1d7k.1.A_swissmodel_CYT_PLP_1.dlg	CYT	-12.58	12	-10.58	89	-7.84	12	-5.12	89	-6.1	65	-4.54	-9.43	6	3	10
O15382_28_392_1kt8_pdb_CYT_PLP_2.dlg	CYT	-15.76	22	-15.76	22	-5.68	22	-5.68	22	-7.91	37	-6.48	-8.12	39	1	43
P20132_4_322_1p5j.1.A_swissmodel_CYT_PLP_1.dlg	CYT	-16.44	44	-16.44	44	-7.15	44	-7.15	44	-7.25	89	-5.95	-7.54	74	1	27
Q4AC99_134_553_1m7y.1.A_swissmodel_CYT_PLP_2.dlg	CYT	-11.84	80	-11.42	94	-4.57	80	-4.78	94	-5.2	78	-4.45	-6.62	39	2	16
P06737_2_847_2ati_pdb_CYT_PLP_2.dlg	CYT	-13.89	56	-13.89	56	-6.55	56	-6.55	56	-8.04	82	-6.17	-9.6	67	1	18
Q9Y697_67_457_5kz5_pdb_CYT_PLP_12.dlg
Q8NHS2_5_399_3wzf.1.A_swissmodel_CYT_PLP_2.dlg	CYT	-11.13	14	-10.83	42	-3.53	14	-4.7	42	-5.11	89	-4.22	-7.0	3	3	7
Q16773_1_422_4wlh_pdb_CYT_PLP_1.dlg	CYT	-14.67	29	-14.67	29	-5.78	29	-5.78	29	-8.08	57	-5.36	-8.08	57	1	68
Q9GZT4_1_340_3l6r_pdb_CYT_PLP_2.dlg	CYT	-12.83	52	-12.83	52	-7.1	52	-7.1	52	-7.51	91	-6.02	-7.51	91	1	19
P21549_1_392_4cbs_pdb_CYT_PLP_1.dlg	CYT	-10.99	57	-10.99	57	-6.69	57	-6.69	57	-7.24	99	-5.48	-7.29	58	1	41
O15382_28_392_5i5y_pdb_CYT_PLP_2.dlg	CYT	-16.47	24	-16.47	24	-5.73	24	-5.73	24	-7.55	29	-5.81	-11.14	100	1	20
P11216_1_843_5iko_pdb_CYT_PLP_2.dlg	CYT	-15.13	87	-15.13	87	-5.02	87	-5.02	87	-5.62	16	-4.67	-7.94	63	1	19
O15270_145_538_1fc4.1.A_swissmodel_CYT_PLP_2.dlg	CYT	-3.98	56	-3.98	56	0.78	56	0.78	56	-3.25	92	1.86	-4.51	90	1	13
Q4AC99_134_553_1m7y.1.A_swissmodel_CYT_PLP_1.dlg	CYT	-11.67	79	-11.66	9	-2.89	79	-5.09	9	-6.07	99	-5.14	-7.23	72	2	14
P06737_24_832_3cem_pdb_CYT_PLP_2.dlg	CYT	-13.63	96	-12.79	86	-7.5	96	-5.92	86	-8.44	53	-6.45	-9.15	15	5	14
Q16773_1_422_4wlj_pdb_CYT_PLP_2.dlg	CYT	-17.25	98	-15.92	52	-7.24	98	-5.66	52	-7.03	71	-5.41	-9.56	88	2	52
O15382_28_392_1ekp_pdb_CYT_PLP_2.dlg	CYT	-15.66	58	-14.15	75	-8.09	58	-6.54	75	-7.08	84	-5.95	-9.49	6	3	21
Q9HD40_1_501_4zdl_pdb_CYT_PLP_4.dlg	CYT	-17.16	95	-17.16	95	-8.08	95	-8.08	95	-8.16	60	-7.2	-9.29	19	1	46
O15382_28_392_2hg8_pdb_CYT_PLP_1.dlg	CYT	-15.57	61	-15.21	25	-8.82	61	-6.05	25	-7.38	52	-6.1	-11.63	62	2	27
Q9HD40_19_462_4zdl.1.A_swissmodel_CYT_PLP_1.dlg	CYT	-19.14	77	-18.18	32	-6.83	77	-8.48	32	-8.62	39	-7.92	-9.31	36	2	18
P17174_14_412_3ii0_pdb_CYT_PLP_1.dlg	CYT	-14.77	68	-13.3	28	-7.1	68	-7.36	28	-7.52	45	-5.84	-9.65	37	4	24
Q8N5Z0_1_425_2xh1_pdb_CYT_PLP_1.dlg	CYT	-13.96	16	-13.78	41	-5.02	16	-4.52	41	-5.57	15	-4.12	-10.73	12	2	15
Q9HD40_1_501_3hl2_pdb_CYT_PLP_2.dlg	CYT	-17.12	40	-16.19	83	-7.94	40	-5.45	83	-7.43	60	-5.67	-9.44	45	5	22
